louvain,n_cells,n_animals,mean_lochness,median_lochness,std_lochness,pct_old_enriched,pct_young_enriched,pct_neutral,n_significant,pct_significant,r_age,p_age
0,5340,51,-0.0014315789473682927,-0.1006315789473683,0.4150441606649164,13.258426966292136,15.543071161048688,71.19850187265918,558,10.44943820224719,0.4838759699171427,0.00032145404886803835
1,360,37,-0.14444444444444443,0.0,0.6809973206007706,11.666666666666666,22.22222222222222,66.11111111111111,9,2.5,0.26011572826688256,0.11998959854265091
2,3418,52,-0.010076252723311597,-0.0691721132897604,0.3167289701085111,2.3698069046225863,4.885898186073727,92.74429490930368,589,17.232299590403745,0.5846053359789238,5.347044388802379e-06
4,1442,52,0.014189189189189304,-0.0256756756756755,0.32476958251815397,7.975034674063801,5.755894590846047,86.26907073509015,329,22.815533980582526,0.1566809753547598,0.2673244596615479
5,696,52,-0.12640949554896141,-0.173887240356083,0.3838864356544969,3.0172413793103448,17.097701149425287,79.88505747126436,72,10.344827586206897,0.29547028684062626,0.03345285303437148
6,1307,52,0.040871934604904556,0.068392370572207,0.3351562969610316,7.115531752104055,3.9020657995409334,88.98240244835502,250,19.127773527161438,0.6918076328050733,1.3518797805114314e-08
7,1546,52,0.033079847908745165,-0.0202788339670469,0.30438754624003533,7.373868046571798,3.6222509702457955,89.0038809831824,80,5.17464424320828,0.32610840942188984,0.018307729697406582
8,1261,52,-0.034633385335413346,-0.0163806552262089,0.34831988358951044,6.978588421887391,8.723235527359238,84.29817605075337,136,10.785091197462332,0.5315957545383487,5.0081002912297774e-05
12,366,49,0.07553648068669523,0.0995708154506437,0.2586256773085714,3.0054644808743167,3.0054644808743167,93.98907103825137,62,16.939890710382514,0.18742333530150893,0.1972044624401441
13,259,48,-0.041304347826087114,-0.0615942028985508,0.2925736667994965,5.405405405405405,5.7915057915057915,88.8030888030888,20,7.722007722007722,-0.07183599663100876,0.6275323772368946
14,6169,52,-0.052708833733653614,-0.0121697357886309,0.31228209588549644,1.3292267790565733,12.222402334251905,86.44837088669152,1200,19.45209920570595,0.5079860295995791,0.00012088166207577769
15,4009,52,0.03697259678120923,0.0462809917355372,0.3021178961324057,6.585183337490647,2.419555999002245,90.99526066350711,860,21.451733599401347,0.6984399931855673,8.57774184094677e-09
16,4292,52,-0.005797101449275346,-0.0575318401405357,0.3308350321938856,10.018639328984156,5.4753028890959925,84.50605778191985,665,15.493942218080148,0.7093054623642465,3.962425785378541e-09
