animal_id,age,louvain,region,age_group,lochness_score,lochness_pvalue,lochness_significant,lochness_category
56R,14.95,11,EC,old,3.5740740740740735,0.0,True,old_enriched
56R,14.95,11,EC,old,1.7444444444444442,0.00931174089068826,True,old_enriched
3D1,13.11,11,EC,old,0.3722222222222221,0.15275303643724697,False,neutral
2Q0,3.21,11,EC,young,-1.0,0.08449392712550607,False,young_enriched
2Q0,3.21,11,EC,young,-1.0,0.08449392712550607,False,young_enriched
2Q0,3.21,11,EC,young,-1.0,0.08449392712550607,False,young_enriched
2Q0,3.21,11,EC,young,-1.0,0.08449392712550607,False,young_enriched
2Q0,3.21,11,EC,young,-1.0,0.08449392712550607,False,young_enriched
2Q0,3.21,11,EC,young,-0.08518518518518527,0.32178137651821864,False,neutral
2Q0,3.21,11,EC,young,-0.08518518518518527,0.32178137651821864,False,neutral
2Q0,3.21,11,EC,young,-0.5425925925925926,0.08449392712550607,False,young_enriched
2Q0,3.21,11,EC,young,-0.5425925925925926,0.08449392712550607,False,young_enriched
56R,14.95,11,EC,old,3.1166666666666663,0.0,True,old_enriched
8H2,10.13,11,EC,old,1.2870370370370368,0.00931174089068826,True,old_enriched
2Q0,3.21,11,EC,young,-0.08518518518518527,0.32178137651821864,False,neutral
2Q0,3.21,11,EC,young,0.8296296296296295,0.044534412955465584,True,old_enriched
2Q0,3.21,11,EC,young,-0.5425925925925926,0.08449392712550607,False,young_enriched
55R,14.97,11,EC,old,1.2870370370370368,0.00931174089068826,True,old_enriched
6L4,8.2,11,EC,young,1.2870370370370368,0.00931174089068826,True,old_enriched
1T9,4.11,11,EC,young,1.2870370370370368,0.00931174089068826,True,old_enriched
2Q0,3.21,11,EC,young,-1.0,0.08449392712550607,False,young_enriched
2Q0,3.21,11,EC,young,-1.0,0.08449392712550607,False,young_enriched
2Q0,3.21,11,EC,young,-1.0,0.08449392712550607,False,young_enriched
56R,14.95,11,EC,old,3.5740740740740735,0.0,True,old_enriched
41N,16.74,11,EC,old,-0.08518518518518527,0.32178137651821864,False,neutral
2Q0,3.21,11,EC,young,-1.0,0.08449392712550607,False,young_enriched
56R,14.95,11,EC,old,3.5740740740740735,0.0,True,old_enriched
2Q0,3.21,11,EC,young,-0.5425925925925926,0.08449392712550607,False,young_enriched
2V1,4.3,11,EC,young,-0.08518518518518527,0.32178137651821864,False,neutral
56R,14.95,11,EC,old,3.5740740740740735,0.0,True,old_enriched
2Q0,3.21,11,EC,young,-0.5425925925925926,0.08449392712550607,False,young_enriched
2Q0,3.21,11,EC,young,-1.0,0.08449392712550607,False,young_enriched
1V8,4.31,11,EC,young,-0.08518518518518527,0.32178137651821864,False,neutral
56R,14.95,11,EC,old,3.5740740740740735,0.0,True,old_enriched
2Q0,3.21,11,EC,young,-0.08518518518518527,0.32178137651821864,False,neutral
2Q0,3.21,11,EC,young,-0.5425925925925926,0.08449392712550607,False,young_enriched
2Q0,3.21,11,EC,young,-1.0,0.08449392712550607,False,young_enriched
2F2,11.04,11,EC,old,-1.0,0.08449392712550607,False,young_enriched
56R,14.95,11,EC,old,3.1166666666666663,0.0,True,old_enriched
2Q0,3.21,11,EC,young,-0.5425925925925926,0.08449392712550607,False,young_enriched
2Q0,3.21,11,EC,young,-1.0,0.08449392712550607,False,young_enriched
56R,14.95,11,EC,old,2.2018518518518513,0.00012145748987854252,True,old_enriched
0B9,12.11,11,EC,old,-0.08518518518518527,0.32178137651821864,False,neutral
1T9,4.11,11,EC,young,2.2018518518518513,0.00012145748987854252,True,old_enriched
2Q0,3.21,11,EC,young,-1.0,0.08449392712550607,False,young_enriched
2Q0,3.21,11,EC,young,-1.0,0.08449392712550607,False,young_enriched
2Q0,3.21,11,EC,young,-0.08518518518518527,0.32178137651821864,False,neutral
