animal_id,age,louvain,region,age_group,lochness_score,lochness_pvalue,lochness_significant,lochness_category
8M0,8.12,11,NAc,young,0.0899500499500499,0.267078750549934,False,neutral
2S2,6.31,11,NAc,young,-1.0,0.0003728552573691157,True,young_enriched
3D1,13.11,11,NAc,old,0.6349250749250749,0.0025296964364276285,True,old_enriched
1G8,7.88,11,NAc,young,-0.4550249750249751,0.1007765068191817,False,neutral
5R4,6.25,11,NAc,young,0.0899500499500499,0.267078750549934,False,neutral
98V,16.03,11,NAc,old,0.4532667332667332,0.10000329960404751,False,neutral
98V,16.03,11,NAc,old,-0.6366833166833167,0.027093048834139905,True,young_enriched
98V,16.03,11,NAc,old,0.4532667332667332,0.10000329960404751,False,neutral
7M4,8.15,11,NAc,young,0.0899500499500499,0.267078750549934,False,neutral
8B3,13.09,11,NAc,old,0.27160839160839156,0.10000329960404751,False,neutral
42T,15.96,11,NAc,old,0.4532667332667332,0.10000329960404751,False,neutral
2T6,5.18,11,NAc,young,-1.0,0.0003728552573691157,True,young_enriched
2T6,5.18,11,NAc,young,0.4532667332667332,0.10000329960404751,False,neutral
31S,17.0,11,NAc,old,0.8165834165834165,0.0,True,old_enriched
82V,16.01,11,NAc,old,0.6349250749250749,0.0025296964364276285,True,old_enriched
0B9,12.11,11,NAc,old,0.27160839160839156,0.10000329960404751,False,neutral
1T9,4.11,11,NAc,young,-0.09170829170829176,0.49436977562692475,False,neutral
4S3,3.18,11,NAc,young,-0.2733666333666334,0.1007765068191817,False,neutral
4S3,3.18,11,NAc,young,-0.09170829170829176,0.49436977562692475,False,neutral
91O,15.86,11,NAc,old,-0.2733666333666334,0.1007765068191817,False,neutral
91O,15.86,11,NAc,old,0.6349250749250749,0.0025296964364276285,True,old_enriched
4Q6,3.22,11,NAc,young,0.0899500499500499,0.267078750549934,False,neutral
5H6,11.03,11,NAc,old,-0.2733666333666334,0.1007765068191817,False,neutral
6L4,8.2,11,NAc,young,0.0899500499500499,0.267078750549934,False,neutral
2I1,10.27,11,NAc,old,-0.4550249750249751,0.1007765068191817,False,neutral
2I1,10.27,11,NAc,old,-0.4550249750249751,0.1007765068191817,False,neutral
1L1,8.17,11,NAc,young,0.27160839160839156,0.10000329960404751,False,neutral
1V8,4.31,11,NAc,young,0.4532667332667332,0.10000329960404751,False,neutral
2V1,4.3,11,NAc,young,-0.8183416583416584,0.004480862296524417,True,young_enriched
77V,16.15,11,NAc,old,-0.4550249750249751,0.1007765068191817,False,neutral
7F0,11.2,11,NAc,old,0.0899500499500499,0.267078750549934,False,neutral
0G3,9.1,11,NAc,young,-0.2733666333666334,0.1007765068191817,False,neutral
74K,20.81,11,NAc,old,0.0899500499500499,0.267078750549934,False,neutral
82V,16.01,11,NAc,old,-0.09170829170829176,0.49436977562692475,False,neutral
0B9,12.11,11,NAc,old,0.0899500499500499,0.267078750549934,False,neutral
0B9,12.11,11,NAc,old,0.6349250749250749,0.0025296964364276285,True,old_enriched
1T9,4.11,11,NAc,young,-0.4550249750249751,0.1007765068191817,False,neutral
2C6,14.03,11,NAc,old,0.27160839160839156,0.10000329960404751,False,neutral
2C6,14.03,11,NAc,old,0.0899500499500499,0.267078750549934,False,neutral
2Q0,3.21,11,NAc,young,0.0899500499500499,0.267078750549934,False,neutral
2Q0,3.21,11,NAc,young,0.0899500499500499,0.267078750549934,False,neutral
2Q0,3.21,11,NAc,young,-0.09170829170829176,0.49436977562692475,False,neutral
2Q0,3.21,11,NAc,young,-0.4550249750249751,0.1007765068191817,False,neutral
2Q0,3.21,11,NAc,young,-0.6366833166833167,0.027093048834139905,True,young_enriched
2S6,3.17,11,NAc,young,0.0899500499500499,0.267078750549934,False,neutral
3R7,3.32,11,NAc,young,0.8165834165834165,0.0,True,old_enriched
3K1,9.01,11,NAc,young,-0.6366833166833167,0.027093048834139905,True,young_enriched
5R4,6.25,11,NAc,young,-0.4550249750249751,0.1007765068191817,False,neutral
2T2,4.09,11,NAc,young,0.6349250749250749,0.0025296964364276285,True,old_enriched
98V,16.03,11,NAc,old,-0.2733666333666334,0.1007765068191817,False,neutral
98V,16.03,11,NAc,old,-0.2733666333666334,0.1007765068191817,False,neutral
50P,15.59,11,NAc,old,0.6349250749250749,0.0025296964364276285,True,old_enriched
97R,17.93,11,NAc,old,0.8165834165834165,0.0,True,old_enriched
8B3,13.09,11,NAc,old,-0.2733666333666334,0.1007765068191817,False,neutral
2T6,5.18,11,NAc,young,0.27160839160839156,0.10000329960404751,False,neutral
2T6,5.18,11,NAc,young,-0.4550249750249751,0.1007765068191817,False,neutral
2T6,5.18,11,NAc,young,-0.8183416583416584,0.004480862296524417,True,young_enriched
31S,17.0,11,NAc,old,0.27160839160839156,0.10000329960404751,False,neutral
31S,17.0,11,NAc,old,0.0899500499500499,0.267078750549934,False,neutral
77V,16.15,11,NAc,old,0.27160839160839156,0.10000329960404751,False,neutral
7F0,11.2,11,NAc,old,0.4532667332667332,0.10000329960404751,False,neutral
43N,17.0,11,NAc,old,0.27160839160839156,0.10000329960404751,False,neutral
0B9,12.11,11,NAc,old,0.0899500499500499,0.267078750549934,False,neutral
