animal_id,age,louvain,region,age_group,lochness_score,lochness_pvalue,lochness_significant,lochness_category
5R4,6.25,13,HIP,young,0.24038461538461536,0.16953488372093023,False,neutral
2T2,4.09,13,HIP,young,-0.007692307692307706,0.6207751937984496,False,neutral
7M4,8.15,13,HIP,young,-0.2557692307692308,0.14302325581395348,False,neutral
2S6,3.17,13,HIP,young,-0.5038461538461538,0.14302325581395348,False,young_enriched
1T9,4.11,13,HIP,young,-0.007692307692307706,0.6207751937984496,False,neutral
8M0,8.12,13,HIP,young,-0.2557692307692308,0.14302325581395348,False,neutral
3R7,3.32,13,HIP,young,-0.2557692307692308,0.14302325581395348,False,neutral
2Q0,3.21,13,HIP,young,-0.5038461538461538,0.14302325581395348,False,young_enriched
0B9,12.11,13,HIP,old,0.7365384615384615,0.04945736434108527,True,old_enriched
2Q0,3.21,13,HIP,young,0.24038461538461536,0.16953488372093023,False,neutral
4Q6,3.22,13,HIP,young,-0.5038461538461538,0.14302325581395348,False,young_enriched
46Z,13.97,13,HIP,old,-0.2557692307692308,0.14302325581395348,False,neutral
77V,16.15,13,HIP,old,0.24038461538461536,0.16953488372093023,False,neutral
2Q0,3.21,13,HIP,young,-0.007692307692307706,0.6207751937984496,False,neutral
4S3,3.18,13,HIP,young,-0.7519230769230769,0.037209302325581395,True,young_enriched
2T2,4.09,13,HIP,young,-0.2557692307692308,0.14302325581395348,False,neutral
77V,16.15,13,HIP,old,0.24038461538461536,0.16953488372093023,False,neutral
46Z,13.97,13,HIP,old,-0.7519230769230769,0.037209302325581395,True,young_enriched
0G3,9.1,13,HIP,young,-0.2557692307692308,0.14302325581395348,False,neutral
1T9,4.11,13,HIP,young,0.24038461538461536,0.16953488372093023,False,neutral
2Q0,3.21,13,HIP,young,-0.007692307692307706,0.6207751937984496,False,neutral
7F0,11.2,13,HIP,old,-0.007692307692307706,0.6207751937984496,False,neutral
2T6,5.18,13,HIP,young,-0.2557692307692308,0.14302325581395348,False,neutral
8M0,8.12,13,HIP,young,-0.007692307692307706,0.6207751937984496,False,neutral
2S6,3.17,13,HIP,young,-0.007692307692307706,0.6207751937984496,False,neutral
2T2,4.09,13,HIP,young,-0.5038461538461538,0.14302325581395348,False,young_enriched
5H6,11.03,13,HIP,old,-0.007692307692307706,0.6207751937984496,False,neutral
3E4,11.99,13,HIP,old,-0.007692307692307706,0.6207751937984496,False,neutral
8C9,12.12,13,HIP,old,-0.007692307692307706,0.6207751937984496,False,neutral
43N,17.0,13,HIP,old,0.24038461538461536,0.16953488372093023,False,neutral
3D1,13.11,13,HIP,old,0.7365384615384615,0.04945736434108527,True,old_enriched
1P5,6.21,13,HIP,young,-0.007692307692307706,0.6207751937984496,False,neutral
56K,19.93,13,HIP,old,0.24038461538461536,0.16953488372093023,False,neutral
31S,17.0,13,HIP,old,0.7365384615384615,0.04945736434108527,True,old_enriched
56K,19.93,13,HIP,old,-0.2557692307692308,0.14302325581395348,False,neutral
2S6,3.17,13,HIP,young,-0.007692307692307706,0.6207751937984496,False,neutral
5R4,6.25,13,HIP,young,-0.007692307692307706,0.6207751937984496,False,neutral
8C9,12.12,13,HIP,old,0.7365384615384615,0.04945736434108527,True,old_enriched
1P5,6.21,13,HIP,young,-0.007692307692307706,0.6207751937984496,False,neutral
7F0,11.2,13,HIP,old,-0.007692307692307706,0.6207751937984496,False,neutral
1T9,4.11,13,HIP,young,-0.007692307692307706,0.6207751937984496,False,neutral
46Z,13.97,13,HIP,old,0.7365384615384615,0.04945736434108527,True,old_enriched
8B3,13.09,13,HIP,old,-0.5038461538461538,0.14302325581395348,False,young_enriched
6D9,13.11,13,HIP,old,0.48846153846153845,0.04945736434108527,True,neutral
1P5,6.21,13,HIP,young,-0.007692307692307706,0.6207751937984496,False,neutral
37V,15.07,13,HIP,old,-0.2557692307692308,0.14302325581395348,False,neutral
5R4,6.25,13,HIP,young,0.24038461538461536,0.16953488372093023,False,neutral
4Q6,3.22,13,HIP,young,-0.007692307692307706,0.6207751937984496,False,neutral
4J6,7.15,13,HIP,young,-0.2557692307692308,0.14302325581395348,False,neutral
1L1,8.17,13,HIP,young,-0.5038461538461538,0.14302325581395348,False,young_enriched
2S6,3.17,13,HIP,young,-0.007692307692307706,0.6207751937984496,False,neutral
4J6,7.15,13,HIP,young,-0.2557692307692308,0.14302325581395348,False,neutral
0G3,9.1,13,HIP,young,-0.007692307692307706,0.6207751937984496,False,neutral
55R,14.97,13,HIP,old,-0.2557692307692308,0.14302325581395348,False,neutral
77V,16.15,13,HIP,old,0.24038461538461536,0.16953488372093023,False,neutral
2S2,6.31,13,HIP,young,-0.2557692307692308,0.14302325581395348,False,neutral
1L1,8.17,13,HIP,young,0.9846153846153846,0.010077519379844961,True,old_enriched
56R,14.95,13,HIP,old,0.48846153846153845,0.04945736434108527,True,neutral
2S6,3.17,13,HIP,young,0.24038461538461536,0.16953488372093023,False,neutral
4J6,7.15,13,HIP,young,-0.007692307692307706,0.6207751937984496,False,neutral
5R4,6.25,13,HIP,young,0.24038461538461536,0.16953488372093023,False,neutral
7F0,11.2,13,HIP,old,-0.2557692307692308,0.14302325581395348,False,neutral
50P,15.59,13,HIP,old,-0.007692307692307706,0.6207751937984496,False,neutral
4Q6,3.22,13,HIP,young,-0.2557692307692308,0.14302325581395348,False,neutral
56R,14.95,13,HIP,old,-0.007692307692307706,0.6207751937984496,False,neutral
2S2,6.31,13,HIP,young,0.7365384615384615,0.04945736434108527,True,old_enriched
1G8,7.88,13,HIP,young,-0.7519230769230769,0.037209302325581395,True,young_enriched
2F2,11.04,13,HIP,old,0.24038461538461536,0.16953488372093023,False,neutral
3R7,3.32,13,HIP,young,-0.5038461538461538,0.14302325581395348,False,young_enriched
82V,16.01,13,HIP,old,0.48846153846153845,0.04945736434108527,True,neutral
8M0,8.12,13,HIP,young,-0.7519230769230769,0.037209302325581395,True,young_enriched
2Q0,3.21,13,HIP,young,0.24038461538461536,0.16953488372093023,False,neutral
4S3,3.18,13,HIP,young,-0.007692307692307706,0.6207751937984496,False,neutral
3R7,3.32,13,HIP,young,-0.007692307692307706,0.6207751937984496,False,neutral
6D9,13.11,13,HIP,old,0.9846153846153846,0.010077519379844961,True,old_enriched
3T5,5.12,13,HIP,young,-0.2557692307692308,0.14302325581395348,False,neutral
7F0,11.2,13,HIP,old,-0.007692307692307706,0.6207751937984496,False,neutral
8I6,9.9,13,HIP,young,-0.007692307692307706,0.6207751937984496,False,neutral
4J6,7.15,13,HIP,young,-0.2557692307692308,0.14302325581395348,False,neutral
3T5,5.12,13,HIP,young,-0.007692307692307706,0.6207751937984496,False,neutral
2Q0,3.21,13,HIP,young,-0.2557692307692308,0.14302325581395348,False,neutral
5H6,11.03,13,HIP,old,-0.2557692307692308,0.14302325581395348,False,neutral
2S2,6.31,13,HIP,young,-0.007692307692307706,0.6207751937984496,False,neutral
2S6,3.17,13,HIP,young,-0.007692307692307706,0.6207751937984496,False,neutral
2S6,3.17,13,HIP,young,-0.5038461538461538,0.14302325581395348,False,young_enriched
46Z,13.97,13,HIP,old,1.2326923076923078,0.0009302325581395349,True,old_enriched
3R7,3.32,13,HIP,young,-0.5038461538461538,0.14302325581395348,False,young_enriched
1G8,7.88,13,HIP,young,-0.007692307692307706,0.6207751937984496,False,neutral
55R,14.97,13,HIP,old,-0.2557692307692308,0.14302325581395348,False,neutral
3D1,13.11,13,HIP,old,0.24038461538461536,0.16953488372093023,False,neutral
98V,16.03,13,HIP,old,0.9846153846153846,0.010077519379844961,True,old_enriched
8B3,13.09,13,HIP,old,-0.2557692307692308,0.14302325581395348,False,neutral
43N,17.0,13,HIP,old,0.24038461538461536,0.16953488372093023,False,neutral
98V,16.03,13,HIP,old,-0.007692307692307706,0.6207751937984496,False,neutral
2F2,11.04,13,HIP,old,-0.007692307692307706,0.6207751937984496,False,neutral
0B9,12.11,13,HIP,old,-0.2557692307692308,0.14302325581395348,False,neutral
82V,16.01,13,HIP,old,-0.007692307692307706,0.6207751937984496,False,neutral
2V1,4.3,13,HIP,young,-0.2557692307692308,0.14302325581395348,False,neutral
8M0,8.12,13,HIP,young,-0.007692307692307706,0.6207751937984496,False,neutral
4S3,3.18,13,HIP,young,0.7365384615384615,0.04945736434108527,True,old_enriched
98V,16.03,13,HIP,old,0.24038461538461536,0.16953488372093023,False,neutral
82V,16.01,13,HIP,old,0.7365384615384615,0.04945736434108527,True,old_enriched
4Q6,3.22,13,HIP,young,-0.5038461538461538,0.14302325581395348,False,young_enriched
2S6,3.17,13,HIP,young,0.48846153846153845,0.04945736434108527,True,neutral
3R7,3.32,13,HIP,young,-0.5038461538461538,0.14302325581395348,False,young_enriched
8M0,8.12,13,HIP,young,-0.5038461538461538,0.14302325581395348,False,young_enriched
82V,16.01,13,HIP,old,0.24038461538461536,0.16953488372093023,False,neutral
1L1,8.17,13,HIP,young,-0.2557692307692308,0.14302325581395348,False,neutral
82V,16.01,13,HIP,old,0.48846153846153845,0.04945736434108527,True,neutral
6D9,13.11,13,HIP,old,-0.007692307692307706,0.6207751937984496,False,neutral
0G3,9.1,13,HIP,young,-0.2557692307692308,0.14302325581395348,False,neutral
0G3,9.1,13,HIP,young,0.48846153846153845,0.04945736434108527,True,neutral
3T5,5.12,13,HIP,young,-0.007692307692307706,0.6207751937984496,False,neutral
3D1,13.11,13,HIP,old,0.48846153846153845,0.04945736434108527,True,neutral
8B3,13.09,13,HIP,old,0.24038461538461536,0.16953488372093023,False,neutral
2T6,5.18,13,HIP,young,-0.2557692307692308,0.14302325581395348,False,neutral
3R7,3.32,13,HIP,young,-0.2557692307692308,0.14302325581395348,False,neutral
2V1,4.3,13,HIP,young,-0.2557692307692308,0.14302325581395348,False,neutral
0G3,9.1,13,HIP,young,-0.5038461538461538,0.14302325581395348,False,young_enriched
8C9,12.12,13,HIP,old,-0.5038461538461538,0.14302325581395348,False,young_enriched
3D1,13.11,13,HIP,old,-0.5038461538461538,0.14302325581395348,False,young_enriched
0G3,9.1,13,HIP,young,-0.2557692307692308,0.14302325581395348,False,neutral
1P5,6.21,13,HIP,young,0.9846153846153846,0.010077519379844961,True,old_enriched
1L1,8.17,13,HIP,young,0.7365384615384615,0.04945736434108527,True,old_enriched
2V1,4.3,13,HIP,young,0.24038461538461536,0.16953488372093023,False,neutral
8I6,9.9,13,HIP,young,0.24038461538461536,0.16953488372093023,False,neutral
3D1,13.11,13,HIP,old,-0.7519230769230769,0.037209302325581395,True,young_enriched
2I1,10.27,13,HIP,old,-0.007692307692307706,0.6207751937984496,False,neutral
2Q0,3.21,13,HIP,young,-0.5038461538461538,0.14302325581395348,False,young_enriched
