animal_id,age,louvain,region,age_group,lochness_score,lochness_pvalue,lochness_significant,lochness_category
4Q6,3.22,14,ACC,young,-0.11764705882352951,0.5420666666666667,False,neutral
1V8,4.31,14,ACC,young,-0.11764705882352951,0.5420666666666667,False,neutral
2I1,10.27,14,ACC,old,1.0588235294117645,0.019666666666666666,True,old_enriched
3K1,9.01,14,ACC,young,0.4705882352941175,0.22546666666666668,False,neutral
3K1,9.01,14,ACC,young,0.176470588235294,0.45793333333333336,False,neutral
4Q6,3.22,14,ACC,young,-0.11764705882352951,0.5420666666666667,False,neutral
3T5,5.12,14,ACC,young,-0.411764705882353,0.2760666666666667,False,neutral
0B9,12.11,14,ACC,old,0.764705882352941,0.08013333333333333,False,old_enriched
7F0,11.2,14,ACC,old,-0.11764705882352951,0.5420666666666667,False,neutral
3K1,9.01,14,ACC,young,0.176470588235294,0.45793333333333336,False,neutral
1V8,4.31,14,ACC,young,-0.411764705882353,0.2760666666666667,False,neutral
5R4,6.25,14,ACC,young,-1.0,0.012866666666666667,True,young_enriched
4Q6,3.22,14,ACC,young,-0.7058823529411765,0.08953333333333334,False,young_enriched
5R4,6.25,14,ACC,young,-0.411764705882353,0.2760666666666667,False,neutral
55R,14.97,14,ACC,old,0.176470588235294,0.45793333333333336,False,neutral
7F0,11.2,14,ACC,old,0.176470588235294,0.45793333333333336,False,neutral
3K1,9.01,14,ACC,young,0.176470588235294,0.45793333333333336,False,neutral
3K1,9.01,14,ACC,young,0.176470588235294,0.45793333333333336,False,neutral
3T5,5.12,14,ACC,young,-0.11764705882352951,0.5420666666666667,False,neutral
3T5,5.12,14,ACC,young,0.764705882352941,0.08013333333333333,False,old_enriched
3K1,9.01,14,ACC,young,0.176470588235294,0.45793333333333336,False,neutral
55R,14.97,14,ACC,old,1.0588235294117645,0.019666666666666666,True,old_enriched
77V,16.15,14,ACC,old,0.4705882352941175,0.22546666666666668,False,neutral
82V,16.01,14,ACC,old,0.764705882352941,0.08013333333333333,False,old_enriched
42T,15.96,14,ACC,old,0.176470588235294,0.45793333333333336,False,neutral
3K1,9.01,14,ACC,young,0.764705882352941,0.08013333333333333,False,old_enriched
1L1,8.17,14,ACC,young,-1.0,0.012866666666666667,True,young_enriched
5H6,11.03,14,ACC,old,0.176470588235294,0.45793333333333336,False,neutral
2T6,5.18,14,ACC,young,-0.411764705882353,0.2760666666666667,False,neutral
1V8,4.31,14,ACC,young,-0.11764705882352951,0.5420666666666667,False,neutral
55R,14.97,14,ACC,old,0.764705882352941,0.08013333333333333,False,old_enriched
1V8,4.31,14,ACC,young,0.764705882352941,0.08013333333333333,False,old_enriched
1T9,4.11,14,ACC,young,0.176470588235294,0.45793333333333336,False,neutral
4Q6,3.22,14,ACC,young,0.176470588235294,0.45793333333333336,False,neutral
5R4,6.25,14,ACC,young,0.176470588235294,0.45793333333333336,False,neutral
4Q6,3.22,14,ACC,young,-0.411764705882353,0.2760666666666667,False,neutral
3K1,9.01,14,ACC,young,0.176470588235294,0.45793333333333336,False,neutral
3D1,13.11,14,ACC,old,-0.7058823529411765,0.08953333333333334,False,young_enriched
4Q6,3.22,14,ACC,young,-0.11764705882352951,0.5420666666666667,False,neutral
42T,15.96,14,ACC,old,0.4705882352941175,0.22546666666666668,False,neutral
3K1,9.01,14,ACC,young,-0.11764705882352951,0.5420666666666667,False,neutral
3K1,9.01,14,ACC,young,-0.11764705882352951,0.5420666666666667,False,neutral
2V1,4.3,14,ACC,young,0.764705882352941,0.08013333333333333,False,old_enriched
2T6,5.18,14,ACC,young,-0.411764705882353,0.2760666666666667,False,neutral
1V8,4.31,14,ACC,young,-0.411764705882353,0.2760666666666667,False,neutral
82V,16.01,14,ACC,old,-0.411764705882353,0.2760666666666667,False,neutral
3K1,9.01,14,ACC,young,0.4705882352941175,0.22546666666666668,False,neutral
2I1,10.27,14,ACC,old,0.4705882352941175,0.22546666666666668,False,neutral
3K1,9.01,14,ACC,young,0.176470588235294,0.45793333333333336,False,neutral
1V8,4.31,14,ACC,young,0.4705882352941175,0.22546666666666668,False,neutral
3K1,9.01,14,ACC,young,-0.11764705882352951,0.5420666666666667,False,neutral
3K1,9.01,14,ACC,young,0.4705882352941175,0.22546666666666668,False,neutral
4Q6,3.22,14,ACC,young,0.4705882352941175,0.22546666666666668,False,neutral
5R4,6.25,14,ACC,young,0.4705882352941175,0.22546666666666668,False,neutral
1V8,4.31,14,ACC,young,0.4705882352941175,0.22546666666666668,False,neutral
55R,14.97,14,ACC,old,1.0588235294117645,0.019666666666666666,True,old_enriched
4S3,3.18,14,ACC,young,-0.411764705882353,0.2760666666666667,False,neutral
7F0,11.2,14,ACC,old,1.0588235294117645,0.019666666666666666,True,old_enriched
2C6,14.03,14,ACC,old,1.352941176470588,0.0005333333333333334,True,old_enriched
2S2,6.31,14,ACC,young,0.764705882352941,0.08013333333333333,False,old_enriched
3K1,9.01,14,ACC,young,-0.7058823529411765,0.08953333333333334,False,young_enriched
55R,14.97,14,ACC,old,1.352941176470588,0.0005333333333333334,True,old_enriched
5R4,6.25,14,ACC,young,0.176470588235294,0.45793333333333336,False,neutral
43N,17.0,14,ACC,old,-0.411764705882353,0.2760666666666667,False,neutral
55R,14.97,14,ACC,old,0.764705882352941,0.08013333333333333,False,old_enriched
4Q6,3.22,14,ACC,young,1.0588235294117645,0.019666666666666666,True,old_enriched
6D9,13.11,14,ACC,old,0.764705882352941,0.08013333333333333,False,old_enriched
3T5,5.12,14,ACC,young,-0.7058823529411765,0.08953333333333334,False,young_enriched
5R4,6.25,14,ACC,young,0.4705882352941175,0.22546666666666668,False,neutral
4Q6,3.22,14,ACC,young,-0.7058823529411765,0.08953333333333334,False,young_enriched
4Q6,3.22,14,ACC,young,0.176470588235294,0.45793333333333336,False,neutral
3K1,9.01,14,ACC,young,-0.11764705882352951,0.5420666666666667,False,neutral
3K1,9.01,14,ACC,young,1.0588235294117645,0.019666666666666666,True,old_enriched
2C6,14.03,14,ACC,old,1.0588235294117645,0.019666666666666666,True,old_enriched
55R,14.97,14,ACC,old,-0.11764705882352951,0.5420666666666667,False,neutral
55R,14.97,14,ACC,old,0.176470588235294,0.45793333333333336,False,neutral
7F0,11.2,14,ACC,old,-0.411764705882353,0.2760666666666667,False,neutral
5R4,6.25,14,ACC,young,0.4705882352941175,0.22546666666666668,False,neutral
4Q6,3.22,14,ACC,young,1.0588235294117645,0.019666666666666666,True,old_enriched
5R4,6.25,14,ACC,young,-0.7058823529411765,0.08953333333333334,False,young_enriched
2I1,10.27,14,ACC,old,-0.11764705882352951,0.5420666666666667,False,neutral
2S6,3.17,14,ACC,young,-0.11764705882352951,0.5420666666666667,False,neutral
6D9,13.11,14,ACC,old,0.764705882352941,0.08013333333333333,False,old_enriched
55R,14.97,14,ACC,old,0.764705882352941,0.08013333333333333,False,old_enriched
91O,15.86,14,ACC,old,1.0588235294117645,0.019666666666666666,True,old_enriched
3K1,9.01,14,ACC,young,-0.411764705882353,0.2760666666666667,False,neutral
5R4,6.25,14,ACC,young,0.176470588235294,0.45793333333333336,False,neutral
1P5,6.21,14,ACC,young,-0.411764705882353,0.2760666666666667,False,neutral
2T2,4.09,14,ACC,young,-0.411764705882353,0.2760666666666667,False,neutral
3K1,9.01,14,ACC,young,1.0588235294117645,0.019666666666666666,True,old_enriched
1L1,8.17,14,ACC,young,-1.0,0.012866666666666667,True,young_enriched
1L1,8.17,14,ACC,young,1.0588235294117645,0.019666666666666666,True,old_enriched
55R,14.97,14,ACC,old,-0.11764705882352951,0.5420666666666667,False,neutral
55R,14.97,14,ACC,old,-0.11764705882352951,0.5420666666666667,False,neutral
55R,14.97,14,ACC,old,-0.11764705882352951,0.5420666666666667,False,neutral
4S3,3.18,14,ACC,young,0.4705882352941175,0.22546666666666668,False,neutral
5R4,6.25,14,ACC,young,-0.411764705882353,0.2760666666666667,False,neutral
82V,16.01,14,ACC,old,0.764705882352941,0.08013333333333333,False,old_enriched
2V1,4.3,14,ACC,young,-0.7058823529411765,0.08953333333333334,False,young_enriched
55R,14.97,14,ACC,old,1.0588235294117645,0.019666666666666666,True,old_enriched
6D9,13.11,14,ACC,old,0.764705882352941,0.08013333333333333,False,old_enriched
3T5,5.12,14,ACC,young,0.176470588235294,0.45793333333333336,False,neutral
3K1,9.01,14,ACC,young,0.176470588235294,0.45793333333333336,False,neutral
1V8,4.31,14,ACC,young,1.0588235294117645,0.019666666666666666,True,old_enriched
4Q6,3.22,14,ACC,young,-0.411764705882353,0.2760666666666667,False,neutral
42T,15.96,14,ACC,old,-0.11764705882352951,0.5420666666666667,False,neutral
5R4,6.25,14,ACC,young,0.764705882352941,0.08013333333333333,False,old_enriched
2Q0,3.21,14,ACC,young,0.4705882352941175,0.22546666666666668,False,neutral
5R4,6.25,14,ACC,young,0.4705882352941175,0.22546666666666668,False,neutral
55R,14.97,14,ACC,old,1.0588235294117645,0.019666666666666666,True,old_enriched
1V8,4.31,14,ACC,young,1.0588235294117645,0.019666666666666666,True,old_enriched
1P5,6.21,14,ACC,young,-0.11764705882352951,0.5420666666666667,False,neutral
2F2,11.04,14,ACC,old,1.0588235294117645,0.019666666666666666,True,old_enriched
1V8,4.31,14,ACC,young,-0.7058823529411765,0.08953333333333334,False,young_enriched
4Q6,3.22,14,ACC,young,-0.11764705882352951,0.5420666666666667,False,neutral
2T6,5.18,14,ACC,young,0.764705882352941,0.08013333333333333,False,old_enriched
5R4,6.25,14,ACC,young,1.0588235294117645,0.019666666666666666,True,old_enriched
4J6,7.15,14,ACC,young,-0.11764705882352951,0.5420666666666667,False,neutral
3T5,5.12,14,ACC,young,0.176470588235294,0.45793333333333336,False,neutral
98V,16.03,14,ACC,old,0.176470588235294,0.45793333333333336,False,neutral
55R,14.97,14,ACC,old,0.176470588235294,0.45793333333333336,False,neutral
43N,17.0,14,ACC,old,0.764705882352941,0.08013333333333333,False,old_enriched
4Q6,3.22,14,ACC,young,0.4705882352941175,0.22546666666666668,False,neutral
3K1,9.01,14,ACC,young,0.764705882352941,0.08013333333333333,False,old_enriched
2F2,11.04,14,ACC,old,1.0588235294117645,0.019666666666666666,True,old_enriched
82V,16.01,14,ACC,old,-0.411764705882353,0.2760666666666667,False,neutral
55R,14.97,14,ACC,old,1.352941176470588,0.0005333333333333334,True,old_enriched
4Q6,3.22,14,ACC,young,-0.7058823529411765,0.08953333333333334,False,young_enriched
2I1,10.27,14,ACC,old,0.176470588235294,0.45793333333333336,False,neutral
6D9,13.11,14,ACC,old,0.4705882352941175,0.22546666666666668,False,neutral
1V8,4.31,14,ACC,young,0.4705882352941175,0.22546666666666668,False,neutral
3K1,9.01,14,ACC,young,0.4705882352941175,0.22546666666666668,False,neutral
3K1,9.01,14,ACC,young,-0.7058823529411765,0.08953333333333334,False,young_enriched
3K1,9.01,14,ACC,young,-0.411764705882353,0.2760666666666667,False,neutral
55R,14.97,14,ACC,old,0.764705882352941,0.08013333333333333,False,old_enriched
