animal_id,age,louvain,region,age_group,lochness_score,lochness_pvalue,lochness_significant,lochness_category
2Q0,3.21,15,CN,young,-0.2666666666666666,0.2638755980861244,False,neutral
42T,15.96,15,CN,old,0.10000000000000007,0.49282296650717705,False,neutral
4S3,3.18,15,CN,young,0.28333333333333344,0.09248803827751197,False,neutral
43N,17.0,15,CN,old,-0.08333333333333326,0.507177033492823,False,neutral
77V,16.15,15,CN,old,0.10000000000000007,0.49282296650717705,False,neutral
82V,16.01,15,CN,old,-0.08333333333333326,0.507177033492823,False,neutral
8M0,8.12,15,CN,young,0.10000000000000007,0.49282296650717705,False,neutral
8I6,9.9,15,CN,young,-0.44999999999999996,0.027033492822966507,True,neutral
2Q0,3.21,15,CN,young,-0.44999999999999996,0.027033492822966507,True,neutral
42T,15.96,15,CN,old,-0.2666666666666666,0.2638755980861244,False,neutral
7M4,8.15,15,CN,young,0.28333333333333344,0.09248803827751197,False,neutral
43N,17.0,15,CN,old,0.28333333333333344,0.09248803827751197,False,neutral
43N,17.0,15,CN,old,0.10000000000000007,0.49282296650717705,False,neutral
3K1,9.01,15,CN,young,0.28333333333333344,0.09248803827751197,False,neutral
2F2,11.04,15,CN,old,0.10000000000000007,0.49282296650717705,False,neutral
6L4,8.2,15,CN,young,-0.08333333333333326,0.507177033492823,False,neutral
77V,16.15,15,CN,old,0.10000000000000007,0.49282296650717705,False,neutral
2F2,11.04,15,CN,old,0.10000000000000007,0.49282296650717705,False,neutral
2T6,5.18,15,CN,young,0.10000000000000007,0.49282296650717705,False,neutral
43N,17.0,15,CN,old,-0.08333333333333326,0.507177033492823,False,neutral
2F2,11.04,15,CN,old,-0.2666666666666666,0.2638755980861244,False,neutral
74K,20.81,15,CN,old,0.4666666666666668,0.09248803827751197,False,neutral
8M0,8.12,15,CN,young,-0.2666666666666666,0.2638755980861244,False,neutral
42T,15.96,15,CN,old,-0.2666666666666666,0.2638755980861244,False,neutral
55R,14.97,15,CN,old,-0.08333333333333326,0.507177033492823,False,neutral
74K,20.81,15,CN,old,0.4666666666666668,0.09248803827751197,False,neutral
43N,17.0,15,CN,old,0.28333333333333344,0.09248803827751197,False,neutral
3K1,9.01,15,CN,young,-0.08333333333333326,0.507177033492823,False,neutral
42T,15.96,15,CN,old,0.4666666666666668,0.09248803827751197,False,neutral
43N,17.0,15,CN,old,0.10000000000000007,0.49282296650717705,False,neutral
55R,14.97,15,CN,old,-0.08333333333333326,0.507177033492823,False,neutral
46Z,13.97,15,CN,old,0.28333333333333344,0.09248803827751197,False,neutral
2C6,14.03,15,CN,old,-0.08333333333333326,0.507177033492823,False,neutral
3D1,13.11,15,CN,old,-0.2666666666666666,0.2638755980861244,False,neutral
2Q0,3.21,15,CN,young,0.10000000000000007,0.49282296650717705,False,neutral
2Q0,3.21,15,CN,young,-0.08333333333333326,0.507177033492823,False,neutral
31S,17.0,15,CN,old,0.10000000000000007,0.49282296650717705,False,neutral
6L4,8.2,15,CN,young,0.28333333333333344,0.09248803827751197,False,neutral
77V,16.15,15,CN,old,-0.44999999999999996,0.027033492822966507,True,neutral
77V,16.15,15,CN,old,-0.2666666666666666,0.2638755980861244,False,neutral
1T9,4.11,15,CN,young,-0.08333333333333326,0.507177033492823,False,neutral
31S,17.0,15,CN,old,-0.08333333333333326,0.507177033492823,False,neutral
2T6,5.18,15,CN,young,0.10000000000000007,0.49282296650717705,False,neutral
4S3,3.18,15,CN,young,0.28333333333333344,0.09248803827751197,False,neutral
37V,15.07,15,CN,old,0.10000000000000007,0.49282296650717705,False,neutral
3D1,13.11,15,CN,old,0.10000000000000007,0.49282296650717705,False,neutral
8B3,13.09,15,CN,old,0.10000000000000007,0.49282296650717705,False,neutral
41N,16.74,15,CN,old,-0.2666666666666666,0.2638755980861244,False,neutral
4Q6,3.22,15,CN,young,-0.2666666666666666,0.2638755980861244,False,neutral
4J6,7.15,15,CN,young,-0.08333333333333326,0.507177033492823,False,neutral
8I6,9.9,15,CN,young,-0.08333333333333326,0.507177033492823,False,neutral
2F2,11.04,15,CN,old,0.4666666666666668,0.09248803827751197,False,neutral
5H6,11.03,15,CN,old,0.10000000000000007,0.49282296650717705,False,neutral
1P5,6.21,15,CN,young,0.28333333333333344,0.09248803827751197,False,neutral
42T,15.96,15,CN,old,-0.08333333333333326,0.507177033492823,False,neutral
6L4,8.2,15,CN,young,-0.6333333333333333,0.003875598086124402,True,young_enriched
77V,16.15,15,CN,old,0.10000000000000007,0.49282296650717705,False,neutral
74K,20.81,15,CN,old,0.10000000000000007,0.49282296650717705,False,neutral
8I6,9.9,15,CN,young,-0.2666666666666666,0.2638755980861244,False,neutral
3T5,5.12,15,CN,young,0.28333333333333344,0.09248803827751197,False,neutral
43N,17.0,15,CN,old,0.10000000000000007,0.49282296650717705,False,neutral
4J6,7.15,15,CN,young,-0.2666666666666666,0.2638755980861244,False,neutral
91O,15.86,15,CN,old,-0.44999999999999996,0.027033492822966507,True,neutral
50P,15.59,15,CN,old,0.10000000000000007,0.49282296650717705,False,neutral
3D1,13.11,15,CN,old,0.4666666666666668,0.09248803827751197,False,neutral
4S3,3.18,15,CN,young,-0.44999999999999996,0.027033492822966507,True,neutral
2I1,10.27,15,CN,old,-0.08333333333333326,0.507177033492823,False,neutral
2Q0,3.21,15,CN,young,-0.08333333333333326,0.507177033492823,False,neutral
8H2,10.13,15,CN,old,-0.6333333333333333,0.003875598086124402,True,young_enriched
1V8,4.31,15,CN,young,0.10000000000000007,0.49282296650717705,False,neutral
2Q0,3.21,15,CN,young,-0.2666666666666666,0.2638755980861244,False,neutral
8I6,9.9,15,CN,young,0.28333333333333344,0.09248803827751197,False,neutral
91O,15.86,15,CN,old,0.10000000000000007,0.49282296650717705,False,neutral
1V8,4.31,15,CN,young,-0.2666666666666666,0.2638755980861244,False,neutral
2Q0,3.21,15,CN,young,-0.08333333333333326,0.507177033492823,False,neutral
4S3,3.18,15,CN,young,-0.44999999999999996,0.027033492822966507,True,neutral
2T6,5.18,15,CN,young,0.10000000000000007,0.49282296650717705,False,neutral
2Q0,3.21,15,CN,young,-0.2666666666666666,0.2638755980861244,False,neutral
4J6,7.15,15,CN,young,-0.08333333333333326,0.507177033492823,False,neutral
42T,15.96,15,CN,old,0.10000000000000007,0.49282296650717705,False,neutral
8B3,13.09,15,CN,old,-0.08333333333333326,0.507177033492823,False,neutral
6L4,8.2,15,CN,young,-0.08333333333333326,0.507177033492823,False,neutral
77V,16.15,15,CN,old,0.10000000000000007,0.49282296650717705,False,neutral
8M0,8.12,15,CN,young,-0.2666666666666666,0.2638755980861244,False,neutral
8C9,12.12,15,CN,old,0.10000000000000007,0.49282296650717705,False,neutral
2F2,11.04,15,CN,old,-0.2666666666666666,0.2638755980861244,False,neutral
31S,17.0,15,CN,old,-0.2666666666666666,0.2638755980861244,False,neutral
1V8,4.31,15,CN,young,0.10000000000000007,0.49282296650717705,False,neutral
4J6,7.15,15,CN,young,0.10000000000000007,0.49282296650717705,False,neutral
43N,17.0,15,CN,old,0.10000000000000007,0.49282296650717705,False,neutral
8H2,10.13,15,CN,old,-0.2666666666666666,0.2638755980861244,False,neutral
43N,17.0,15,CN,old,-0.08333333333333326,0.507177033492823,False,neutral
2T2,4.09,15,CN,young,0.4666666666666668,0.09248803827751197,False,neutral
8M0,8.12,15,CN,young,0.28333333333333344,0.09248803827751197,False,neutral
82V,16.01,15,CN,old,-0.08333333333333326,0.507177033492823,False,neutral
1G8,7.88,15,CN,young,0.28333333333333344,0.09248803827751197,False,neutral
2Q0,3.21,15,CN,young,0.4666666666666668,0.09248803827751197,False,neutral
6O7,6.03,15,CN,young,-0.2666666666666666,0.2638755980861244,False,neutral
74K,20.81,15,CN,old,-0.08333333333333326,0.507177033492823,False,neutral
4J6,7.15,15,CN,young,-0.44999999999999996,0.027033492822966507,True,neutral
2C6,14.03,15,CN,old,0.10000000000000007,0.49282296650717705,False,neutral
98V,16.03,15,CN,old,-0.08333333333333326,0.507177033492823,False,neutral
2T6,5.18,15,CN,young,0.4666666666666668,0.09248803827751197,False,neutral
97R,17.93,15,CN,old,-0.2666666666666666,0.2638755980861244,False,neutral
77V,16.15,15,CN,old,-0.44999999999999996,0.027033492822966507,True,neutral
74K,20.81,15,CN,old,0.28333333333333344,0.09248803827751197,False,neutral
6L4,8.2,15,CN,young,0.28333333333333344,0.09248803827751197,False,neutral
6L4,8.2,15,CN,young,0.28333333333333344,0.09248803827751197,False,neutral
56R,14.95,15,CN,old,0.10000000000000007,0.49282296650717705,False,neutral
43N,17.0,15,CN,old,0.28333333333333344,0.09248803827751197,False,neutral
42T,15.96,15,CN,old,-0.2666666666666666,0.2638755980861244,False,neutral
77V,16.15,15,CN,old,0.28333333333333344,0.09248803827751197,False,neutral
77V,16.15,15,CN,old,0.28333333333333344,0.09248803827751197,False,neutral
3E4,11.99,15,CN,old,0.28333333333333344,0.09248803827751197,False,neutral
42T,15.96,15,CN,old,0.10000000000000007,0.49282296650717705,False,neutral
74K,20.81,15,CN,old,-0.08333333333333326,0.507177033492823,False,neutral
7M4,8.15,15,CN,young,0.10000000000000007,0.49282296650717705,False,neutral
1G8,7.88,15,CN,young,-0.08333333333333326,0.507177033492823,False,neutral
8H2,10.13,15,CN,old,-0.44999999999999996,0.027033492822966507,True,neutral
43N,17.0,15,CN,old,0.10000000000000007,0.49282296650717705,False,neutral
8M0,8.12,15,CN,young,-0.2666666666666666,0.2638755980861244,False,neutral
2F2,11.04,15,CN,old,-0.44999999999999996,0.027033492822966507,True,neutral
