animal_id,age,louvain,region,age_group,lochness_score,lochness_pvalue,lochness_significant,lochness_category
3D1,13.11,16,CN,old,-0.20940170940170943,0.27475675675675676,False,neutral
97R,17.93,16,CN,old,-0.051282051282051315,0.5274054054054054,False,neutral
1V8,4.31,16,CN,young,0.423076923076923,0.06654054054054054,False,neutral
1T9,4.11,16,CN,young,-0.20940170940170943,0.27475675675675676,False,neutral
1G8,7.88,16,CN,young,0.10683760683760679,0.4725945945945946,False,neutral
43N,17.0,16,CN,old,-0.20940170940170943,0.27475675675675676,False,neutral
6O7,6.03,16,CN,young,0.10683760683760679,0.4725945945945946,False,neutral
1P5,6.21,16,CN,young,-0.5256410256410257,0.00427027027027027,True,young_enriched
6D9,13.11,16,CN,old,-0.20940170940170943,0.27475675675675676,False,neutral
91O,15.86,16,CN,old,-0.051282051282051315,0.5274054054054054,False,neutral
8C9,12.12,16,CN,old,-0.20940170940170943,0.27475675675675676,False,neutral
77V,16.15,16,CN,old,-0.5256410256410257,0.00427027027027027,True,young_enriched
37V,15.07,16,CN,old,-0.051282051282051315,0.5274054054054054,False,neutral
2I1,10.27,16,CN,old,0.10683760683760679,0.4725945945945946,False,neutral
8C9,12.12,16,CN,old,0.10683760683760679,0.4725945945945946,False,neutral
1V8,4.31,16,CN,young,-0.051282051282051315,0.5274054054054054,False,neutral
37V,15.07,16,CN,old,0.2649572649572649,0.2225945945945946,False,neutral
43N,17.0,16,CN,old,-0.36752136752136755,0.10583783783783783,False,neutral
43N,17.0,16,CN,old,-0.36752136752136755,0.10583783783783783,False,neutral
43N,17.0,16,CN,old,0.2649572649572649,0.2225945945945946,False,neutral
98V,16.03,16,CN,old,-0.051282051282051315,0.5274054054054054,False,neutral
82V,16.01,16,CN,old,-0.36752136752136755,0.10583783783783783,False,neutral
8M0,8.12,16,CN,young,-0.051282051282051315,0.5274054054054054,False,neutral
1P5,6.21,16,CN,young,-0.5256410256410257,0.00427027027027027,True,young_enriched
7M4,8.15,16,CN,young,0.10683760683760679,0.4725945945945946,False,neutral
46Z,13.97,16,CN,old,0.423076923076923,0.06654054054054054,False,neutral
4J6,7.15,16,CN,young,-0.5256410256410257,0.00427027027027027,True,young_enriched
3D1,13.11,16,CN,old,-0.051282051282051315,0.5274054054054054,False,neutral
8C9,12.12,16,CN,old,0.2649572649572649,0.2225945945945946,False,neutral
46Z,13.97,16,CN,old,0.10683760683760679,0.4725945945945946,False,neutral
8M0,8.12,16,CN,young,0.2649572649572649,0.2225945945945946,False,neutral
8M0,8.12,16,CN,young,0.10683760683760679,0.4725945945945946,False,neutral
97R,17.93,16,CN,old,0.10683760683760679,0.4725945945945946,False,neutral
5H6,11.03,16,CN,old,0.10683760683760679,0.4725945945945946,False,neutral
4Q6,3.22,16,CN,young,-0.5256410256410257,0.00427027027027027,True,young_enriched
7M4,8.15,16,CN,young,-0.36752136752136755,0.10583783783783783,False,neutral
37V,15.07,16,CN,old,-0.051282051282051315,0.5274054054054054,False,neutral
74K,20.81,16,CN,old,-0.20940170940170943,0.27475675675675676,False,neutral
3D1,13.11,16,CN,old,-0.36752136752136755,0.10583783783783783,False,neutral
98V,16.03,16,CN,old,-0.36752136752136755,0.10583783783783783,False,neutral
56R,14.95,16,CN,old,-0.051282051282051315,0.5274054054054054,False,neutral
43N,17.0,16,CN,old,0.10683760683760679,0.4725945945945946,False,neutral
98V,16.03,16,CN,old,0.423076923076923,0.06654054054054054,False,neutral
56R,14.95,16,CN,old,-0.051282051282051315,0.5274054054054054,False,neutral
4J6,7.15,16,CN,young,0.10683760683760679,0.4725945945945946,False,neutral
2T6,5.18,16,CN,young,-0.5256410256410257,0.00427027027027027,True,young_enriched
55R,14.97,16,CN,old,-0.051282051282051315,0.5274054054054054,False,neutral
42T,15.96,16,CN,old,-0.051282051282051315,0.5274054054054054,False,neutral
77V,16.15,16,CN,old,0.10683760683760679,0.4725945945945946,False,neutral
2I1,10.27,16,CN,old,-0.36752136752136755,0.10583783783783783,False,neutral
2T2,4.09,16,CN,young,0.10683760683760679,0.4725945945945946,False,neutral
2Q0,3.21,16,CN,young,-0.36752136752136755,0.10583783783783783,False,neutral
97R,17.93,16,CN,old,-0.36752136752136755,0.10583783783783783,False,neutral
2Q0,3.21,16,CN,young,-0.20940170940170943,0.27475675675675676,False,neutral
56K,19.93,16,CN,old,-0.5256410256410257,0.00427027027027027,True,young_enriched
8M0,8.12,16,CN,young,0.10683760683760679,0.4725945945945946,False,neutral
2Q0,3.21,16,CN,young,-0.20940170940170943,0.27475675675675676,False,neutral
3D1,13.11,16,CN,old,-0.20940170940170943,0.27475675675675676,False,neutral
2F2,11.04,16,CN,old,-0.20940170940170943,0.27475675675675676,False,neutral
1G8,7.88,16,CN,young,-0.5256410256410257,0.00427027027027027,True,young_enriched
8M0,8.12,16,CN,young,0.423076923076923,0.06654054054054054,False,neutral
8M0,8.12,16,CN,young,0.2649572649572649,0.2225945945945946,False,neutral
56R,14.95,16,CN,old,-0.5256410256410257,0.00427027027027027,True,young_enriched
43N,17.0,16,CN,old,-0.051282051282051315,0.5274054054054054,False,neutral
42T,15.96,16,CN,old,0.423076923076923,0.06654054054054054,False,neutral
77V,16.15,16,CN,old,-0.36752136752136755,0.10583783783783783,False,neutral
97R,17.93,16,CN,old,0.10683760683760679,0.4725945945945946,False,neutral
41N,16.74,16,CN,old,-0.20940170940170943,0.27475675675675676,False,neutral
74K,20.81,16,CN,old,0.10683760683760679,0.4725945945945946,False,neutral
55R,14.97,16,CN,old,0.2649572649572649,0.2225945945945946,False,neutral
8M0,8.12,16,CN,young,-0.20940170940170943,0.27475675675675676,False,neutral
98V,16.03,16,CN,old,0.10683760683760679,0.4725945945945946,False,neutral
2F2,11.04,16,CN,old,0.10683760683760679,0.4725945945945946,False,neutral
46Z,13.97,16,CN,old,-0.051282051282051315,0.5274054054054054,False,neutral
2I1,10.27,16,CN,old,-0.20940170940170943,0.27475675675675676,False,neutral
46Z,13.97,16,CN,old,0.2649572649572649,0.2225945945945946,False,neutral
41N,16.74,16,CN,old,-0.051282051282051315,0.5274054054054054,False,neutral
55R,14.97,16,CN,old,-0.36752136752136755,0.10583783783783783,False,neutral
6L4,8.2,16,CN,young,0.10683760683760679,0.4725945945945946,False,neutral
0G3,9.1,16,CN,young,-0.20940170940170943,0.27475675675675676,False,neutral
8M0,8.12,16,CN,young,-0.051282051282051315,0.5274054054054054,False,neutral
2F2,11.04,16,CN,old,-0.051282051282051315,0.5274054054054054,False,neutral
8C9,12.12,16,CN,old,-0.20940170940170943,0.27475675675675676,False,neutral
0G3,9.1,16,CN,young,-0.20940170940170943,0.27475675675675676,False,neutral
8M0,8.12,16,CN,young,0.423076923076923,0.06654054054054054,False,neutral
0G3,9.1,16,CN,young,0.423076923076923,0.06654054054054054,False,neutral
2Q0,3.21,16,CN,young,-0.5256410256410257,0.00427027027027027,True,young_enriched
8M0,8.12,16,CN,young,-0.20940170940170943,0.27475675675675676,False,neutral
8C9,12.12,16,CN,old,-0.051282051282051315,0.5274054054054054,False,neutral
1P5,6.21,16,CN,young,0.2649572649572649,0.2225945945945946,False,neutral
41N,16.74,16,CN,old,-0.20940170940170943,0.27475675675675676,False,neutral
2S2,6.31,16,CN,young,-0.051282051282051315,0.5274054054054054,False,neutral
1G8,7.88,16,CN,young,-0.20940170940170943,0.27475675675675676,False,neutral
56R,14.95,16,CN,old,-0.5256410256410257,0.00427027027027027,True,young_enriched
77V,16.15,16,CN,old,-0.20940170940170943,0.27475675675675676,False,neutral
42T,15.96,16,CN,old,-0.051282051282051315,0.5274054054054054,False,neutral
8C9,12.12,16,CN,old,-0.36752136752136755,0.10583783783783783,False,neutral
5H6,11.03,16,CN,old,-0.051282051282051315,0.5274054054054054,False,neutral
8C9,12.12,16,CN,old,-0.051282051282051315,0.5274054054054054,False,neutral
2Q0,3.21,16,CN,young,-0.36752136752136755,0.10583783783783783,False,neutral
56R,14.95,16,CN,old,-0.051282051282051315,0.5274054054054054,False,neutral
56K,19.93,16,CN,old,-0.20940170940170943,0.27475675675675676,False,neutral
77V,16.15,16,CN,old,-0.20940170940170943,0.27475675675675676,False,neutral
3D1,13.11,16,CN,old,0.10683760683760679,0.4725945945945946,False,neutral
97R,17.93,16,CN,old,-0.051282051282051315,0.5274054054054054,False,neutral
42T,15.96,16,CN,old,0.423076923076923,0.06654054054054054,False,neutral
8C9,12.12,16,CN,old,-0.36752136752136755,0.10583783783783783,False,neutral
77V,16.15,16,CN,old,0.10683760683760679,0.4725945945945946,False,neutral
1P5,6.21,16,CN,young,-0.051282051282051315,0.5274054054054054,False,neutral
8C9,12.12,16,CN,old,0.10683760683760679,0.4725945945945946,False,neutral
8H2,10.13,16,CN,old,-0.20940170940170943,0.27475675675675676,False,neutral
6D9,13.11,16,CN,old,-0.36752136752136755,0.10583783783783783,False,neutral
0G3,9.1,16,CN,young,-0.20940170940170943,0.27475675675675676,False,neutral
4J6,7.15,16,CN,young,-0.20940170940170943,0.27475675675675676,False,neutral
2Q0,3.21,16,CN,young,0.10683760683760679,0.4725945945945946,False,neutral
1P5,6.21,16,CN,young,-0.36752136752136755,0.10583783783783783,False,neutral
8C9,12.12,16,CN,old,0.423076923076923,0.06654054054054054,False,neutral
0G3,9.1,16,CN,young,-0.051282051282051315,0.5274054054054054,False,neutral
0G3,9.1,16,CN,young,-0.36752136752136755,0.10583783783783783,False,neutral
0G3,9.1,16,CN,young,-0.20940170940170943,0.27475675675675676,False,neutral
8C9,12.12,16,CN,old,0.10683760683760679,0.4725945945945946,False,neutral
74K,20.81,16,CN,old,-0.20940170940170943,0.27475675675675676,False,neutral
55R,14.97,16,CN,old,-0.36752136752136755,0.10583783783783783,False,neutral
77V,16.15,16,CN,old,0.2649572649572649,0.2225945945945946,False,neutral
5H6,11.03,16,CN,old,-0.20940170940170943,0.27475675675675676,False,neutral
41N,16.74,16,CN,old,-0.5256410256410257,0.00427027027027027,True,young_enriched
56K,19.93,16,CN,old,-0.5256410256410257,0.00427027027027027,True,young_enriched
46Z,13.97,16,CN,old,0.423076923076923,0.06654054054054054,False,neutral
2Q0,3.21,16,CN,young,-0.36752136752136755,0.10583783783783783,False,neutral
5H6,11.03,16,CN,old,0.10683760683760679,0.4725945945945946,False,neutral
46Z,13.97,16,CN,old,0.2649572649572649,0.2225945945945946,False,neutral
41N,16.74,16,CN,old,-0.20940170940170943,0.27475675675675676,False,neutral
3D1,13.11,16,CN,old,-0.36752136752136755,0.10583783783783783,False,neutral
43N,17.0,16,CN,old,-0.5256410256410257,0.00427027027027027,True,young_enriched
55R,14.97,16,CN,old,-0.36752136752136755,0.10583783783783783,False,neutral
4J6,7.15,16,CN,young,0.2649572649572649,0.2225945945945946,False,neutral
3D1,13.11,16,CN,old,-0.051282051282051315,0.5274054054054054,False,neutral
98V,16.03,16,CN,old,-0.20940170940170943,0.27475675675675676,False,neutral
41N,16.74,16,CN,old,-0.051282051282051315,0.5274054054054054,False,neutral
42T,15.96,16,CN,old,0.423076923076923,0.06654054054054054,False,neutral
8C9,12.12,16,CN,old,-0.36752136752136755,0.10583783783783783,False,neutral
42T,15.96,16,CN,old,0.10683760683760679,0.4725945945945946,False,neutral
46Z,13.97,16,CN,old,0.5811965811965811,0.008810810810810811,True,old_enriched
3D1,13.11,16,CN,old,-0.36752136752136755,0.10583783783783783,False,neutral
1G8,7.88,16,CN,young,-0.36752136752136755,0.10583783783783783,False,neutral
0G3,9.1,16,CN,young,-0.20940170940170943,0.27475675675675676,False,neutral
3E4,11.99,16,CN,old,-0.20940170940170943,0.27475675675675676,False,neutral
42T,15.96,16,CN,old,-0.20940170940170943,0.27475675675675676,False,neutral
77V,16.15,16,CN,old,0.10683760683760679,0.4725945945945946,False,neutral
8C9,12.12,16,CN,old,-0.36752136752136755,0.10583783783783783,False,neutral
46Z,13.97,16,CN,old,0.5811965811965811,0.008810810810810811,True,old_enriched
74K,20.81,16,CN,old,-0.36752136752136755,0.10583783783783783,False,neutral
2T2,4.09,16,CN,young,0.423076923076923,0.06654054054054054,False,neutral
1V8,4.31,16,CN,young,0.10683760683760679,0.4725945945945946,False,neutral
41N,16.74,16,CN,old,-0.6837606837606838,0.00427027027027027,True,young_enriched
2S2,6.31,16,CN,young,0.10683760683760679,0.4725945945945946,False,neutral
8M0,8.12,16,CN,young,0.423076923076923,0.06654054054054054,False,neutral
77V,16.15,16,CN,old,0.10683760683760679,0.4725945945945946,False,neutral
8C9,12.12,16,CN,old,-0.5256410256410257,0.00427027027027027,True,young_enriched
1P5,6.21,16,CN,young,-0.36752136752136755,0.10583783783783783,False,neutral
41N,16.74,16,CN,old,-0.6837606837606838,0.00427027027027027,True,young_enriched
