animal_id,age,louvain,region,age_group,lochness_score,lochness_pvalue,lochness_significant,lochness_category
0B9,12.11,19,HIP,old,0.5932432432432432,0.0026717557251908397,True,old_enriched
4Q6,3.22,19,HIP,young,0.7702702702702703,0.0026717557251908397,True,old_enriched
0B9,12.11,19,HIP,old,0.4162162162162162,0.1149618320610687,False,neutral
2C6,14.03,19,HIP,old,0.23918918918918916,0.292824427480916,False,neutral
2S6,3.17,19,HIP,young,0.7702702702702703,0.0026717557251908397,True,old_enriched
77V,16.15,19,HIP,old,0.4162162162162162,0.1149618320610687,False,neutral
6O7,6.03,19,HIP,young,0.7702702702702703,0.0026717557251908397,True,old_enriched
2F2,11.04,19,HIP,old,0.5932432432432432,0.0026717557251908397,True,old_enriched
77V,16.15,19,HIP,old,0.5932432432432432,0.0026717557251908397,True,old_enriched
3E4,11.99,19,HIP,old,0.4162162162162162,0.1149618320610687,False,neutral
46Z,13.97,19,HIP,old,0.5932432432432432,0.0026717557251908397,True,old_enriched
46Z,13.97,19,HIP,old,-0.11486486486486487,0.22763358778625956,False,neutral
1T9,4.11,19,HIP,young,0.5932432432432432,0.0026717557251908397,True,old_enriched
2C6,14.03,19,HIP,old,0.4162162162162162,0.1149618320610687,False,neutral
0B9,12.11,19,HIP,old,0.5932432432432432,0.0026717557251908397,True,old_enriched
2I1,10.27,19,HIP,old,0.4162162162162162,0.1149618320610687,False,neutral
8C9,12.12,19,HIP,old,0.4162162162162162,0.1149618320610687,False,neutral
4S3,3.18,19,HIP,young,0.062162162162162145,0.292824427480916,False,neutral
42T,15.96,19,HIP,old,-0.11486486486486487,0.22763358778625956,False,neutral
77V,16.15,19,HIP,old,-0.2918918918918919,0.22763358778625956,False,neutral
56R,14.95,19,HIP,old,0.4162162162162162,0.1149618320610687,False,neutral
8B3,13.09,19,HIP,old,0.4162162162162162,0.1149618320610687,False,neutral
2T2,4.09,19,HIP,young,-0.11486486486486487,0.22763358778625956,False,neutral
46Z,13.97,19,HIP,old,0.5932432432432432,0.0026717557251908397,True,old_enriched
74K,20.81,19,HIP,old,-0.11486486486486487,0.22763358778625956,False,neutral
3E4,11.99,19,HIP,old,0.4162162162162162,0.1149618320610687,False,neutral
3T5,5.12,19,HIP,young,-0.11486486486486487,0.22763358778625956,False,neutral
46Z,13.97,19,HIP,old,-0.2918918918918919,0.22763358778625956,False,neutral
0G3,9.1,19,HIP,young,0.062162162162162145,0.292824427480916,False,neutral
8I6,9.9,19,HIP,young,0.062162162162162145,0.292824427480916,False,neutral
2F2,11.04,19,HIP,old,0.4162162162162162,0.1149618320610687,False,neutral
4Q6,3.22,19,HIP,young,0.062162162162162145,0.292824427480916,False,neutral
56R,14.95,19,HIP,old,0.4162162162162162,0.1149618320610687,False,neutral
0G3,9.1,19,HIP,young,0.4162162162162162,0.1149618320610687,False,neutral
74K,20.81,19,HIP,old,-0.11486486486486487,0.22763358778625956,False,neutral
5H6,11.03,19,HIP,old,0.062162162162162145,0.292824427480916,False,neutral
2S6,3.17,19,HIP,young,-0.11486486486486487,0.22763358778625956,False,neutral
56R,14.95,19,HIP,old,0.4162162162162162,0.1149618320610687,False,neutral
0B9,12.11,19,HIP,old,0.5932432432432432,0.0026717557251908397,True,old_enriched
2S6,3.17,19,HIP,young,-0.2918918918918919,0.22763358778625956,False,neutral
3T5,5.12,19,HIP,young,-0.11486486486486487,0.22763358778625956,False,neutral
46Z,13.97,19,HIP,old,0.23918918918918916,0.292824427480916,False,neutral
2S6,3.17,19,HIP,young,0.062162162162162145,0.292824427480916,False,neutral
0B9,12.11,19,HIP,old,0.4162162162162162,0.1149618320610687,False,neutral
3T5,5.12,19,HIP,young,-0.2918918918918919,0.22763358778625956,False,neutral
46Z,13.97,19,HIP,old,0.062162162162162145,0.292824427480916,False,neutral
77V,16.15,19,HIP,old,0.062162162162162145,0.292824427480916,False,neutral
43N,17.0,19,HIP,old,-0.11486486486486487,0.22763358778625956,False,neutral
3T5,5.12,19,HIP,young,-0.2918918918918919,0.22763358778625956,False,neutral
3T5,5.12,19,HIP,young,-0.2918918918918919,0.22763358778625956,False,neutral
2S6,3.17,19,HIP,young,0.4162162162162162,0.1149618320610687,False,neutral
2I1,10.27,19,HIP,old,0.23918918918918916,0.292824427480916,False,neutral
2I1,10.27,19,HIP,old,-0.6459459459459459,0.021603053435114504,True,young_enriched
2I1,10.27,19,HIP,old,0.23918918918918916,0.292824427480916,False,neutral
2I1,10.27,19,HIP,old,-0.2918918918918919,0.22763358778625956,False,neutral
3D1,13.11,19,HIP,old,-0.4689189189189189,0.08213740458015267,False,neutral
3T5,5.12,19,HIP,young,-0.2918918918918919,0.22763358778625956,False,neutral
46Z,13.97,19,HIP,old,0.062162162162162145,0.292824427480916,False,neutral
3T5,5.12,19,HIP,young,-0.4689189189189189,0.08213740458015267,False,neutral
82V,16.01,19,HIP,old,-0.2918918918918919,0.22763358778625956,False,neutral
2S6,3.17,19,HIP,young,-0.2918918918918919,0.22763358778625956,False,neutral
1P5,6.21,19,HIP,young,-0.11486486486486487,0.22763358778625956,False,neutral
77V,16.15,19,HIP,old,0.062162162162162145,0.292824427480916,False,neutral
91O,15.86,19,HIP,old,0.062162162162162145,0.292824427480916,False,neutral
91O,15.86,19,HIP,old,0.23918918918918916,0.292824427480916,False,neutral
0B9,12.11,19,HIP,old,0.062162162162162145,0.292824427480916,False,neutral
0G3,9.1,19,HIP,young,-0.4689189189189189,0.08213740458015267,False,neutral
3D1,13.11,19,HIP,old,-0.11486486486486487,0.22763358778625956,False,neutral
0B9,12.11,19,HIP,old,-0.4689189189189189,0.08213740458015267,False,neutral
91O,15.86,19,HIP,old,0.062162162162162145,0.292824427480916,False,neutral
3T5,5.12,19,HIP,young,-0.4689189189189189,0.08213740458015267,False,neutral
1P5,6.21,19,HIP,young,-0.4689189189189189,0.08213740458015267,False,neutral
2S6,3.17,19,HIP,young,-0.4689189189189189,0.08213740458015267,False,neutral
0G3,9.1,19,HIP,young,0.23918918918918916,0.292824427480916,False,neutral
46Z,13.97,19,HIP,old,-0.11486486486486487,0.22763358778625956,False,neutral
2I1,10.27,19,HIP,old,-0.4689189189189189,0.08213740458015267,False,neutral
3T5,5.12,19,HIP,young,-0.4689189189189189,0.08213740458015267,False,neutral
2S6,3.17,19,HIP,young,-0.11486486486486487,0.22763358778625956,False,neutral
1P5,6.21,19,HIP,young,-0.4689189189189189,0.08213740458015267,False,neutral
3D1,13.11,19,HIP,old,-0.2918918918918919,0.22763358778625956,False,neutral
46Z,13.97,19,HIP,old,-0.2918918918918919,0.22763358778625956,False,neutral
1P5,6.21,19,HIP,young,-0.6459459459459459,0.021603053435114504,True,young_enriched
2I1,10.27,19,HIP,old,-0.11486486486486487,0.22763358778625956,False,neutral
1P5,6.21,19,HIP,young,-0.4689189189189189,0.08213740458015267,False,neutral
97R,17.93,19,HIP,old,-0.4689189189189189,0.08213740458015267,False,neutral
77V,16.15,19,HIP,old,-0.2918918918918919,0.22763358778625956,False,neutral
46Z,13.97,19,HIP,old,0.23918918918918916,0.292824427480916,False,neutral
46Z,13.97,19,HIP,old,-0.4689189189189189,0.08213740458015267,False,neutral
1P5,6.21,19,HIP,young,-0.2918918918918919,0.22763358778625956,False,neutral
1P5,6.21,19,HIP,young,-0.4689189189189189,0.08213740458015267,False,neutral
2S6,3.17,19,HIP,young,0.23918918918918916,0.292824427480916,False,neutral
3T5,5.12,19,HIP,young,-0.4689189189189189,0.08213740458015267,False,neutral
3T5,5.12,19,HIP,young,-0.4689189189189189,0.08213740458015267,False,neutral
2S2,6.31,19,HIP,young,-0.4689189189189189,0.08213740458015267,False,neutral
77V,16.15,19,HIP,old,-0.11486486486486487,0.22763358778625956,False,neutral
2I1,10.27,19,HIP,old,-0.2918918918918919,0.22763358778625956,False,neutral
8I6,9.9,19,HIP,young,-0.4689189189189189,0.08213740458015267,False,neutral
77V,16.15,19,HIP,old,-0.6459459459459459,0.021603053435114504,True,young_enriched
74K,20.81,19,HIP,old,-0.11486486486486487,0.22763358778625956,False,neutral
0G3,9.1,19,HIP,young,-0.2918918918918919,0.22763358778625956,False,neutral
8I6,9.9,19,HIP,young,-0.6459459459459459,0.021603053435114504,True,young_enriched
2S6,3.17,19,HIP,young,-0.11486486486486487,0.22763358778625956,False,neutral
82V,16.01,19,HIP,old,0.23918918918918916,0.292824427480916,False,neutral
97R,17.93,19,HIP,old,-0.6459459459459459,0.021603053435114504,True,young_enriched
