animal_id,age,louvain,region,age_group,lochness_score,lochness_pvalue,lochness_significant,lochness_category
55R,14.97,1,mdTN,old,0.6826923076923076,0.01344,True,old_enriched
7F0,11.2,1,mdTN,old,0.6826923076923076,0.01344,True,old_enriched
97R,17.93,1,mdTN,old,0.20192307692307687,0.1836,False,neutral
7M4,8.15,1,mdTN,young,0.44230769230769224,0.0596,False,neutral
55R,14.97,1,mdTN,old,0.44230769230769224,0.0596,False,neutral
3K1,9.01,1,mdTN,young,-0.27884615384615385,0.14008,False,neutral
55R,14.97,1,mdTN,old,0.923076923076923,0.01344,True,old_enriched
2Q0,3.21,1,mdTN,young,0.44230769230769224,0.0596,False,neutral
2Q0,3.21,1,mdTN,young,1.1634615384615383,0.0028,True,old_enriched
97R,17.93,1,mdTN,old,0.6826923076923076,0.01344,True,old_enriched
97R,17.93,1,mdTN,old,0.6826923076923076,0.01344,True,old_enriched
55R,14.97,1,mdTN,old,0.923076923076923,0.01344,True,old_enriched
55R,14.97,1,mdTN,old,0.6826923076923076,0.01344,True,old_enriched
2Q0,3.21,1,mdTN,young,0.6826923076923076,0.01344,True,old_enriched
50P,15.59,1,mdTN,old,-0.27884615384615385,0.14008,False,neutral
55R,14.97,1,mdTN,old,0.923076923076923,0.01344,True,old_enriched
55R,14.97,1,mdTN,old,0.20192307692307687,0.1836,False,neutral
55R,14.97,1,mdTN,old,0.44230769230769224,0.0596,False,neutral
7F0,11.2,1,mdTN,old,0.923076923076923,0.01344,True,old_enriched
55R,14.97,1,mdTN,old,0.6826923076923076,0.01344,True,old_enriched
6O7,6.03,1,mdTN,young,0.6826923076923076,0.01344,True,old_enriched
2Q0,3.21,1,mdTN,young,0.20192307692307687,0.1836,False,neutral
6O7,6.03,1,mdTN,young,-0.03846153846153849,0.60336,False,neutral
2V1,4.3,1,mdTN,young,0.6826923076923076,0.01344,True,old_enriched
55R,14.97,1,mdTN,old,1.1634615384615383,0.0028,True,old_enriched
2F2,11.04,1,mdTN,old,0.923076923076923,0.01344,True,old_enriched
2V1,4.3,1,mdTN,young,0.6826923076923076,0.01344,True,old_enriched
55R,14.97,1,mdTN,old,0.44230769230769224,0.0596,False,neutral
4Q6,3.22,1,mdTN,young,0.44230769230769224,0.0596,False,neutral
97R,17.93,1,mdTN,old,0.20192307692307687,0.1836,False,neutral
55R,14.97,1,mdTN,old,0.6826923076923076,0.01344,True,old_enriched
4S3,3.18,1,mdTN,young,-0.7596153846153846,0.00336,True,young_enriched
2Q0,3.21,1,mdTN,young,-0.7596153846153846,0.00336,True,young_enriched
2Q0,3.21,1,mdTN,young,-0.27884615384615385,0.14008,False,neutral
4J6,7.15,1,mdTN,young,-0.7596153846153846,0.00336,True,young_enriched
7F0,11.2,1,mdTN,old,-0.27884615384615385,0.14008,False,neutral
3E4,11.99,1,mdTN,old,-0.27884615384615385,0.14008,False,neutral
2Q0,3.21,1,mdTN,young,0.20192307692307687,0.1836,False,neutral
2Q0,3.21,1,mdTN,young,-0.5192307692307693,0.14008,False,young_enriched
2Q0,3.21,1,mdTN,young,-0.7596153846153846,0.00336,True,young_enriched
2Q0,3.21,1,mdTN,young,-1.0,0.00336,True,young_enriched
3E4,11.99,1,mdTN,old,-0.27884615384615385,0.14008,False,neutral
2Q0,3.21,1,mdTN,young,-0.7596153846153846,0.00336,True,young_enriched
2Q0,3.21,1,mdTN,young,-0.27884615384615385,0.14008,False,neutral
2Q0,3.21,1,mdTN,young,-1.0,0.00336,True,young_enriched
2Q0,3.21,1,mdTN,young,-1.0,0.00336,True,young_enriched
2Q0,3.21,1,mdTN,young,-1.0,0.00336,True,young_enriched
2S2,6.31,1,mdTN,young,-0.27884615384615385,0.14008,False,neutral
2Q0,3.21,1,mdTN,young,-1.0,0.00336,True,young_enriched
7F0,11.2,1,mdTN,old,-0.27884615384615385,0.14008,False,neutral
2Q0,3.21,1,mdTN,young,-0.03846153846153849,0.60336,False,neutral
3K1,9.01,1,mdTN,young,-0.03846153846153849,0.60336,False,neutral
2Q0,3.21,1,mdTN,young,-0.5192307692307693,0.14008,False,young_enriched
2Q0,3.21,1,mdTN,young,-0.03846153846153849,0.60336,False,neutral
77V,16.15,1,mdTN,old,-0.7596153846153846,0.00336,True,young_enriched
2Q0,3.21,1,mdTN,young,0.6826923076923076,0.01344,True,old_enriched
2Q0,3.21,1,mdTN,young,-0.27884615384615385,0.14008,False,neutral
2Q0,3.21,1,mdTN,young,-0.7596153846153846,0.00336,True,young_enriched
4S3,3.18,1,mdTN,young,-1.0,0.00336,True,young_enriched
7F0,11.2,1,mdTN,old,-0.27884615384615385,0.14008,False,neutral
2Q0,3.21,1,mdTN,young,-1.0,0.00336,True,young_enriched
2Q0,3.21,1,mdTN,young,-0.7596153846153846,0.00336,True,young_enriched
2Q0,3.21,1,mdTN,young,-0.27884615384615385,0.14008,False,neutral
2Q0,3.21,1,mdTN,young,-0.03846153846153849,0.60336,False,neutral
97R,17.93,1,mdTN,old,0.44230769230769224,0.0596,False,neutral
74K,20.81,1,mdTN,old,-0.03846153846153849,0.60336,False,neutral
97R,17.93,1,mdTN,old,0.923076923076923,0.01344,True,old_enriched
7M4,8.15,1,mdTN,young,-1.0,0.00336,True,young_enriched
2Q0,3.21,1,mdTN,young,-0.7596153846153846,0.00336,True,young_enriched
5R4,6.25,1,mdTN,young,-0.5192307692307693,0.14008,False,young_enriched
97R,17.93,1,mdTN,old,0.44230769230769224,0.0596,False,neutral
97R,17.93,1,mdTN,old,0.20192307692307687,0.1836,False,neutral
2Q0,3.21,1,mdTN,young,-0.03846153846153849,0.60336,False,neutral
1G8,7.88,1,mdTN,young,-0.03846153846153849,0.60336,False,neutral
97R,17.93,1,mdTN,old,0.20192307692307687,0.1836,False,neutral
74K,20.81,1,mdTN,old,-0.5192307692307693,0.14008,False,young_enriched
4Q6,3.22,1,mdTN,young,-0.5192307692307693,0.14008,False,young_enriched
7M4,8.15,1,mdTN,young,-0.03846153846153849,0.60336,False,neutral
2Q0,3.21,1,mdTN,young,-0.03846153846153849,0.60336,False,neutral
7M4,8.15,1,mdTN,young,0.20192307692307687,0.1836,False,neutral
97R,17.93,1,mdTN,old,0.923076923076923,0.01344,True,old_enriched
7F0,11.2,1,mdTN,old,-0.7596153846153846,0.00336,True,young_enriched
56R,14.95,1,mdTN,old,0.44230769230769224,0.0596,False,neutral
5R4,6.25,1,mdTN,young,-0.7596153846153846,0.00336,True,young_enriched
2Q0,3.21,1,mdTN,young,-1.0,0.00336,True,young_enriched
2T2,4.09,1,mdTN,young,-0.7596153846153846,0.00336,True,young_enriched
74K,20.81,1,mdTN,old,0.44230769230769224,0.0596,False,neutral
6O7,6.03,1,mdTN,young,0.20192307692307687,0.1836,False,neutral
97R,17.93,1,mdTN,old,0.6826923076923076,0.01344,True,old_enriched
2Q0,3.21,1,mdTN,young,-0.7596153846153846,0.00336,True,young_enriched
97R,17.93,1,mdTN,old,-0.5192307692307693,0.14008,False,young_enriched
97R,17.93,1,mdTN,old,0.20192307692307687,0.1836,False,neutral
2Q0,3.21,1,mdTN,young,-0.27884615384615385,0.14008,False,neutral
1G8,7.88,1,mdTN,young,0.20192307692307687,0.1836,False,neutral
1V8,4.31,1,mdTN,young,-1.0,0.00336,True,young_enriched
1G8,7.88,1,mdTN,young,0.20192307692307687,0.1836,False,neutral
7F0,11.2,1,mdTN,old,0.6826923076923076,0.01344,True,old_enriched
4S3,3.18,1,mdTN,young,-0.7596153846153846,0.00336,True,young_enriched
2S2,6.31,1,mdTN,young,0.20192307692307687,0.1836,False,neutral
5R4,6.25,1,mdTN,young,-0.03846153846153849,0.60336,False,neutral
97R,17.93,1,mdTN,old,-0.27884615384615385,0.14008,False,neutral
97R,17.93,1,mdTN,old,-0.03846153846153849,0.60336,False,neutral
4Q6,3.22,1,mdTN,young,-0.7596153846153846,0.00336,True,young_enriched
1G8,7.88,1,mdTN,young,-0.03846153846153849,0.60336,False,neutral
2Q0,3.21,1,mdTN,young,-0.7596153846153846,0.00336,True,young_enriched
97R,17.93,1,mdTN,old,0.20192307692307687,0.1836,False,neutral
97R,17.93,1,mdTN,old,1.1634615384615383,0.0028,True,old_enriched
31S,17.0,1,mdTN,old,-0.03846153846153849,0.60336,False,neutral
3E4,11.99,1,mdTN,old,-0.5192307692307693,0.14008,False,young_enriched
55R,14.97,1,mdTN,old,-0.27884615384615385,0.14008,False,neutral
2Q0,3.21,1,mdTN,young,-0.03846153846153849,0.60336,False,neutral
1G8,7.88,1,mdTN,young,-0.27884615384615385,0.14008,False,neutral
97R,17.93,1,mdTN,old,0.44230769230769224,0.0596,False,neutral
2Q0,3.21,1,mdTN,young,-0.7596153846153846,0.00336,True,young_enriched
4S3,3.18,1,mdTN,young,-0.5192307692307693,0.14008,False,young_enriched
1G8,7.88,1,mdTN,young,-0.5192307692307693,0.14008,False,young_enriched
2Q0,3.21,1,mdTN,young,-1.0,0.00336,True,young_enriched
2Q0,3.21,1,mdTN,young,-0.27884615384615385,0.14008,False,neutral
4Q6,3.22,1,mdTN,young,-0.03846153846153849,0.60336,False,neutral
7F0,11.2,1,mdTN,old,-0.27884615384615385,0.14008,False,neutral
43N,17.0,1,mdTN,old,-0.27884615384615385,0.14008,False,neutral
74K,20.81,1,mdTN,old,-0.27884615384615385,0.14008,False,neutral
7M4,8.15,1,mdTN,young,-0.27884615384615385,0.14008,False,neutral
2Q0,3.21,1,mdTN,young,-1.0,0.00336,True,young_enriched
5R4,6.25,1,mdTN,young,-0.5192307692307693,0.14008,False,young_enriched
