animal_id,age,louvain,region,age_group,lochness_score,lochness_pvalue,lochness_significant,lochness_category
0B9,12.11,8,NAc,old,0.4129629629629628,0.15981651376146788,False,neutral
1T9,4.11,8,NAc,young,0.009259259259259158,0.6188990825688073,False,neutral
37V,15.07,8,NAc,old,-0.3944444444444445,0.04568807339449541,True,neutral
41N,16.74,8,NAc,old,0.009259259259259158,0.6188990825688073,False,neutral
1T9,4.11,8,NAc,young,0.009259259259259158,0.6188990825688073,False,neutral
0B9,12.11,8,NAc,old,0.009259259259259158,0.6188990825688073,False,neutral
2V1,4.3,8,NAc,young,0.4129629629629628,0.15981651376146788,False,neutral
5R4,6.25,8,NAc,young,-0.3944444444444445,0.04568807339449541,True,neutral
2S6,3.17,8,NAc,young,0.6148148148148147,0.04807339449541284,True,old_enriched
8I6,9.9,8,NAc,young,-0.19259259259259268,0.16339449541284404,False,neutral
4S3,3.18,8,NAc,young,0.009259259259259158,0.6188990825688073,False,neutral
2Q0,3.21,8,NAc,young,0.211111111111111,0.36541284403669727,False,neutral
3K1,9.01,8,NAc,young,-0.19259259259259268,0.16339449541284404,False,neutral
31S,17.0,8,NAc,old,0.4129629629629628,0.15981651376146788,False,neutral
5R4,6.25,8,NAc,young,0.009259259259259158,0.6188990825688073,False,neutral
5R4,6.25,8,NAc,young,-0.3944444444444445,0.04568807339449541,True,neutral
0B9,12.11,8,NAc,old,0.211111111111111,0.36541284403669727,False,neutral
2I1,10.27,8,NAc,old,0.009259259259259158,0.6188990825688073,False,neutral
8I6,9.9,8,NAc,young,0.211111111111111,0.36541284403669727,False,neutral
0B9,12.11,8,NAc,old,0.211111111111111,0.36541284403669727,False,neutral
31S,17.0,8,NAc,old,0.009259259259259158,0.6188990825688073,False,neutral
2C6,14.03,8,NAc,old,-0.5962962962962963,0.04568807339449541,True,young_enriched
3R7,3.32,8,NAc,young,0.211111111111111,0.36541284403669727,False,neutral
5R4,6.25,8,NAc,young,-0.19259259259259268,0.16339449541284404,False,neutral
1T9,4.11,8,NAc,young,-0.3944444444444445,0.04568807339449541,True,neutral
1T9,4.11,8,NAc,young,0.4129629629629628,0.15981651376146788,False,neutral
5R4,6.25,8,NAc,young,-0.5962962962962963,0.04568807339449541,True,young_enriched
50P,15.59,8,NAc,old,-0.19259259259259268,0.16339449541284404,False,neutral
2C6,14.03,8,NAc,old,0.6148148148148147,0.04807339449541284,True,old_enriched
31S,17.0,8,NAc,old,-0.19259259259259268,0.16339449541284404,False,neutral
43N,17.0,8,NAc,old,0.009259259259259158,0.6188990825688073,False,neutral
8I6,9.9,8,NAc,young,-0.19259259259259268,0.16339449541284404,False,neutral
43N,17.0,8,NAc,old,0.4129629629629628,0.15981651376146788,False,neutral
5R4,6.25,8,NAc,young,0.009259259259259158,0.6188990825688073,False,neutral
8I6,9.9,8,NAc,young,-0.19259259259259268,0.16339449541284404,False,neutral
2S6,3.17,8,NAc,young,-0.5962962962962963,0.04568807339449541,True,young_enriched
8I6,9.9,8,NAc,young,-0.19259259259259268,0.16339449541284404,False,neutral
2Q0,3.21,8,NAc,young,-0.19259259259259268,0.16339449541284404,False,neutral
2Q0,3.21,8,NAc,young,0.009259259259259158,0.6188990825688073,False,neutral
43N,17.0,8,NAc,old,0.211111111111111,0.36541284403669727,False,neutral
43N,17.0,8,NAc,old,-0.5962962962962963,0.04568807339449541,True,young_enriched
31S,17.0,8,NAc,old,0.211111111111111,0.36541284403669727,False,neutral
5R4,6.25,8,NAc,young,0.009259259259259158,0.6188990825688073,False,neutral
5R4,6.25,8,NAc,young,-0.3944444444444445,0.04568807339449541,True,neutral
3K1,9.01,8,NAc,young,-0.19259259259259268,0.16339449541284404,False,neutral
0B9,12.11,8,NAc,old,0.009259259259259158,0.6188990825688073,False,neutral
5R4,6.25,8,NAc,young,-0.3944444444444445,0.04568807339449541,True,neutral
2Q0,3.21,8,NAc,young,-0.19259259259259268,0.16339449541284404,False,neutral
5R4,6.25,8,NAc,young,-0.3944444444444445,0.04568807339449541,True,neutral
4S3,3.18,8,NAc,young,0.009259259259259158,0.6188990825688073,False,neutral
2C6,14.03,8,NAc,old,-0.19259259259259268,0.16339449541284404,False,neutral
3R7,3.32,8,NAc,young,-0.3944444444444445,0.04568807339449541,True,neutral
2C6,14.03,8,NAc,old,0.211111111111111,0.36541284403669727,False,neutral
2C6,14.03,8,NAc,old,0.211111111111111,0.36541284403669727,False,neutral
2C6,14.03,8,NAc,old,-0.19259259259259268,0.16339449541284404,False,neutral
2I1,10.27,8,NAc,old,0.009259259259259158,0.6188990825688073,False,neutral
82V,16.01,8,NAc,old,0.009259259259259158,0.6188990825688073,False,neutral
2T6,5.18,8,NAc,young,0.4129629629629628,0.15981651376146788,False,neutral
8I6,9.9,8,NAc,young,0.4129629629629628,0.15981651376146788,False,neutral
7F0,11.2,8,NAc,old,0.009259259259259158,0.6188990825688073,False,neutral
0B9,12.11,8,NAc,old,-0.19259259259259268,0.16339449541284404,False,neutral
2C6,14.03,8,NAc,old,-0.3944444444444445,0.04568807339449541,True,neutral
43N,17.0,8,NAc,old,0.4129629629629628,0.15981651376146788,False,neutral
7F0,11.2,8,NAc,old,0.009259259259259158,0.6188990825688073,False,neutral
0B9,12.11,8,NAc,old,-0.3944444444444445,0.04568807339449541,True,neutral
5H6,11.03,8,NAc,old,0.4129629629629628,0.15981651376146788,False,neutral
5R4,6.25,8,NAc,young,-0.3944444444444445,0.04568807339449541,True,neutral
2I1,10.27,8,NAc,old,-0.3944444444444445,0.04568807339449541,True,neutral
43N,17.0,8,NAc,old,-0.3944444444444445,0.04568807339449541,True,neutral
37V,15.07,8,NAc,old,0.211111111111111,0.36541284403669727,False,neutral
8I6,9.9,8,NAc,young,-0.19259259259259268,0.16339449541284404,False,neutral
5R4,6.25,8,NAc,young,0.211111111111111,0.36541284403669727,False,neutral
3K1,9.01,8,NAc,young,-0.19259259259259268,0.16339449541284404,False,neutral
7M4,8.15,8,NAc,young,0.4129629629629628,0.15981651376146788,False,neutral
7F0,11.2,8,NAc,old,-0.5962962962962963,0.04568807339449541,True,young_enriched
5R4,6.25,8,NAc,young,-0.3944444444444445,0.04568807339449541,True,neutral
2I1,10.27,8,NAc,old,-0.3944444444444445,0.04568807339449541,True,neutral
0B9,12.11,8,NAc,old,0.009259259259259158,0.6188990825688073,False,neutral
4J6,7.15,8,NAc,young,0.009259259259259158,0.6188990825688073,False,neutral
5R4,6.25,8,NAc,young,-0.19259259259259268,0.16339449541284404,False,neutral
5R4,6.25,8,NAc,young,-0.19259259259259268,0.16339449541284404,False,neutral
2V1,4.3,8,NAc,young,0.009259259259259158,0.6188990825688073,False,neutral
2C6,14.03,8,NAc,old,0.4129629629629628,0.15981651376146788,False,neutral
91O,15.86,8,NAc,old,-0.3944444444444445,0.04568807339449541,True,neutral
2I1,10.27,8,NAc,old,0.211111111111111,0.36541284403669727,False,neutral
4S3,3.18,8,NAc,young,-0.19259259259259268,0.16339449541284404,False,neutral
0B9,12.11,8,NAc,old,0.009259259259259158,0.6188990825688073,False,neutral
37V,15.07,8,NAc,old,-0.19259259259259268,0.16339449541284404,False,neutral
3K1,9.01,8,NAc,young,-0.19259259259259268,0.16339449541284404,False,neutral
31S,17.0,8,NAc,old,0.4129629629629628,0.15981651376146788,False,neutral
3K1,9.01,8,NAc,young,0.009259259259259158,0.6188990825688073,False,neutral
3K1,9.01,8,NAc,young,0.211111111111111,0.36541284403669727,False,neutral
4Q6,3.22,8,NAc,young,0.6148148148148147,0.04807339449541284,True,old_enriched
1T9,4.11,8,NAc,young,-0.19259259259259268,0.16339449541284404,False,neutral
1T9,4.11,8,NAc,young,0.009259259259259158,0.6188990825688073,False,neutral
5R4,6.25,8,NAc,young,-0.19259259259259268,0.16339449541284404,False,neutral
7F0,11.2,8,NAc,old,0.009259259259259158,0.6188990825688073,False,neutral
2I1,10.27,8,NAc,old,0.211111111111111,0.36541284403669727,False,neutral
2C6,14.03,8,NAc,old,0.009259259259259158,0.6188990825688073,False,neutral
31S,17.0,8,NAc,old,-0.19259259259259268,0.16339449541284404,False,neutral
5R4,6.25,8,NAc,young,0.009259259259259158,0.6188990825688073,False,neutral
5R4,6.25,8,NAc,young,-0.3944444444444445,0.04568807339449541,True,neutral
2C6,14.03,8,NAc,old,-0.19259259259259268,0.16339449541284404,False,neutral
5R4,6.25,8,NAc,young,-0.5962962962962963,0.04568807339449541,True,young_enriched
2I1,10.27,8,NAc,old,0.009259259259259158,0.6188990825688073,False,neutral
43N,17.0,8,NAc,old,0.009259259259259158,0.6188990825688073,False,neutral
43N,17.0,8,NAc,old,0.211111111111111,0.36541284403669727,False,neutral
50P,15.59,8,NAc,old,-0.19259259259259268,0.16339449541284404,False,neutral
31S,17.0,8,NAc,old,0.009259259259259158,0.6188990825688073,False,neutral
