louvain,n_cells,n_animals,mean_lochness,median_lochness,std_lochness,pct_old_enriched,pct_young_enriched,pct_neutral,n_significant,pct_significant,r_age,p_age
0,35453,50,0.05528749694152193,0.0409493516026425,0.36608110649076014,12.089244915804022,5.976927199390743,81.93382788480523,6405,18.066172115194764,0.8688678823171361,2.885565208075683e-16
1,3899,51,0.07084206116464181,0.1434017595307918,0.2877952739352657,2.7955886124647344,5.103872787894332,92.10053859964094,1046,26.827391638881764,0.5330635680895949,5.6432089013297944e-05
2,7976,51,0.020246552444630254,-8.357709987455419e-05,0.2914682880730545,1.579739217652959,7.3721163490471415,91.04814443329991,2367,29.6765295887663,0.5018870232593553,0.0001752671301359124
3,21457,51,0.04413326152188965,-0.0094483342309763,0.317701852109839,3.402153143496295,8.05331593419397,88.54453092230973,7979,37.18599990679032,0.7178019780267997,3.0644267004461636e-09
5,29115,51,0.05384180436011807,0.0975058113966199,0.3893337543680431,9.040013738622703,7.7211059591275975,83.2388803022497,4880,16.761119697750303,0.8721972774111716,7.838241453036019e-17
6,27956,51,0.005608303355546465,-0.0108155923807276,0.3178910750970578,2.5182429532121904,9.579338961224781,87.90241808556303,4001,14.311775647445987,0.8140007639922341,3.796694070466556e-13
10,142,35,0.01789473684210531,0.0463157894736842,0.20755480356611763,0.0,2.112676056338028,97.88732394366197,15,10.56338028169014,-0.10795357689697772,0.5370529083993297
11,1511,45,-0.008493771234428123,0.026727066817667,0.32619877214250775,7.412309728656519,5.360688285903375,87.22700198544011,474,31.369953673064195,0.22677882884214665,0.1341164983979508
12,5760,51,0.025206232813932115,0.0559120073327222,0.3023056426600932,5.295138888888888,2.5347222222222223,92.17013888888889,849,14.739583333333334,0.5022833951591535,0.00017287715496967958
15,260,48,0.07784810126582282,0.1518987341772152,0.25467409542024994,1.5384615384615385,1.9230769230769231,96.53846153846153,32,12.307692307692308,-0.13184762638321046,0.3716981781823153
17,1061,47,-0.1078028747433265,-0.1285420944558521,0.44009445769345357,13.383600377002827,23.845428840716306,62.77097078228087,308,29.029217719132895,0.3317126677981024,0.02273928148603132
18,12442,50,0.006949752300070791,0.0566454352441613,0.3147102896443071,5.618067834753255,3.6569683330654237,90.72496383218133,2087,16.77383057386272,0.7679417639597246,7.610868966181217e-11
19,2284,51,0.07236363636363634,0.1627636363636363,0.2901675328923493,2.670753064798599,4.99124343257443,92.33800350262698,321,14.054290718038528,0.4955058342819116,0.00021812241337413395
20,3495,50,0.0015345268542198752,0.0726342710997441,0.3195743140042368,4.778254649499285,4.177396280400572,91.04434907010014,585,16.738197424892704,0.5202884726499759,0.00010755032345815598
21,248,47,0.12222222222222232,0.180952380952381,0.347048735199,13.709677419354838,3.6290322580645165,82.66129032258065,19,7.661290322580645,-0.061727811745418894,0.6802055408797818
22,12447,51,0.0017362045760431083,0.0051413189771198,0.2889126893668716,6.700409737286093,2.225435847995501,91.07415441471841,2745,22.05350686912509,0.614783550543432,1.5900311648074373e-06
23,3577,51,-0.0228668941979523,0.0464163822525596,0.304911920179862,5.032149846239866,3.4665921162985747,91.50125803746157,919,25.69192060385798,0.23945896129824468,0.09056880738836097
24,531,50,-0.012499999999999971,-0.0517857142857142,0.32506674176224637,9.03954802259887,6.214689265536723,84.7457627118644,81,15.254237288135593,0.424834824954802,0.002103821999799903
26,6116,50,0.003144129104062302,0.0210350584307178,0.29534450743595053,5.902550686723348,2.9758011772400264,91.12164813603663,1630,26.651406147809027,0.6313891816613859,8.820796406568792e-07
27,7198,51,0.06740498950804397,0.0069480065283284,0.3011412453897874,11.253125868296749,2.1811614337315923,86.56571269797166,2119,29.43873298138372,0.5488045249611712,3.048607790594034e-05
28,459,49,0.015151515151515199,-0.0064935064935064,0.4064699332498899,15.250544662309368,10.239651416122005,74.50980392156863,128,27.886710239651418,0.2736056735691282,0.0571355990417943
29,368,41,0.00833333333333329,0.0823529411764705,0.35596469588524166,6.521739130434782,6.521739130434782,86.95652173913044,48,13.043478260869565,0.2638019196612367,0.09559649701248268
30,1754,51,-0.022471910112359588,0.0749744637385086,0.31302445868353357,3.534777651083238,4.732041049030787,91.73318129988598,460,26.225769669327253,0.4319620345682351,0.0015496730340041843
