louvain,n_cells,n_animals,mean_lochness,median_lochness,std_lochness,pct_old_enriched,pct_young_enriched,pct_neutral,n_significant,pct_significant,r_age,p_age
0,413,38,0.07687074829931977,0.1238095238095238,0.33190020096784023,0.0,5.084745762711865,94.91525423728814,287,69.49152542372882,-0.16844425165627225,0.31205460422125647
1,165,24,0.059848484848484845,0.125,0.17763042635368737,0.0,0.0,100.0,2,1.2121212121212122,0.11145051125581153,0.6041327126771834
2,4440,52,0.018951079770824008,-0.0215954164830323,0.3646082711720777,11.351351351351353,7.072072072072072,81.57657657657657,818,18.423423423423422,0.5652567196681562,1.2652983939476442e-05
3,1147,52,-0.003338898163606115,-0.0425709515859767,0.3430840150234845,10.37489102005231,7.061900610287706,82.56320836965998,323,28.160418482999127,0.2599592792431558,0.0627211337669607
4,6180,52,-0.0494156427929278,-0.0740185795624813,0.37078148806353683,4.611650485436893,9.757281553398059,85.63106796116506,888,14.36893203883495,0.6596598133052598,1.0447522203237881e-07
5,1430,40,0.0678426051560381,-0.0298507462686566,0.48578647563727545,24.055944055944057,10.909090909090908,65.03496503496503,370,25.874125874125873,0.36008729128061134,0.02246942692320498
6,1186,52,-0.004133545310015882,-0.0572337042925278,0.4270247502550865,17.36930860033727,11.298482293423271,71.33220910623946,487,41.06239460370995,0.07762041049533248,0.5844140493596371
8,189,29,0.04799999999999996,0.0583999999999999,0.31075065738277974,13.756613756613756,3.7037037037037033,82.53968253968253,61,32.27513227513227,0.09026082181765063,0.6414725026543571
10,256,42,0.015200000000000007,0.024,0.31271288692194765,4.6875,6.25,89.0625,28,10.9375,-0.032629722304418345,0.8374646431341926
11,778,37,0.04534313725490209,-0.0465686274509802,0.5174784459571873,27.76349614395887,16.195372750642672,56.041131105398456,331,42.544987146529564,0.25004411036556295,0.13554689564608519
12,670,39,-0.05398009950248755,0.0,0.3113528878341328,1.9402985074626864,3.4328358208955225,94.6268656716418,75,11.194029850746269,0.08727059681410679,0.5973033075204249
15,195,42,-0.05862068965517244,0.0086206896551723,0.7607187281225406,23.076923076923077,32.82051282051282,44.1025641025641,90,46.15384615384615,0.34833646273653757,0.023779534249930328
17,635,27,0.04193548387096769,-0.0896057347670251,0.503185441301456,20.15748031496063,20.47244094488189,59.37007874015748,258,40.62992125984252,0.28674909298398454,0.1470182494523104
18,429,14,-0.06372093023255825,-0.2018604651162791,0.5195168041557415,17.24941724941725,21.445221445221446,61.3053613053613,144,33.56643356643357,0.3931931070007033,0.16428100815393581
19,468,31,0.14969696969696955,0.1345454545454544,0.526915279617228,21.153846153846153,8.974358974358974,69.87179487179486,141,30.128205128205128,0.4070133402688895,0.023060907345827285
20,552,37,-0.03369175627240151,-0.0107526881720431,0.380746445009627,7.608695652173914,13.768115942028986,78.62318840579711,173,31.34057971014493,0.09173858709150684,0.5891886155338458
21,52672,52,0.01530192294046674,-0.0656354218406302,0.403387980854316,8.165628797083839,9.35411603888214,82.48025516403402,20047,38.06006986634265,0.8429421657507394,4.57538941041421e-15
22,3635,51,0.027226463104325596,0.1099236641221372,0.39039099365960017,8.225584594222832,7.950481430536452,83.82393397524072,1003,27.592847317744152,0.5884641304435415,5.5845944477066454e-06
23,7527,52,0.020717867511216622,-0.0067300079176564,0.33354164650037466,8.037730835658296,5.314202205393916,86.6480669589478,702,9.32642487046632,0.5061376178528105,0.0001291663584918899
25,3626,51,-0.02699386503067471,0.1122699386503069,0.5427512907965363,10.728075013789299,23.303916161059018,65.96800882515168,333,9.183673469387756,0.3348954346064119,0.01629868464399872
26,321,18,0.01793478260869571,0.0467391304347826,0.3834881664532355,13.084112149532709,6.853582554517133,80.06230529595015,64,19.937694704049843,0.10661614121957622,0.6737082884030136
27,822,52,-0.09136125654450267,-0.1392670157068063,0.3811813532341177,9.002433090024331,17.51824817518248,73.47931873479318,172,20.92457420924574,0.07587116280829587,0.5929358349377598
28,591,20,-0.06814159292035392,-0.2154867256637167,0.5846792837168464,20.135363790186126,19.120135363790187,60.74450084602368,163,27.580372250423014,0.4255833049292713,0.06137182725994878
29,334,22,-0.014110429447852822,0.0245398773006134,0.47945073441805275,16.766467065868262,17.065868263473057,66.1676646706587,150,44.91017964071856,0.11014675154914033,0.6255736741098014
30,202,26,-0.13647058823529418,-0.0494117647058824,0.42036072810241487,6.9306930693069315,27.722772277227726,65.34653465346535,36,17.82178217821782,0.3221959525552216,0.10844376599055773
