animal_id,age,louvain,region,age_group,lochness_score,lochness_pvalue,lochness_significant,lochness_category
77V,16.15,0,CN,old,0.3799999999999999,0.012608695652173913,True,neutral
77V,16.15,0,CN,old,0.22666666666666657,0.2689565217391304,False,neutral
2Q0,3.21,0,CN,young,-0.3866666666666667,0.021565217391304348,True,neutral
77V,16.15,0,CN,old,0.22666666666666657,0.2689565217391304,False,neutral
74K,20.81,0,CN,old,-0.54,0.021565217391304348,True,young_enriched
56R,14.95,0,CN,old,-0.54,0.021565217391304348,True,young_enriched
43N,17.0,0,CN,old,-0.2333333333333334,0.22,False,neutral
2Q0,3.21,0,CN,young,0.22666666666666657,0.2689565217391304,False,neutral
2Q0,3.21,0,CN,young,-0.2333333333333334,0.22,False,neutral
43N,17.0,0,CN,old,-0.08000000000000007,0.22,False,neutral
3D1,13.11,0,CN,old,-0.2333333333333334,0.22,False,neutral
77V,16.15,0,CN,old,0.22666666666666657,0.2689565217391304,False,neutral
43N,17.0,0,CN,old,0.22666666666666657,0.2689565217391304,False,neutral
0B9,12.11,0,CN,old,0.3799999999999999,0.012608695652173913,True,neutral
77V,16.15,0,CN,old,0.22666666666666657,0.2689565217391304,False,neutral
2S2,6.31,0,CN,young,0.22666666666666657,0.2689565217391304,False,neutral
2V1,4.3,0,CN,young,-0.3866666666666667,0.021565217391304348,True,neutral
77V,16.15,0,CN,old,0.5333333333333332,0.012608695652173913,True,old_enriched
77V,16.15,0,CN,old,0.3799999999999999,0.012608695652173913,True,neutral
2V1,4.3,0,CN,young,0.07333333333333325,0.2689565217391304,False,neutral
77V,16.15,0,CN,old,-0.08000000000000007,0.22,False,neutral
77V,16.15,0,CN,old,0.5333333333333332,0.012608695652173913,True,old_enriched
0G3,9.1,0,CN,young,0.07333333333333325,0.2689565217391304,False,neutral
1P5,6.21,0,CN,young,-0.6933333333333334,0.0005217391304347826,True,young_enriched
2V1,4.3,0,CN,young,0.22666666666666657,0.2689565217391304,False,neutral
7M4,8.15,0,CN,young,-0.3866666666666667,0.021565217391304348,True,neutral
55R,14.97,0,CN,old,-0.08000000000000007,0.22,False,neutral
1V8,4.31,0,CN,young,0.5333333333333332,0.012608695652173913,True,old_enriched
77V,16.15,0,CN,old,0.3799999999999999,0.012608695652173913,True,neutral
77V,16.15,0,CN,old,0.3799999999999999,0.012608695652173913,True,neutral
6L4,8.2,0,CN,young,0.07333333333333325,0.2689565217391304,False,neutral
77V,16.15,0,CN,old,0.3799999999999999,0.012608695652173913,True,neutral
56R,14.95,0,CN,old,0.22666666666666657,0.2689565217391304,False,neutral
6L4,8.2,0,CN,young,0.07333333333333325,0.2689565217391304,False,neutral
43N,17.0,0,CN,old,-0.2333333333333334,0.22,False,neutral
77V,16.15,0,CN,old,0.3799999999999999,0.012608695652173913,True,neutral
6L4,8.2,0,CN,young,0.07333333333333325,0.2689565217391304,False,neutral
6L4,8.2,0,CN,young,-0.3866666666666667,0.021565217391304348,True,neutral
77V,16.15,0,CN,old,0.3799999999999999,0.012608695652173913,True,neutral
77V,16.15,0,CN,old,0.5333333333333332,0.012608695652173913,True,old_enriched
41N,16.74,0,CN,old,-0.2333333333333334,0.22,False,neutral
77V,16.15,0,CN,old,0.3799999999999999,0.012608695652173913,True,neutral
77V,16.15,0,CN,old,0.5333333333333332,0.012608695652173913,True,old_enriched
77V,16.15,0,CN,old,0.3799999999999999,0.012608695652173913,True,neutral
1G8,7.88,0,CN,young,0.5333333333333332,0.012608695652173913,True,old_enriched
46Z,13.97,0,CN,old,-0.08000000000000007,0.22,False,neutral
77V,16.15,0,CN,old,0.5333333333333332,0.012608695652173913,True,old_enriched
77V,16.15,0,CN,old,0.3799999999999999,0.012608695652173913,True,neutral
77V,16.15,0,CN,old,0.5333333333333332,0.012608695652173913,True,old_enriched
1P5,6.21,0,CN,young,0.07333333333333325,0.2689565217391304,False,neutral
