animal_id,age,louvain,region,age_group,lochness_score,lochness_pvalue,lochness_significant,lochness_category
0G3,9.1,0,IPP,young,-0.2059447983014862,0.12561497326203208,False,neutral
8I6,9.9,0,IPP,young,-0.364755838641189,0.12561497326203208,False,neutral
56K,19.93,0,IPP,old,0.2704883227176221,0.06350267379679145,False,neutral
8C9,12.12,0,IPP,old,0.4292993630573248,0.009505347593582888,True,neutral
8C9,12.12,0,IPP,old,0.11167728237791931,0.21315508021390375,False,neutral
4Q6,3.22,0,IPP,young,-0.364755838641189,0.12561497326203208,False,neutral
77V,16.15,0,IPP,old,0.5881104033970276,0.0,True,old_enriched
0G3,9.1,0,IPP,young,0.4292993630573248,0.009505347593582888,True,neutral
2Q0,3.21,0,IPP,young,-0.364755838641189,0.12561497326203208,False,neutral
2C0,11.0,0,IPP,old,-0.2059447983014862,0.12561497326203208,False,neutral
43N,17.0,0,IPP,old,0.2704883227176221,0.06350267379679145,False,neutral
2C0,11.0,0,IPP,old,0.2704883227176221,0.06350267379679145,False,neutral
2Q0,3.21,0,IPP,young,-0.6823779193205944,0.007954545454545454,True,young_enriched
4S3,3.18,0,IPP,young,-0.6823779193205944,0.007954545454545454,True,young_enriched
3E4,11.99,0,IPP,old,0.5881104033970276,0.0,True,old_enriched
2S6,3.17,0,IPP,young,-0.5235668789808917,0.03758021390374332,True,young_enriched
0G3,9.1,0,IPP,young,-0.04713375796178345,0.5476604278074866,False,neutral
77V,16.15,0,IPP,old,0.4292993630573248,0.009505347593582888,True,neutral
2Q0,3.21,0,IPP,young,-0.04713375796178345,0.5476604278074866,False,neutral
77V,16.15,0,IPP,old,-0.2059447983014862,0.12561497326203208,False,neutral
7F0,11.2,0,IPP,old,0.4292993630573248,0.009505347593582888,True,neutral
46Z,13.97,0,IPP,old,-0.2059447983014862,0.12561497326203208,False,neutral
77V,16.15,0,IPP,old,-0.2059447983014862,0.12561497326203208,False,neutral
2C0,11.0,0,IPP,old,-0.04713375796178345,0.5476604278074866,False,neutral
2C0,11.0,0,IPP,old,0.2704883227176221,0.06350267379679145,False,neutral
82V,16.01,0,IPP,old,0.11167728237791931,0.21315508021390375,False,neutral
0B9,12.11,0,IPP,old,-0.5235668789808917,0.03758021390374332,True,young_enriched
