animal_id,age,louvain,region,age_group,lochness_score,lochness_pvalue,lochness_significant,lochness_category
0G3,9.1,17,mdTN,young,0.30208333333333337,0.328,False,neutral
0G3,9.1,17,mdTN,young,-0.21874999999999997,0.4176,False,neutral
4S3,3.18,17,mdTN,young,-0.21874999999999997,0.4176,False,neutral
1P5,6.21,17,mdTN,young,-0.47916666666666663,0.05472,False,neutral
3K1,9.01,17,mdTN,young,0.041666666666666706,0.5824,False,neutral
0G3,9.1,17,mdTN,young,0.041666666666666706,0.5824,False,neutral
7F0,11.2,17,mdTN,old,-0.47916666666666663,0.05472,False,neutral
74K,20.81,17,mdTN,old,0.041666666666666706,0.5824,False,neutral
6O7,6.03,17,mdTN,young,-0.47916666666666663,0.05472,False,neutral
6O7,6.03,17,mdTN,young,0.30208333333333337,0.328,False,neutral
4S3,3.18,17,mdTN,young,-0.7395833333333334,0.00632,True,young_enriched
4S3,3.18,17,mdTN,young,-0.7395833333333334,0.00632,True,young_enriched
6O7,6.03,17,mdTN,young,-0.21874999999999997,0.4176,False,neutral
46Z,13.97,17,mdTN,old,-0.21874999999999997,0.4176,False,neutral
8I6,9.9,17,mdTN,young,0.041666666666666706,0.5824,False,neutral
6O7,6.03,17,mdTN,young,-0.21874999999999997,0.4176,False,neutral
74K,20.81,17,mdTN,old,-0.21874999999999997,0.4176,False,neutral
4J6,7.15,17,mdTN,young,0.8229166666666667,0.03696,True,old_enriched
50P,15.59,17,mdTN,old,0.30208333333333337,0.328,False,neutral
4J6,7.15,17,mdTN,young,-0.47916666666666663,0.05472,False,neutral
55R,14.97,17,mdTN,old,0.30208333333333337,0.328,False,neutral
3R7,3.32,17,mdTN,young,-0.47916666666666663,0.05472,False,neutral
1P5,6.21,17,mdTN,young,-0.7395833333333334,0.00632,True,young_enriched
7F0,11.2,17,mdTN,old,0.5625000000000001,0.03696,True,old_enriched
1P5,6.21,17,mdTN,young,0.5625000000000001,0.03696,True,old_enriched
56R,14.95,17,mdTN,old,-0.21874999999999997,0.4176,False,neutral
8I6,9.9,17,mdTN,young,0.30208333333333337,0.328,False,neutral
7M4,8.15,17,mdTN,young,0.041666666666666706,0.5824,False,neutral
31S,17.0,17,mdTN,old,0.5625000000000001,0.03696,True,old_enriched
56R,14.95,17,mdTN,old,0.041666666666666706,0.5824,False,neutral
7M4,8.15,17,mdTN,young,0.30208333333333337,0.328,False,neutral
1P5,6.21,17,mdTN,young,-0.7395833333333334,0.00632,True,young_enriched
2F2,11.04,17,mdTN,old,-0.21874999999999997,0.4176,False,neutral
31S,17.0,17,mdTN,old,0.5625000000000001,0.03696,True,old_enriched
74K,20.81,17,mdTN,old,0.30208333333333337,0.328,False,neutral
4S3,3.18,17,mdTN,young,0.30208333333333337,0.328,False,neutral
1T9,4.11,17,mdTN,young,-0.47916666666666663,0.05472,False,neutral
4S3,3.18,17,mdTN,young,-0.21874999999999997,0.4176,False,neutral
31S,17.0,17,mdTN,old,0.30208333333333337,0.328,False,neutral
82V,16.01,17,mdTN,old,0.30208333333333337,0.328,False,neutral
8I6,9.9,17,mdTN,young,0.041666666666666706,0.5824,False,neutral
6O7,6.03,17,mdTN,young,0.041666666666666706,0.5824,False,neutral
82V,16.01,17,mdTN,old,-0.7395833333333334,0.00632,True,young_enriched
6O7,6.03,17,mdTN,young,-0.47916666666666663,0.05472,False,neutral
2S2,6.31,17,mdTN,young,-0.21874999999999997,0.4176,False,neutral
3E4,11.99,17,mdTN,old,0.041666666666666706,0.5824,False,neutral
0G3,9.1,17,mdTN,young,-0.7395833333333334,0.00632,True,young_enriched
3R7,3.32,17,mdTN,young,-0.47916666666666663,0.05472,False,neutral
6O7,6.03,17,mdTN,young,-0.47916666666666663,0.05472,False,neutral
7F0,11.2,17,mdTN,old,0.30208333333333337,0.328,False,neutral
7M4,8.15,17,mdTN,young,0.30208333333333337,0.328,False,neutral
0G3,9.1,17,mdTN,young,-0.21874999999999997,0.4176,False,neutral
4S3,3.18,17,mdTN,young,0.30208333333333337,0.328,False,neutral
3K1,9.01,17,mdTN,young,0.30208333333333337,0.328,False,neutral
8I6,9.9,17,mdTN,young,0.30208333333333337,0.328,False,neutral
4S3,3.18,17,mdTN,young,-0.21874999999999997,0.4176,False,neutral
3T5,5.12,17,mdTN,young,-0.47916666666666663,0.05472,False,neutral
7F0,11.2,17,mdTN,old,0.041666666666666706,0.5824,False,neutral
4S3,3.18,17,mdTN,young,-0.21874999999999997,0.4176,False,neutral
2C6,14.03,17,mdTN,old,-0.47916666666666663,0.05472,False,neutral
1P5,6.21,17,mdTN,young,0.30208333333333337,0.328,False,neutral
3E4,11.99,17,mdTN,old,0.30208333333333337,0.328,False,neutral
0G3,9.1,17,mdTN,young,-1.0,0.00632,True,young_enriched
31S,17.0,17,mdTN,old,0.30208333333333337,0.328,False,neutral
50P,15.59,17,mdTN,old,0.041666666666666706,0.5824,False,neutral
31S,17.0,17,mdTN,old,0.041666666666666706,0.5824,False,neutral
31S,17.0,17,mdTN,old,-0.21874999999999997,0.4176,False,neutral
42T,15.96,17,mdTN,old,-0.21874999999999997,0.4176,False,neutral
74K,20.81,17,mdTN,old,-0.21874999999999997,0.4176,False,neutral
2S2,6.31,17,mdTN,young,0.30208333333333337,0.328,False,neutral
82V,16.01,17,mdTN,old,-0.21874999999999997,0.4176,False,neutral
4S3,3.18,17,mdTN,young,-0.7395833333333334,0.00632,True,young_enriched
3K1,9.01,17,mdTN,young,-0.47916666666666663,0.05472,False,neutral
5R4,6.25,17,mdTN,young,0.5625000000000001,0.03696,True,old_enriched
4S3,3.18,17,mdTN,young,0.30208333333333337,0.328,False,neutral
6D9,13.11,17,mdTN,old,-0.47916666666666663,0.05472,False,neutral
2F2,11.04,17,mdTN,old,0.5625000000000001,0.03696,True,old_enriched
3T5,5.12,17,mdTN,young,0.041666666666666706,0.5824,False,neutral
82V,16.01,17,mdTN,old,-0.47916666666666663,0.05472,False,neutral
3K1,9.01,17,mdTN,young,0.5625000000000001,0.03696,True,old_enriched
4J6,7.15,17,mdTN,young,0.30208333333333337,0.328,False,neutral
3K1,9.01,17,mdTN,young,0.041666666666666706,0.5824,False,neutral
74K,20.81,17,mdTN,old,0.041666666666666706,0.5824,False,neutral
