animal_id,age,louvain,region,age_group,lochness_score,lochness_pvalue,lochness_significant,lochness_category
46Z,13.97,22,HIP,old,0.1293680297397768,0.45436471362738645,False,neutral
77V,16.15,22,HIP,old,-0.24708798017348213,0.3069124423963134,False,neutral
8C9,12.12,22,HIP,old,-0.05885997521685268,0.3069124423963134,False,neutral
7M4,8.15,22,HIP,young,0.31759603469640624,0.2261356155365372,False,neutral
8C9,12.12,22,HIP,old,0.31759603469640624,0.2261356155365372,False,neutral
2I1,10.27,22,HIP,old,-0.05885997521685268,0.3069124423963134,False,neutral
0G3,9.1,22,HIP,young,-0.24708798017348213,0.3069124423963134,False,neutral
0G3,9.1,22,HIP,young,-0.6235439900867411,0.006161948650427913,True,young_enriched
8C9,12.12,22,HIP,old,0.31759603469640624,0.2261356155365372,False,neutral
46Z,13.97,22,HIP,old,-0.24708798017348213,0.3069124423963134,False,neutral
2V1,4.3,22,HIP,young,0.31759603469640624,0.2261356155365372,False,neutral
82V,16.01,22,HIP,old,0.1293680297397768,0.45436471362738645,False,neutral
1P5,6.21,22,HIP,young,-0.05885997521685268,0.3069124423963134,False,neutral
4Q6,3.22,22,HIP,young,-0.24708798017348213,0.3069124423963134,False,neutral
0B9,12.11,22,HIP,old,-0.4353159851301116,0.12724818959842002,False,neutral
6O7,6.03,22,HIP,young,-0.4353159851301116,0.12724818959842002,False,neutral
1P5,6.21,22,HIP,young,0.6940520446096652,0.0017116524028966426,True,old_enriched
37V,15.07,22,HIP,old,-0.05885997521685268,0.3069124423963134,False,neutral
8B3,13.09,22,HIP,old,-0.24708798017348213,0.3069124423963134,False,neutral
5H6,11.03,22,HIP,old,0.31759603469640624,0.2261356155365372,False,neutral
7F0,11.2,22,HIP,old,0.31759603469640624,0.2261356155365372,False,neutral
0G3,9.1,22,HIP,young,-0.24708798017348213,0.3069124423963134,False,neutral
0G3,9.1,22,HIP,young,-0.4353159851301116,0.12724818959842002,False,neutral
0G3,9.1,22,HIP,young,-0.24708798017348213,0.3069124423963134,False,neutral
0B9,12.11,22,HIP,old,-0.4353159851301116,0.12724818959842002,False,neutral
1P5,6.21,22,HIP,young,0.31759603469640624,0.2261356155365372,False,neutral
42T,15.96,22,HIP,old,0.6940520446096652,0.0017116524028966426,True,old_enriched
2V1,4.3,22,HIP,young,0.31759603469640624,0.2261356155365372,False,neutral
3D1,13.11,22,HIP,old,-0.05885997521685268,0.3069124423963134,False,neutral
82V,16.01,22,HIP,old,0.5058240396530357,0.017037524687294272,True,old_enriched
0B9,12.11,22,HIP,old,0.6940520446096652,0.0017116524028966426,True,old_enriched
8B3,13.09,22,HIP,old,-0.4353159851301116,0.12724818959842002,False,neutral
