animal_id,age,louvain,region,age_group,lochness_score,lochness_pvalue,lochness_significant,lochness_category
50P,15.59,8,EC,old,0.05839999999999997,0.5559259259259259,False,neutral
6D9,13.11,8,EC,old,0.05839999999999997,0.5559259259259259,False,neutral
50P,15.59,8,EC,old,-0.24400000000000002,0.2092063492063492,False,neutral
2Q0,3.21,8,EC,young,-0.24400000000000002,0.2092063492063492,False,neutral
50P,15.59,8,EC,old,0.512,0.012592592592592593,True,old_enriched
3R7,3.32,8,EC,young,0.05839999999999997,0.5559259259259259,False,neutral
55R,14.97,8,EC,old,0.05839999999999997,0.5559259259259259,False,neutral
5R4,6.25,8,EC,young,-0.09280000000000002,0.2092063492063492,False,neutral
50P,15.59,8,EC,old,0.36079999999999995,0.012592592592592593,True,neutral
50P,15.59,8,EC,old,0.36079999999999995,0.012592592592592593,True,neutral
50P,15.59,8,EC,old,0.512,0.012592592592592593,True,old_enriched
5H6,11.03,8,EC,old,-0.6976,0.002857142857142857,True,young_enriched
2F2,11.04,8,EC,old,0.36079999999999995,0.012592592592592593,True,neutral
2F2,11.04,8,EC,old,0.05839999999999997,0.5559259259259259,False,neutral
2V1,4.3,8,EC,young,-0.09280000000000002,0.2092063492063492,False,neutral
7M4,8.15,8,EC,young,-0.09280000000000002,0.2092063492063492,False,neutral
31S,17.0,8,EC,old,0.512,0.012592592592592593,True,old_enriched
50P,15.59,8,EC,old,-0.24400000000000002,0.2092063492063492,False,neutral
50P,15.59,8,EC,old,0.36079999999999995,0.012592592592592593,True,neutral
3R7,3.32,8,EC,young,-0.3952,0.0682010582010582,False,neutral
50P,15.59,8,EC,old,0.512,0.012592592592592593,True,old_enriched
5H6,11.03,8,EC,old,0.36079999999999995,0.012592592592592593,True,neutral
50P,15.59,8,EC,old,0.36079999999999995,0.012592592592592593,True,neutral
6L4,8.2,8,EC,young,-0.09280000000000002,0.2092063492063492,False,neutral
2F2,11.04,8,EC,old,0.05839999999999997,0.5559259259259259,False,neutral
82V,16.01,8,EC,old,-0.3952,0.0682010582010582,False,neutral
82V,16.01,8,EC,old,0.20959999999999995,0.2777248677248677,False,neutral
50P,15.59,8,EC,old,-0.3952,0.0682010582010582,False,neutral
50P,15.59,8,EC,old,-0.09280000000000002,0.2092063492063492,False,neutral
55R,14.97,8,EC,old,-0.09280000000000002,0.2092063492063492,False,neutral
3R7,3.32,8,EC,young,-0.24400000000000002,0.2092063492063492,False,neutral
50P,15.59,8,EC,old,0.512,0.012592592592592593,True,old_enriched
50P,15.59,8,EC,old,0.36079999999999995,0.012592592592592593,True,neutral
2Q0,3.21,8,EC,young,-0.09280000000000002,0.2092063492063492,False,neutral
31S,17.0,8,EC,old,-0.24400000000000002,0.2092063492063492,False,neutral
50P,15.59,8,EC,old,0.36079999999999995,0.012592592592592593,True,neutral
50P,15.59,8,EC,old,0.512,0.012592592592592593,True,old_enriched
50P,15.59,8,EC,old,0.20959999999999995,0.2777248677248677,False,neutral
8B3,13.09,8,EC,old,-0.3952,0.0682010582010582,False,neutral
82V,16.01,8,EC,old,0.36079999999999995,0.012592592592592593,True,neutral
50P,15.59,8,EC,old,0.512,0.012592592592592593,True,old_enriched
8B3,13.09,8,EC,old,-0.24400000000000002,0.2092063492063492,False,neutral
50P,15.59,8,EC,old,0.512,0.012592592592592593,True,old_enriched
55R,14.97,8,EC,old,-0.3952,0.0682010582010582,False,neutral
2F2,11.04,8,EC,old,0.05839999999999997,0.5559259259259259,False,neutral
1G8,7.88,8,EC,young,-0.09280000000000002,0.2092063492063492,False,neutral
6L4,8.2,8,EC,young,-0.24400000000000002,0.2092063492063492,False,neutral
50P,15.59,8,EC,old,0.512,0.012592592592592593,True,old_enriched
50P,15.59,8,EC,old,0.20959999999999995,0.2777248677248677,False,neutral
3E4,11.99,8,EC,old,-0.3952,0.0682010582010582,False,neutral
2F2,11.04,8,EC,old,-0.09280000000000002,0.2092063492063492,False,neutral
3T5,5.12,8,EC,young,-0.24400000000000002,0.2092063492063492,False,neutral
50P,15.59,8,EC,old,-0.24400000000000002,0.2092063492063492,False,neutral
55R,14.97,8,EC,old,-0.24400000000000002,0.2092063492063492,False,neutral
50P,15.59,8,EC,old,0.512,0.012592592592592593,True,old_enriched
82V,16.01,8,EC,old,0.36079999999999995,0.012592592592592593,True,neutral
3R7,3.32,8,EC,young,-0.09280000000000002,0.2092063492063492,False,neutral
3R7,3.32,8,EC,young,-0.09280000000000002,0.2092063492063492,False,neutral
2F2,11.04,8,EC,old,0.05839999999999997,0.5559259259259259,False,neutral
50P,15.59,8,EC,old,0.512,0.012592592592592593,True,old_enriched
82V,16.01,8,EC,old,0.512,0.012592592592592593,True,old_enriched
2F2,11.04,8,EC,old,0.20959999999999995,0.2777248677248677,False,neutral
3R7,3.32,8,EC,young,0.05839999999999997,0.5559259259259259,False,neutral
2T2,4.09,8,EC,young,0.05839999999999997,0.5559259259259259,False,neutral
50P,15.59,8,EC,old,-0.24400000000000002,0.2092063492063492,False,neutral
2V1,4.3,8,EC,young,-0.24400000000000002,0.2092063492063492,False,neutral
50P,15.59,8,EC,old,-0.3952,0.0682010582010582,False,neutral
3T5,5.12,8,EC,young,0.36079999999999995,0.012592592592592593,True,neutral
50P,15.59,8,EC,old,0.512,0.012592592592592593,True,old_enriched
82V,16.01,8,EC,old,0.512,0.012592592592592593,True,old_enriched
3E4,11.99,8,EC,old,0.05839999999999997,0.5559259259259259,False,neutral
82V,16.01,8,EC,old,0.36079999999999995,0.012592592592592593,True,neutral
2F2,11.04,8,EC,old,-0.09280000000000002,0.2092063492063492,False,neutral
2F2,11.04,8,EC,old,0.36079999999999995,0.012592592592592593,True,neutral
50P,15.59,8,EC,old,-0.3952,0.0682010582010582,False,neutral
82V,16.01,8,EC,old,0.20959999999999995,0.2777248677248677,False,neutral
2Q0,3.21,8,EC,young,-0.09280000000000002,0.2092063492063492,False,neutral
50P,15.59,8,EC,old,0.512,0.012592592592592593,True,old_enriched
50P,15.59,8,EC,old,0.05839999999999997,0.5559259259259259,False,neutral
2Q0,3.21,8,EC,young,0.36079999999999995,0.012592592592592593,True,neutral
50P,15.59,8,EC,old,0.512,0.012592592592592593,True,old_enriched
2F2,11.04,8,EC,old,0.20959999999999995,0.2777248677248677,False,neutral
82V,16.01,8,EC,old,0.512,0.012592592592592593,True,old_enriched
