animal_id,age,louvain,region,age_group,lochness_score,lochness_pvalue,lochness_significant,lochness_category
4J6,7.15,5,CN,young,-0.08395061728395066,0.2912398921832884,False,neutral
8C9,12.12,5,CN,old,0.14506172839506168,0.46443396226415096,False,neutral
4J6,7.15,5,CN,young,0.374074074074074,0.08606469002695417,False,neutral
2T6,5.18,5,CN,young,0.14506172839506168,0.46443396226415096,False,neutral
74K,20.81,5,CN,old,0.14506172839506168,0.46443396226415096,False,neutral
5H6,11.03,5,CN,old,-0.312962962962963,0.11323450134770889,False,neutral
74K,20.81,5,CN,old,0.6030864197530864,0.022210242587601077,True,old_enriched
1T9,4.11,5,CN,young,-0.5419753086419753,0.11323450134770889,False,young_enriched
77V,16.15,5,CN,old,-0.312962962962963,0.11323450134770889,False,neutral
82V,16.01,5,CN,old,-0.08395061728395066,0.2912398921832884,False,neutral
2S2,6.31,5,CN,young,-0.5419753086419753,0.11323450134770889,False,young_enriched
3T5,5.12,5,CN,young,0.14506172839506168,0.46443396226415096,False,neutral
98V,16.03,5,CN,old,0.6030864197530864,0.022210242587601077,True,old_enriched
2T6,5.18,5,CN,young,0.14506172839506168,0.46443396226415096,False,neutral
1T9,4.11,5,CN,young,-0.7709876543209877,0.0029784366576819407,True,young_enriched
77V,16.15,5,CN,old,-0.7709876543209877,0.0029784366576819407,True,young_enriched
2C6,14.03,5,CN,old,0.374074074074074,0.08606469002695417,False,neutral
2T2,4.09,5,CN,young,-0.312962962962963,0.11323450134770889,False,neutral
2T6,5.18,5,CN,young,-0.312962962962963,0.11323450134770889,False,neutral
7F0,11.2,5,CN,old,0.14506172839506168,0.46443396226415096,False,neutral
2S2,6.31,5,CN,young,-0.5419753086419753,0.11323450134770889,False,young_enriched
2T6,5.18,5,CN,young,-0.08395061728395066,0.2912398921832884,False,neutral
1P5,6.21,5,CN,young,0.374074074074074,0.08606469002695417,False,neutral
31S,17.0,5,CN,old,-0.08395061728395066,0.2912398921832884,False,neutral
4J6,7.15,5,CN,young,-0.08395061728395066,0.2912398921832884,False,neutral
2T6,5.18,5,CN,young,-0.08395061728395066,0.2912398921832884,False,neutral
46Z,13.97,5,CN,old,-0.5419753086419753,0.11323450134770889,False,young_enriched
2T6,5.18,5,CN,young,0.14506172839506168,0.46443396226415096,False,neutral
2T6,5.18,5,CN,young,0.374074074074074,0.08606469002695417,False,neutral
1V8,4.31,5,CN,young,0.14506172839506168,0.46443396226415096,False,neutral
56K,19.93,5,CN,old,0.14506172839506168,0.46443396226415096,False,neutral
8I6,9.9,5,CN,young,0.14506172839506168,0.46443396226415096,False,neutral
1G8,7.88,5,CN,young,-0.312962962962963,0.11323450134770889,False,neutral
42T,15.96,5,CN,old,0.14506172839506168,0.46443396226415096,False,neutral
2S6,3.17,5,CN,young,-0.5419753086419753,0.11323450134770889,False,young_enriched
98V,16.03,5,CN,old,-0.08395061728395066,0.2912398921832884,False,neutral
2C6,14.03,5,CN,old,0.374074074074074,0.08606469002695417,False,neutral
6O7,6.03,5,CN,young,0.6030864197530864,0.022210242587601077,True,old_enriched
3T5,5.12,5,CN,young,-0.08395061728395066,0.2912398921832884,False,neutral
98V,16.03,5,CN,old,0.14506172839506168,0.46443396226415096,False,neutral
8B3,13.09,5,CN,old,0.14506172839506168,0.46443396226415096,False,neutral
56K,19.93,5,CN,old,-0.5419753086419753,0.11323450134770889,False,young_enriched
7M4,8.15,5,CN,young,0.14506172839506168,0.46443396226415096,False,neutral
46Z,13.97,5,CN,old,0.374074074074074,0.08606469002695417,False,neutral
1T9,4.11,5,CN,young,0.14506172839506168,0.46443396226415096,False,neutral
7F0,11.2,5,CN,old,-0.08395061728395066,0.2912398921832884,False,neutral
8I6,9.9,5,CN,young,0.374074074074074,0.08606469002695417,False,neutral
2T6,5.18,5,CN,young,-0.08395061728395066,0.2912398921832884,False,neutral
2T6,5.18,5,CN,young,0.374074074074074,0.08606469002695417,False,neutral
2Q0,3.21,5,CN,young,-0.5419753086419753,0.11323450134770889,False,young_enriched
3D1,13.11,5,CN,old,0.374074074074074,0.08606469002695417,False,neutral
7M4,8.15,5,CN,young,-0.08395061728395066,0.2912398921832884,False,neutral
74K,20.81,5,CN,old,0.14506172839506168,0.46443396226415096,False,neutral
4Q6,3.22,5,CN,young,-0.08395061728395066,0.2912398921832884,False,neutral
46Z,13.97,5,CN,old,0.14506172839506168,0.46443396226415096,False,neutral
31S,17.0,5,CN,old,0.374074074074074,0.08606469002695417,False,neutral
8C9,12.12,5,CN,old,0.14506172839506168,0.46443396226415096,False,neutral
8I6,9.9,5,CN,young,-0.08395061728395066,0.2912398921832884,False,neutral
74K,20.81,5,CN,old,0.14506172839506168,0.46443396226415096,False,neutral
2T2,4.09,5,CN,young,-0.08395061728395066,0.2912398921832884,False,neutral
42T,15.96,5,CN,old,0.14506172839506168,0.46443396226415096,False,neutral
8B3,13.09,5,CN,old,0.374074074074074,0.08606469002695417,False,neutral
46Z,13.97,5,CN,old,0.374074074074074,0.08606469002695417,False,neutral
82V,16.01,5,CN,old,-0.08395061728395066,0.2912398921832884,False,neutral
2C6,14.03,5,CN,old,0.14506172839506168,0.46443396226415096,False,neutral
2T6,5.18,5,CN,young,0.6030864197530864,0.022210242587601077,True,old_enriched
8I6,9.9,5,CN,young,0.14506172839506168,0.46443396226415096,False,neutral
46Z,13.97,5,CN,old,-0.5419753086419753,0.11323450134770889,False,young_enriched
5H6,11.03,5,CN,old,-0.5419753086419753,0.11323450134770889,False,young_enriched
2T6,5.18,5,CN,young,0.6030864197530864,0.022210242587601077,True,old_enriched
2T6,5.18,5,CN,young,-0.08395061728395066,0.2912398921832884,False,neutral
77V,16.15,5,CN,old,0.14506172839506168,0.46443396226415096,False,neutral
8H2,10.13,5,CN,old,-0.312962962962963,0.11323450134770889,False,neutral
2T2,4.09,5,CN,young,-0.312962962962963,0.11323450134770889,False,neutral
1L1,8.17,5,CN,young,0.14506172839506168,0.46443396226415096,False,neutral
2Q0,3.21,5,CN,young,-0.08395061728395066,0.2912398921832884,False,neutral
2T6,5.18,5,CN,young,0.8320987654320987,0.022210242587601077,True,old_enriched
4Q6,3.22,5,CN,young,-0.7709876543209877,0.0029784366576819407,True,young_enriched
3E4,11.99,5,CN,old,-0.5419753086419753,0.11323450134770889,False,young_enriched
3T5,5.12,5,CN,young,0.6030864197530864,0.022210242587601077,True,old_enriched
2T6,5.18,5,CN,young,0.374074074074074,0.08606469002695417,False,neutral
2T6,5.18,5,CN,young,-0.08395061728395066,0.2912398921832884,False,neutral
4Q6,3.22,5,CN,young,-0.7709876543209877,0.0029784366576819407,True,young_enriched
1V8,4.31,5,CN,young,1.0611111111111111,0.00022911051212938006,True,old_enriched
8B3,13.09,5,CN,old,-0.08395061728395066,0.2912398921832884,False,neutral
46Z,13.97,5,CN,old,0.14506172839506168,0.46443396226415096,False,neutral
1L1,8.17,5,CN,young,0.374074074074074,0.08606469002695417,False,neutral
3D1,13.11,5,CN,old,0.374074074074074,0.08606469002695417,False,neutral
2T6,5.18,5,CN,young,-0.5419753086419753,0.11323450134770889,False,young_enriched
56K,19.93,5,CN,old,-0.312962962962963,0.11323450134770889,False,neutral
