animal_id,age,louvain,region,age_group,lochness_score,lochness_pvalue,lochness_significant,lochness_category
42T,15.96,5,IPP,old,0.4773083886541944,0.13362024592507865,False,neutral
4Q6,3.22,5,IPP,young,-0.7889559444779722,0.001567057477838147,True,young_enriched
2V1,4.3,5,IPP,young,-0.15582377791188892,0.43960823563054047,False,neutral
74K,20.81,5,IPP,old,0.2662643331321666,0.13362024592507865,False,neutral
8C9,12.12,5,IPP,old,-0.3668678334339167,0.2157620817843866,False,neutral
1P5,6.21,5,IPP,young,-0.15582377791188892,0.43960823563054047,False,neutral
7F0,11.2,5,IPP,old,0.8993964996982499,0.0005862167572204747,True,old_enriched
2S6,3.17,5,IPP,young,-0.3668678334339167,0.2157620817843866,False,neutral
91O,15.86,5,IPP,old,-0.3668678334339167,0.2157620817843866,False,neutral
1V8,4.31,5,IPP,young,-0.3668678334339167,0.2157620817843866,False,neutral
74K,20.81,5,IPP,old,0.2662643331321666,0.13362024592507865,False,neutral
56K,19.93,5,IPP,old,0.4773083886541944,0.13362024592507865,False,neutral
1P5,6.21,5,IPP,young,-0.3668678334339167,0.2157620817843866,False,neutral
8I6,9.9,5,IPP,young,0.05522027761013883,0.3161138118387189,False,neutral
91O,15.86,5,IPP,old,-0.3668678334339167,0.2157620817843866,False,neutral
8I6,9.9,5,IPP,young,-0.5779118889559445,0.07471261080926508,False,young_enriched
2S6,3.17,5,IPP,young,-0.3668678334339167,0.2157620817843866,False,neutral
2T6,5.18,5,IPP,young,0.05522027761013883,0.3161138118387189,False,neutral
31S,17.0,5,IPP,old,0.05522027761013883,0.3161138118387189,False,neutral
77V,16.15,5,IPP,old,0.4773083886541944,0.13362024592507865,False,neutral
7F0,11.2,5,IPP,old,-0.5779118889559445,0.07471261080926508,False,young_enriched
82V,16.01,5,IPP,old,-0.15582377791188892,0.43960823563054047,False,neutral
0B9,12.11,5,IPP,old,0.4773083886541944,0.13362024592507865,False,neutral
4Q6,3.22,5,IPP,young,0.2662643331321666,0.13362024592507865,False,neutral
5H6,11.03,5,IPP,old,-0.3668678334339167,0.2157620817843866,False,neutral
8I6,9.9,5,IPP,young,-0.15582377791188892,0.43960823563054047,False,neutral
5R4,6.25,5,IPP,young,-0.3668678334339167,0.2157620817843866,False,neutral
31S,17.0,5,IPP,old,-0.5779118889559445,0.07471261080926508,False,young_enriched
2V1,4.3,5,IPP,young,0.05522027761013883,0.3161138118387189,False,neutral
2C0,11.0,5,IPP,old,0.05522027761013883,0.3161138118387189,False,neutral
56K,19.93,5,IPP,old,-0.3668678334339167,0.2157620817843866,False,neutral
