animal_id,age,louvain,region,age_group,lochness_score,lochness_pvalue,lochness_significant,lochness_category
1L1,8.17,5,MB,young,0.5,0.1303,False,neutral
5H6,11.03,5,MB,old,0.5,0.1303,False,neutral
2V1,4.3,5,MB,young,0.0,0.593,False,neutral
3E4,11.99,5,MB,old,-0.5,0.1675,False,neutral
5H6,11.03,5,MB,old,0.5,0.1303,False,neutral
5H6,11.03,5,MB,old,0.25,0.3214,False,neutral
2Q0,3.21,5,MB,young,-0.75,0.0423,True,young_enriched
31S,17.0,5,MB,old,-0.25,0.407,False,neutral
43N,17.0,5,MB,old,0.0,0.593,False,neutral
2S2,6.31,5,MB,young,0.0,0.593,False,neutral
37V,15.07,5,MB,old,0.0,0.593,False,neutral
5H6,11.03,5,MB,old,0.25,0.3214,False,neutral
6O7,6.03,5,MB,young,0.5,0.1303,False,neutral
2T6,5.18,5,MB,young,1.0,0.0067,True,old_enriched
50P,15.59,5,MB,old,0.0,0.593,False,neutral
97R,17.93,5,MB,old,0.5,0.1303,False,neutral
6O7,6.03,5,MB,young,-0.5,0.1675,False,neutral
8M0,8.12,5,MB,young,0.0,0.593,False,neutral
1L1,8.17,5,MB,young,0.5,0.1303,False,neutral
8C9,12.12,5,MB,old,0.25,0.3214,False,neutral
1P5,6.21,5,MB,young,0.25,0.3214,False,neutral
5H6,11.03,5,MB,old,0.0,0.593,False,neutral
5H6,11.03,5,MB,old,0.0,0.593,False,neutral
5H6,11.03,5,MB,old,1.0,0.0067,True,old_enriched
98V,16.03,5,MB,old,0.5,0.1303,False,neutral
4S3,3.18,5,MB,young,0.0,0.593,False,neutral
2S2,6.31,5,MB,young,0.0,0.593,False,neutral
4Q6,3.22,5,MB,young,0.0,0.593,False,neutral
2T6,5.18,5,MB,young,0.25,0.3214,False,neutral
2S2,6.31,5,MB,young,0.0,0.593,False,neutral
2V1,4.3,5,MB,young,-0.25,0.407,False,neutral
6O7,6.03,5,MB,young,0.25,0.3214,False,neutral
91O,15.86,5,MB,old,-0.25,0.407,False,neutral
4Q6,3.22,5,MB,young,0.25,0.3214,False,neutral
31S,17.0,5,MB,old,0.5,0.1303,False,neutral
2S2,6.31,5,MB,young,-0.25,0.407,False,neutral
55R,14.97,5,MB,old,-0.5,0.1675,False,neutral
6O7,6.03,5,MB,young,-0.75,0.0423,True,young_enriched
31S,17.0,5,MB,old,-0.25,0.407,False,neutral
2T6,5.18,5,MB,young,0.0,0.593,False,neutral
6D9,13.11,5,MB,old,-0.5,0.1675,False,neutral
31S,17.0,5,MB,old,0.25,0.3214,False,neutral
6L4,8.2,5,MB,young,0.25,0.3214,False,neutral
1V8,4.31,5,MB,young,0.75,0.0349,True,old_enriched
2C6,14.03,5,MB,old,-0.5,0.1675,False,neutral
1L1,8.17,5,MB,young,0.5,0.1303,False,neutral
3R7,3.32,5,MB,young,0.25,0.3214,False,neutral
1V8,4.31,5,MB,young,-0.5,0.1675,False,neutral
1V8,4.31,5,MB,young,-0.5,0.1675,False,neutral
5H6,11.03,5,MB,old,0.25,0.3214,False,neutral
1L1,8.17,5,MB,young,-0.25,0.407,False,neutral
5H6,11.03,5,MB,old,0.0,0.593,False,neutral
4Q6,3.22,5,MB,young,0.25,0.3214,False,neutral
1L1,8.17,5,MB,young,0.5,0.1303,False,neutral
2T6,5.18,5,MB,young,-0.25,0.407,False,neutral
5H6,11.03,5,MB,old,0.75,0.0349,True,old_enriched
5H6,11.03,5,MB,old,0.5,0.1303,False,neutral
6O7,6.03,5,MB,young,-0.5,0.1675,False,neutral
42T,15.96,5,MB,old,-0.25,0.407,False,neutral
7F0,11.2,5,MB,old,0.5,0.1303,False,neutral
1L1,8.17,5,MB,young,0.5,0.1303,False,neutral
4Q6,3.22,5,MB,young,-0.25,0.407,False,neutral
2T6,5.18,5,MB,young,0.75,0.0349,True,old_enriched
1P5,6.21,5,MB,young,0.25,0.3214,False,neutral
2V1,4.3,5,MB,young,-0.25,0.407,False,neutral
1V8,4.31,5,MB,young,0.0,0.593,False,neutral
5H6,11.03,5,MB,old,0.25,0.3214,False,neutral
5H6,11.03,5,MB,old,0.25,0.3214,False,neutral
98V,16.03,5,MB,old,0.5,0.1303,False,neutral
5H6,11.03,5,MB,old,0.75,0.0349,True,old_enriched
6O7,6.03,5,MB,young,-0.25,0.407,False,neutral
31S,17.0,5,MB,old,0.75,0.0349,True,old_enriched
2S6,3.17,5,MB,young,0.5,0.1303,False,neutral
6O7,6.03,5,MB,young,0.5,0.1303,False,neutral
31S,17.0,5,MB,old,0.0,0.593,False,neutral
5H6,11.03,5,MB,old,0.0,0.593,False,neutral
1P5,6.21,5,MB,young,0.25,0.3214,False,neutral
8I6,9.9,5,MB,young,-0.25,0.407,False,neutral
8I6,9.9,5,MB,young,-0.5,0.1675,False,neutral
1P5,6.21,5,MB,young,-0.25,0.407,False,neutral
1L1,8.17,5,MB,young,0.25,0.3214,False,neutral
1P5,6.21,5,MB,young,-0.25,0.407,False,neutral
56R,14.95,5,MB,old,0.0,0.593,False,neutral
37V,15.07,5,MB,old,0.25,0.3214,False,neutral
