animal_id,age,louvain,region,age_group,lochness_score,lochness_pvalue,lochness_significant,lochness_category
82V,16.01,1,EC,old,0.17401574803149616,0.1551643192488263,False,neutral
56K,19.93,1,EC,old,0.17401574803149616,0.1551643192488263,False,neutral
1T9,4.11,1,EC,young,-0.32913385826771646,0.15741784037558684,False,neutral
91O,15.86,1,EC,old,0.3417322834645671,0.1551643192488263,False,neutral
42T,15.96,1,EC,old,0.17401574803149616,0.1551643192488263,False,neutral
46Z,13.97,1,EC,old,0.17401574803149616,0.1551643192488263,False,neutral
8H2,10.13,1,EC,old,0.006299212598425289,0.3709389671361502,False,neutral
1T9,4.11,1,EC,young,-0.32913385826771646,0.15741784037558684,False,neutral
7F0,11.2,1,EC,old,0.3417322834645671,0.1551643192488263,False,neutral
98V,16.03,1,EC,old,0.006299212598425289,0.3709389671361502,False,neutral
2V1,4.3,1,EC,young,0.006299212598425289,0.3709389671361502,False,neutral
8B3,13.09,1,EC,old,0.17401574803149616,0.1551643192488263,False,neutral
4Q6,3.22,1,EC,young,0.17401574803149616,0.1551643192488263,False,neutral
42T,15.96,1,EC,old,0.006299212598425289,0.3709389671361502,False,neutral
8I6,9.9,1,EC,young,0.006299212598425289,0.3709389671361502,False,neutral
5R4,6.25,1,EC,young,0.17401574803149616,0.1551643192488263,False,neutral
2T2,4.09,1,EC,young,0.3417322834645671,0.1551643192488263,False,neutral
0G3,9.1,1,EC,young,-0.32913385826771646,0.15741784037558684,False,neutral
74K,20.81,1,EC,old,0.17401574803149616,0.1551643192488263,False,neutral
5H6,11.03,1,EC,old,0.3417322834645671,0.1551643192488263,False,neutral
8M0,8.12,1,EC,young,0.5094488188976379,0.04164319248826291,True,old_enriched
1T9,4.11,1,EC,young,0.17401574803149616,0.1551643192488263,False,neutral
2T2,4.09,1,EC,young,0.006299212598425289,0.3709389671361502,False,neutral
46Z,13.97,1,EC,old,0.17401574803149616,0.1551643192488263,False,neutral
2F2,11.04,1,EC,old,0.17401574803149616,0.1551643192488263,False,neutral
2T6,5.18,1,EC,young,0.3417322834645671,0.1551643192488263,False,neutral
2T6,5.18,1,EC,young,0.17401574803149616,0.1551643192488263,False,neutral
2F2,11.04,1,EC,old,0.17401574803149616,0.1551643192488263,False,neutral
56K,19.93,1,EC,old,0.17401574803149616,0.1551643192488263,False,neutral
8I6,9.9,1,EC,young,0.006299212598425289,0.3709389671361502,False,neutral
2F2,11.04,1,EC,old,0.006299212598425289,0.3709389671361502,False,neutral
8B3,13.09,1,EC,old,0.17401574803149616,0.1551643192488263,False,neutral
