animal_id,age,louvain,region,age_group,lochness_score,lochness_pvalue,lochness_significant,lochness_category
8M0,8.12,11,M1,young,-0.4558587479935795,0.02736725663716814,True,neutral
2F2,11.04,11,M1,old,0.08828250401284102,0.265929203539823,False,neutral
42T,15.96,11,M1,old,0.26966292134831454,0.09976548672566371,False,neutral
5H6,11.03,11,M1,old,0.26966292134831454,0.09976548672566371,False,neutral
0G3,9.1,11,M1,young,0.08828250401284102,0.265929203539823,False,neutral
8M0,8.12,11,M1,young,0.08828250401284102,0.265929203539823,False,neutral
5R4,6.25,11,M1,young,-0.274478330658106,0.10253097345132743,False,neutral
97R,17.93,11,M1,old,0.08828250401284102,0.265929203539823,False,neutral
31S,17.0,11,M1,old,0.26966292134831454,0.09976548672566371,False,neutral
4J6,7.15,11,M1,young,0.26966292134831454,0.09976548672566371,False,neutral
41N,16.74,11,M1,old,0.26966292134831454,0.09976548672566371,False,neutral
82V,16.01,11,M1,old,-0.09309791332263248,0.26252433628318583,False,neutral
56K,19.93,11,M1,old,-0.09309791332263248,0.26252433628318583,False,neutral
56K,19.93,11,M1,old,-0.274478330658106,0.10253097345132743,False,neutral
56K,19.93,11,M1,old,0.08828250401284102,0.265929203539823,False,neutral
8C9,12.12,11,M1,old,-0.274478330658106,0.10253097345132743,False,neutral
2Q0,3.21,11,M1,young,0.08828250401284102,0.265929203539823,False,neutral
37V,15.07,11,M1,old,0.08828250401284102,0.265929203539823,False,neutral
2F2,11.04,11,M1,old,0.08828250401284102,0.265929203539823,False,neutral
31S,17.0,11,M1,old,0.6324237560192615,0.023668141592920355,True,old_enriched
46Z,13.97,11,M1,old,0.08828250401284102,0.265929203539823,False,neutral
4Q6,3.22,11,M1,young,0.08828250401284102,0.265929203539823,False,neutral
4J6,7.15,11,M1,young,-0.274478330658106,0.10253097345132743,False,neutral
41N,16.74,11,M1,old,0.813804173354735,0.0,True,old_enriched
2V1,4.3,11,M1,young,-0.09309791332263248,0.26252433628318583,False,neutral
2V1,4.3,11,M1,young,-0.274478330658106,0.10253097345132743,False,neutral
0G3,9.1,11,M1,young,-0.09309791332263248,0.26252433628318583,False,neutral
