animal_id,age,louvain,region,age_group,lochness_score,lochness_pvalue,lochness_significant,lochness_category
4J6,7.15,19,HIP,young,-0.36917293233082715,0.07458879618593564,False,neutral
1V8,4.31,19,HIP,young,-0.1588972431077695,0.21535160905840287,False,neutral
0B9,12.11,19,HIP,old,-0.1588972431077695,0.21535160905840287,False,neutral
6O7,6.03,19,HIP,young,0.6822055137844609,0.006698450536352801,True,old_enriched
42T,15.96,19,HIP,old,0.26165413533834575,0.3184386174016687,False,neutral
2T2,4.09,19,HIP,young,-0.36917293233082715,0.07458879618593564,False,neutral
3R7,3.32,19,HIP,young,-0.5794486215538848,0.07458879618593564,False,young_enriched
46Z,13.97,19,HIP,old,0.47192982456140337,0.03879618593563766,True,neutral
2V1,4.3,19,HIP,young,-0.1588972431077695,0.21535160905840287,False,neutral
56K,19.93,19,HIP,old,-0.5794486215538848,0.07458879618593564,False,young_enriched
43N,17.0,19,HIP,old,0.47192982456140337,0.03879618593563766,True,neutral
3R7,3.32,19,HIP,young,-0.36917293233082715,0.07458879618593564,False,neutral
37V,15.07,19,HIP,old,-0.1588972431077695,0.21535160905840287,False,neutral
2S2,6.31,19,HIP,young,0.26165413533834575,0.3184386174016687,False,neutral
4Q6,3.22,19,HIP,young,-0.36917293233082715,0.07458879618593564,False,neutral
8M0,8.12,19,HIP,young,0.05137844611528811,0.5607747318235995,False,neutral
3K1,9.01,19,HIP,young,0.26165413533834575,0.3184386174016687,False,neutral
77V,16.15,19,HIP,old,0.47192982456140337,0.03879618593563766,True,neutral
37V,15.07,19,HIP,old,0.8924812030075185,0.006698450536352801,True,old_enriched
5R4,6.25,19,HIP,young,0.26165413533834575,0.3184386174016687,False,neutral
46Z,13.97,19,HIP,old,0.26165413533834575,0.3184386174016687,False,neutral
0B9,12.11,19,HIP,old,0.26165413533834575,0.3184386174016687,False,neutral
97R,17.93,19,HIP,old,0.05137844611528811,0.5607747318235995,False,neutral
3R7,3.32,19,HIP,young,-0.36917293233082715,0.07458879618593564,False,neutral
4Q6,3.22,19,HIP,young,-0.1588972431077695,0.21535160905840287,False,neutral
1L1,8.17,19,HIP,young,0.05137844611528811,0.5607747318235995,False,neutral
56K,19.93,19,HIP,old,0.05137844611528811,0.5607747318235995,False,neutral
1G8,7.88,19,HIP,young,0.05137844611528811,0.5607747318235995,False,neutral
