animal_id,age,louvain,region,age_group,lochness_score,lochness_pvalue,lochness_significant,lochness_category
2S2,6.31,3,dlPFC,young,0.008333333333333338,0.6366115702479339,False,neutral
46Z,13.97,3,dlPFC,old,0.29642857142857143,0.02488783943329398,True,neutral
3D1,13.11,3,dlPFC,old,0.008333333333333338,0.6366115702479339,False,neutral
46Z,13.97,3,dlPFC,old,-0.27976190476190477,0.15698937426210152,False,neutral
3D1,13.11,3,dlPFC,old,-0.27976190476190477,0.15698937426210152,False,neutral
6D9,13.11,3,dlPFC,old,0.29642857142857143,0.02488783943329398,True,neutral
2T2,4.09,3,dlPFC,young,-0.1357142857142857,0.3633884297520661,False,neutral
82V,16.01,3,dlPFC,old,0.008333333333333338,0.6366115702479339,False,neutral
0B9,12.11,3,dlPFC,old,0.44047619047619047,0.0,True,neutral
3D1,13.11,3,dlPFC,old,-0.1357142857142857,0.3633884297520661,False,neutral
2T2,4.09,3,dlPFC,young,-0.4238095238095238,0.05154663518299882,False,neutral
97R,17.93,3,dlPFC,old,0.29642857142857143,0.02488783943329398,True,neutral
2T6,5.18,3,dlPFC,young,0.1523809523809524,0.3681227863046045,False,neutral
31S,17.0,3,dlPFC,old,0.44047619047619047,0.0,True,neutral
46Z,13.97,3,dlPFC,old,0.008333333333333338,0.6366115702479339,False,neutral
74K,20.81,3,dlPFC,old,0.44047619047619047,0.0,True,neutral
4J6,7.15,3,dlPFC,young,0.008333333333333338,0.6366115702479339,False,neutral
3E4,11.99,3,dlPFC,old,0.1523809523809524,0.3681227863046045,False,neutral
3E4,11.99,3,dlPFC,old,0.29642857142857143,0.02488783943329398,True,neutral
46Z,13.97,3,dlPFC,old,-0.1357142857142857,0.3633884297520661,False,neutral
7F0,11.2,3,dlPFC,old,0.008333333333333338,0.6366115702479339,False,neutral
2C6,14.03,3,dlPFC,old,0.29642857142857143,0.02488783943329398,True,neutral
2T2,4.09,3,dlPFC,young,-0.1357142857142857,0.3633884297520661,False,neutral
77V,16.15,3,dlPFC,old,0.008333333333333338,0.6366115702479339,False,neutral
7F0,11.2,3,dlPFC,old,-0.4238095238095238,0.05154663518299882,False,neutral
3E4,11.99,3,dlPFC,old,0.1523809523809524,0.3681227863046045,False,neutral
3E4,11.99,3,dlPFC,old,0.008333333333333338,0.6366115702479339,False,neutral
2S6,3.17,3,dlPFC,young,0.1523809523809524,0.3681227863046045,False,neutral
1G8,7.88,3,dlPFC,young,-0.5678571428571428,0.011180637544273907,True,young_enriched
97R,17.93,3,dlPFC,old,-0.27976190476190477,0.15698937426210152,False,neutral
2S6,3.17,3,dlPFC,young,0.29642857142857143,0.02488783943329398,True,neutral
3D1,13.11,3,dlPFC,old,0.29642857142857143,0.02488783943329398,True,neutral
3D1,13.11,3,dlPFC,old,-0.27976190476190477,0.15698937426210152,False,neutral
3T5,5.12,3,dlPFC,young,0.008333333333333338,0.6366115702479339,False,neutral
2T2,4.09,3,dlPFC,young,0.1523809523809524,0.3681227863046045,False,neutral
37V,15.07,3,dlPFC,old,0.008333333333333338,0.6366115702479339,False,neutral
0G3,9.1,3,dlPFC,young,0.1523809523809524,0.3681227863046045,False,neutral
74K,20.81,3,dlPFC,old,0.29642857142857143,0.02488783943329398,True,neutral
3E4,11.99,3,dlPFC,old,-0.27976190476190477,0.15698937426210152,False,neutral
3E4,11.99,3,dlPFC,old,0.1523809523809524,0.3681227863046045,False,neutral
37V,15.07,3,dlPFC,old,-0.5678571428571428,0.011180637544273907,True,young_enriched
74K,20.81,3,dlPFC,old,0.1523809523809524,0.3681227863046045,False,neutral
56K,19.93,3,dlPFC,old,-0.27976190476190477,0.15698937426210152,False,neutral
2F2,11.04,3,dlPFC,old,-0.27976190476190477,0.15698937426210152,False,neutral
2F2,11.04,3,dlPFC,old,0.1523809523809524,0.3681227863046045,False,neutral
31S,17.0,3,dlPFC,old,-0.27976190476190477,0.15698937426210152,False,neutral
5H6,11.03,3,dlPFC,old,-0.4238095238095238,0.05154663518299882,False,neutral
37V,15.07,3,dlPFC,old,0.008333333333333338,0.6366115702479339,False,neutral
2S2,6.31,3,dlPFC,young,-0.1357142857142857,0.3633884297520661,False,neutral
3D1,13.11,3,dlPFC,old,0.008333333333333338,0.6366115702479339,False,neutral
3T5,5.12,3,dlPFC,young,-0.27976190476190477,0.15698937426210152,False,neutral
2T2,4.09,3,dlPFC,young,0.1523809523809524,0.3681227863046045,False,neutral
8B3,13.09,3,dlPFC,old,-0.27976190476190477,0.15698937426210152,False,neutral
31S,17.0,3,dlPFC,old,0.008333333333333338,0.6366115702479339,False,neutral
8M0,8.12,3,dlPFC,young,0.1523809523809524,0.3681227863046045,False,neutral
7M4,8.15,3,dlPFC,young,-0.27976190476190477,0.15698937426210152,False,neutral
91O,15.86,3,dlPFC,old,0.008333333333333338,0.6366115702479339,False,neutral
3D1,13.11,3,dlPFC,old,0.008333333333333338,0.6366115702479339,False,neutral
7M4,8.15,3,dlPFC,young,0.29642857142857143,0.02488783943329398,True,neutral
6D9,13.11,3,dlPFC,old,0.008333333333333338,0.6366115702479339,False,neutral
37V,15.07,3,dlPFC,old,-0.4238095238095238,0.05154663518299882,False,neutral
2T2,4.09,3,dlPFC,young,-0.1357142857142857,0.3633884297520661,False,neutral
7M4,8.15,3,dlPFC,young,0.008333333333333338,0.6366115702479339,False,neutral
56R,14.95,3,dlPFC,old,0.1523809523809524,0.3681227863046045,False,neutral
2T2,4.09,3,dlPFC,young,-0.4238095238095238,0.05154663518299882,False,neutral
8B3,13.09,3,dlPFC,old,0.29642857142857143,0.02488783943329398,True,neutral
31S,17.0,3,dlPFC,old,0.008333333333333338,0.6366115702479339,False,neutral
0G3,9.1,3,dlPFC,young,0.29642857142857143,0.02488783943329398,True,neutral
0B9,12.11,3,dlPFC,old,0.1523809523809524,0.3681227863046045,False,neutral
97R,17.93,3,dlPFC,old,-0.1357142857142857,0.3633884297520661,False,neutral
46Z,13.97,3,dlPFC,old,0.29642857142857143,0.02488783943329398,True,neutral
74K,20.81,3,dlPFC,old,0.008333333333333338,0.6366115702479339,False,neutral
5R4,6.25,3,dlPFC,young,0.1523809523809524,0.3681227863046045,False,neutral
3E4,11.99,3,dlPFC,old,-0.1357142857142857,0.3633884297520661,False,neutral
7M4,8.15,3,dlPFC,young,-0.27976190476190477,0.15698937426210152,False,neutral
6D9,13.11,3,dlPFC,old,0.1523809523809524,0.3681227863046045,False,neutral
2F2,11.04,3,dlPFC,old,0.29642857142857143,0.02488783943329398,True,neutral
8B3,13.09,3,dlPFC,old,0.1523809523809524,0.3681227863046045,False,neutral
46Z,13.97,3,dlPFC,old,-0.1357142857142857,0.3633884297520661,False,neutral
82V,16.01,3,dlPFC,old,0.008333333333333338,0.6366115702479339,False,neutral
56R,14.95,3,dlPFC,old,-0.27976190476190477,0.15698937426210152,False,neutral
3D1,13.11,3,dlPFC,old,0.29642857142857143,0.02488783943329398,True,neutral
2F2,11.04,3,dlPFC,old,-0.27976190476190477,0.15698937426210152,False,neutral
42T,15.96,3,dlPFC,old,-0.27976190476190477,0.15698937426210152,False,neutral
46Z,13.97,3,dlPFC,old,0.008333333333333338,0.6366115702479339,False,neutral
77V,16.15,3,dlPFC,old,-0.1357142857142857,0.3633884297520661,False,neutral
7M4,8.15,3,dlPFC,young,0.1523809523809524,0.3681227863046045,False,neutral
97R,17.93,3,dlPFC,old,0.008333333333333338,0.6366115702479339,False,neutral
0B9,12.11,3,dlPFC,old,0.29642857142857143,0.02488783943329398,True,neutral
2C6,14.03,3,dlPFC,old,0.1523809523809524,0.3681227863046045,False,neutral
3D1,13.11,3,dlPFC,old,0.1523809523809524,0.3681227863046045,False,neutral
2F2,11.04,3,dlPFC,old,0.29642857142857143,0.02488783943329398,True,neutral
91O,15.86,3,dlPFC,old,0.008333333333333338,0.6366115702479339,False,neutral
4J6,7.15,3,dlPFC,young,0.008333333333333338,0.6366115702479339,False,neutral
