animal_id,age,louvain,region,age_group,lochness_score,lochness_pvalue,lochness_significant,lochness_category
74K,20.81,3,mdTN,old,-0.00943396226415091,0.6119333333333333,False,neutral
74K,20.81,3,mdTN,old,0.2735849056603774,0.026033333333333332,True,neutral
82V,16.01,3,mdTN,old,-0.00943396226415091,0.6119333333333333,False,neutral
74K,20.81,3,mdTN,old,0.13207547169811323,0.38806666666666667,False,neutral
74K,20.81,3,mdTN,old,0.2735849056603774,0.026033333333333332,True,neutral
74K,20.81,3,mdTN,old,0.2735849056603774,0.026033333333333332,True,neutral
8I6,9.9,3,mdTN,young,0.13207547169811323,0.38806666666666667,False,neutral
82V,16.01,3,mdTN,old,0.13207547169811323,0.38806666666666667,False,neutral
7F0,11.2,3,mdTN,old,-0.00943396226415091,0.6119333333333333,False,neutral
2V1,4.3,3,mdTN,young,-0.5754716981132075,0.0087,True,young_enriched
1G8,7.88,3,mdTN,young,-0.00943396226415091,0.6119333333333333,False,neutral
2F2,11.04,3,mdTN,old,-0.00943396226415091,0.6119333333333333,False,neutral
74K,20.81,3,mdTN,old,-0.00943396226415091,0.6119333333333333,False,neutral
3E4,11.99,3,mdTN,old,-0.15094339622641506,0.3426666666666667,False,neutral
77V,16.15,3,mdTN,old,-0.29245283018867924,0.14003333333333334,False,neutral
82V,16.01,3,mdTN,old,0.4150943396226416,0.026033333333333332,True,neutral
2I1,10.27,3,mdTN,old,0.4150943396226416,0.026033333333333332,True,neutral
6O7,6.03,3,mdTN,young,-0.00943396226415091,0.6119333333333333,False,neutral
2Q0,3.21,3,mdTN,young,-0.15094339622641506,0.3426666666666667,False,neutral
7F0,11.2,3,mdTN,old,-0.15094339622641506,0.3426666666666667,False,neutral
4S3,3.18,3,mdTN,young,-0.29245283018867924,0.14003333333333334,False,neutral
2I1,10.27,3,mdTN,old,0.4150943396226416,0.026033333333333332,True,neutral
97R,17.93,3,mdTN,old,-0.15094339622641506,0.3426666666666667,False,neutral
7F0,11.2,3,mdTN,old,0.13207547169811323,0.38806666666666667,False,neutral
56R,14.95,3,mdTN,old,-0.15094339622641506,0.3426666666666667,False,neutral
4J6,7.15,3,mdTN,young,-0.5754716981132075,0.0087,True,young_enriched
74K,20.81,3,mdTN,old,-0.29245283018867924,0.14003333333333334,False,neutral
74K,20.81,3,mdTN,old,0.13207547169811323,0.38806666666666667,False,neutral
2I1,10.27,3,mdTN,old,0.13207547169811323,0.38806666666666667,False,neutral
2Q0,3.21,3,mdTN,young,0.13207547169811323,0.38806666666666667,False,neutral
4S3,3.18,3,mdTN,young,-0.00943396226415091,0.6119333333333333,False,neutral
7F0,11.2,3,mdTN,old,-0.29245283018867924,0.14003333333333334,False,neutral
6O7,6.03,3,mdTN,young,-0.00943396226415091,0.6119333333333333,False,neutral
6O7,6.03,3,mdTN,young,-0.00943396226415091,0.6119333333333333,False,neutral
56R,14.95,3,mdTN,old,-0.43396226415094336,0.0087,True,neutral
7F0,11.2,3,mdTN,old,-0.15094339622641506,0.3426666666666667,False,neutral
6O7,6.03,3,mdTN,young,-0.00943396226415091,0.6119333333333333,False,neutral
82V,16.01,3,mdTN,old,-0.29245283018867924,0.14003333333333334,False,neutral
3D1,13.11,3,mdTN,old,-0.00943396226415091,0.6119333333333333,False,neutral
82V,16.01,3,mdTN,old,-0.15094339622641506,0.3426666666666667,False,neutral
3E4,11.99,3,mdTN,old,0.2735849056603774,0.026033333333333332,True,neutral
