cell_type,louvain,region,n_cells,n_animals,age_min,age_max,pca_shape,pc1_std,pc2_std,mean_l2norm
GABAergic-neurons,0,ACC,3492,50,3.17,20.81,"(3492, 50)",1.2685,1.2052,16.281
GABAergic-neurons,1,ACC,2729,50,3.17,20.81,"(2729, 50)",1.8167,1.1977,16.8391
GABAergic-neurons,2,ACC,6399,51,3.17,20.81,"(6399, 50)",2.1321,1.4241,14.0213
GABAergic-neurons,3,ACC,7913,50,3.17,20.81,"(7913, 50)",1.6336,1.2526,13.2551
GABAergic-neurons,4,ACC,116,37,3.17,20.81,"(116, 50)",1.9614,1.3615,12.5514
GABAergic-neurons,6,ACC,384,50,3.17,20.81,"(384, 50)",1.4017,1.1644,19.4196
GABAergic-neurons,10,ACC,735,50,3.17,20.81,"(735, 50)",2.9526,2.2214,14.1158
GABAergic-neurons,11,ACC,4105,51,3.17,20.81,"(4105, 50)",1.5436,1.293,12.2756
GABAergic-neurons,13,ACC,5210,50,3.17,20.81,"(5210, 50)",1.3477,1.6021,14.4549
GABAergic-neurons,14,ACC,3964,50,3.17,20.81,"(3964, 50)",1.377,2.2783,16.4562
GABAergic-neurons,15,ACC,3752,51,3.17,20.81,"(3752, 50)",1.3273,2.3345,16.1965
GABAergic-neurons,16,ACC,3421,50,3.17,20.81,"(3421, 50)",1.503,1.3896,15.928
GABAergic-neurons,17,ACC,3871,50,3.17,20.81,"(3871, 50)",1.5019,2.6428,14.9117
GABAergic-neurons,18,ACC,8125,50,3.17,20.81,"(8125, 50)",1.6796,0.9073,15.3485
GABAergic-neurons,19,ACC,2053,50,3.17,20.81,"(2053, 50)",1.4885,1.4587,14.5009
GABAergic-neurons,20,ACC,4511,50,3.17,20.81,"(4511, 50)",1.6495,0.9852,15.3045
GABAergic-neurons,21,ACC,2453,50,3.17,20.81,"(2453, 50)",1.2181,1.2983,15.0665
GABAergic-neurons,22,ACC,6233,50,3.17,20.81,"(6233, 50)",1.243,1.2862,15.4325
GABAergic-neurons,23,ACC,2417,50,3.17,20.81,"(2417, 50)",1.5794,1.176,15.1014
GABAergic-neurons,24,ACC,1231,50,3.17,20.81,"(1231, 50)",1.2309,1.3691,15.0824
GABAergic-neurons,25,ACC,6169,50,3.17,20.81,"(6169, 50)",1.3095,1.4558,14.7206
GABAergic-neurons,4,CN,1400,51,3.17,20.81,"(1400, 50)",1.4138,1.6952,16.8815
GABAergic-neurons,5,CN,878,51,3.17,20.81,"(878, 50)",1.2644,2.0731,26.3128
GABAergic-neurons,6,CN,1567,50,3.17,20.81,"(1567, 50)",1.3729,1.7593,23.3133
GABAergic-neurons,7,CN,6138,51,3.17,20.81,"(6138, 50)",2.2681,2.3434,20.4339
GABAergic-neurons,8,CN,115,39,3.18,17.93,"(115, 50)",3.4686,3.3386,31.9298
GABAergic-neurons,0,EC,1054,52,3.17,20.81,"(1054, 50)",1.5743,1.803,16.9813
GABAergic-neurons,1,EC,1133,52,3.17,20.81,"(1133, 50)",1.9361,1.7865,16.947
GABAergic-neurons,2,EC,1330,52,3.17,20.81,"(1330, 50)",2.2361,1.6979,14.7477
GABAergic-neurons,3,EC,2055,52,3.17,20.81,"(2055, 50)",2.3904,1.9275,14.1516
GABAergic-neurons,4,EC,1995,52,3.17,20.81,"(1995, 50)",1.6578,1.698,15.6263
GABAergic-neurons,6,EC,210,50,3.17,20.81,"(210, 50)",1.53,1.3688,19.5102
GABAergic-neurons,7,EC,122,39,3.17,20.81,"(122, 50)",2.1678,2.305,14.9177
GABAergic-neurons,8,EC,665,52,3.17,20.81,"(665, 50)",4.6481,3.4202,28.2592
GABAergic-neurons,10,EC,615,52,3.17,20.81,"(615, 50)",2.9011,1.8645,15.3182
GABAergic-neurons,11,EC,733,52,3.17,20.81,"(733, 50)",2.1969,1.6858,13.3945
GABAergic-neurons,13,EC,915,51,3.17,20.81,"(915, 50)",1.6593,1.605,15.8359
GABAergic-neurons,14,EC,1528,52,3.17,20.81,"(1528, 50)",1.4686,3.1869,16.7964
GABAergic-neurons,15,EC,1309,52,3.17,20.81,"(1309, 50)",1.4862,3.1399,16.8911
GABAergic-neurons,16,EC,666,52,3.17,20.81,"(666, 50)",1.4545,1.7908,16.399
GABAergic-neurons,17,EC,1532,52,3.17,20.81,"(1532, 50)",1.6269,3.2265,16.1278
GABAergic-neurons,18,EC,1840,52,3.17,20.81,"(1840, 50)",1.8531,1.0744,17.0117
