animal_id,age,louvain,region
8M0,8.12,4,CN
8M0,8.12,4,CN
55R,14.97,4,CN
55R,14.97,4,CN
2I1,10.27,4,CN
77V,16.15,4,CN
2S6,3.17,4,CN
8M0,8.12,4,CN
56R,14.95,4,CN
3D1,13.11,4,CN
77V,16.15,4,CN
2Q0,3.21,4,CN
8M0,8.12,4,CN
55R,14.97,4,CN
77V,16.15,4,CN
8M0,8.12,4,CN
2F2,11.04,4,CN
5H6,11.03,4,CN
8M0,8.12,4,CN
41N,16.74,4,CN
77V,16.15,4,CN
74K,20.81,4,CN
98V,16.03,4,CN
2F2,11.04,4,CN
41N,16.74,4,CN
77V,16.15,4,CN
8M0,8.12,4,CN
55R,14.97,4,CN
42T,15.96,4,CN
77V,16.15,4,CN
77V,16.15,4,CN
77V,16.15,4,CN
77V,16.15,4,CN
8M0,8.12,4,CN
31S,17.0,4,CN
74K,20.81,4,CN
8M0,8.12,4,CN
8M0,8.12,4,CN
8M0,8.12,4,CN
2F2,11.04,4,CN
50P,15.59,4,CN
2V1,4.3,4,CN
8M0,8.12,4,CN
8M0,8.12,4,CN
8M0,8.12,4,CN
97R,17.93,4,CN
6L4,8.2,4,CN
41N,16.74,4,CN
77V,16.15,4,CN
77V,16.15,4,CN
77V,16.15,4,CN
56K,19.93,4,CN
3D1,13.11,4,CN
77V,16.15,4,CN
74K,20.81,4,CN
43N,17.0,4,CN
6D9,13.11,4,CN
8M0,8.12,4,CN
77V,16.15,4,CN
77V,16.15,4,CN
77V,16.15,4,CN
77V,16.15,4,CN
8M0,8.12,4,CN
8M0,8.12,4,CN
8M0,8.12,4,CN
55R,14.97,4,CN
5R4,6.25,4,CN
5H6,11.03,4,CN
77V,16.15,4,CN
2S6,3.17,4,CN
5R4,6.25,4,CN
42T,15.96,4,CN
41N,16.74,4,CN
77V,16.15,4,CN
77V,16.15,4,CN
43N,17.0,4,CN
8M0,8.12,4,CN
8M0,8.12,4,CN
8M0,8.12,4,CN
2F2,11.04,4,CN
8B3,13.09,4,CN
77V,16.15,4,CN
77V,16.15,4,CN
77V,16.15,4,CN
82V,16.01,4,CN
77V,16.15,4,CN
8M0,8.12,4,CN
77V,16.15,4,CN
77V,16.15,4,CN
77V,16.15,4,CN
8M0,8.12,4,CN
