animal_id,age,louvain,region
2T2,4.09,8,mdTN
98V,16.03,8,mdTN
43N,17.0,8,mdTN
1G8,7.88,8,mdTN
91O,15.86,8,mdTN
97R,17.93,8,mdTN
74K,20.81,8,mdTN
4S3,3.18,8,mdTN
98V,16.03,8,mdTN
97R,17.93,8,mdTN
7M4,8.15,8,mdTN
43N,17.0,8,mdTN
56R,14.95,8,mdTN
8H2,10.13,8,mdTN
8C9,12.12,8,mdTN
3R7,3.32,8,mdTN
97R,17.93,8,mdTN
2T2,4.09,8,mdTN
1L1,8.17,8,mdTN
1G8,7.88,8,mdTN
82V,16.01,8,mdTN
50P,15.59,8,mdTN
97R,17.93,8,mdTN
97R,17.93,8,mdTN
55R,14.97,8,mdTN
50P,15.59,8,mdTN
74K,20.81,8,mdTN
37V,15.07,8,mdTN
97R,17.93,8,mdTN
3E4,11.99,8,mdTN
2S2,6.31,8,mdTN
3D1,13.11,8,mdTN
82V,16.01,8,mdTN
8B3,13.09,8,mdTN
97R,17.93,8,mdTN
97R,17.93,8,mdTN
97R,17.93,8,mdTN
8B3,13.09,8,mdTN
1P5,6.21,8,mdTN
56R,14.95,8,mdTN
77V,16.15,8,mdTN
74K,20.81,8,mdTN
3K1,9.01,8,mdTN
2T2,4.09,8,mdTN
4Q6,3.22,8,mdTN
2T2,4.09,8,mdTN
56R,14.95,8,mdTN
56R,14.95,8,mdTN
2T2,4.09,8,mdTN
8H2,10.13,8,mdTN
2T2,4.09,8,mdTN
3K1,9.01,8,mdTN
82V,16.01,8,mdTN
8H2,10.13,8,mdTN
8H2,10.13,8,mdTN
3E4,11.99,8,mdTN
74K,20.81,8,mdTN
2T2,4.09,8,mdTN
2T2,4.09,8,mdTN
37V,15.07,8,mdTN
97R,17.93,8,mdTN
2T2,4.09,8,mdTN
37V,15.07,8,mdTN
56R,14.95,8,mdTN
2C6,14.03,8,mdTN
2T2,4.09,8,mdTN
8B3,13.09,8,mdTN
2C6,14.03,8,mdTN
4J6,7.15,8,mdTN
56R,14.95,8,mdTN
2I1,10.27,8,mdTN
2T2,4.09,8,mdTN
1L1,8.17,8,mdTN
37V,15.07,8,mdTN
4Q6,3.22,8,mdTN
2C6,14.03,8,mdTN
43N,17.0,8,mdTN
98V,16.03,8,mdTN
41N,16.74,8,mdTN
2C6,14.03,8,mdTN
97R,17.93,8,mdTN
43N,17.0,8,mdTN
4S3,3.18,8,mdTN
55R,14.97,8,mdTN
2V1,4.3,8,mdTN
97R,17.93,8,mdTN
3D1,13.11,8,mdTN
3T5,5.12,8,mdTN
42T,15.96,8,mdTN
5R4,6.25,8,mdTN
2T6,5.18,8,mdTN
8C9,12.12,8,mdTN
6O7,6.03,8,mdTN
8I6,9.9,8,mdTN
1V8,4.31,8,mdTN
82V,16.01,8,mdTN
0G3,9.1,8,mdTN
8H2,10.13,8,mdTN
6O7,6.03,8,mdTN
50P,15.59,8,mdTN
3E4,11.99,8,mdTN
97R,17.93,8,mdTN
2Q0,3.21,8,mdTN
43N,17.0,8,mdTN
8H2,10.13,8,mdTN
2S2,6.31,8,mdTN
0G3,9.1,8,mdTN
1T9,4.11,8,mdTN
56R,14.95,8,mdTN
2F2,11.04,8,mdTN
77V,16.15,8,mdTN
41N,16.74,8,mdTN
2C6,14.03,8,mdTN
77V,16.15,8,mdTN
2T2,4.09,8,mdTN
8M0,8.12,8,mdTN
97R,17.93,8,mdTN
2I1,10.27,8,mdTN
3K1,9.01,8,mdTN
37V,15.07,8,mdTN
77V,16.15,8,mdTN
3E4,11.99,8,mdTN
41N,16.74,8,mdTN
74K,20.81,8,mdTN
4J6,7.15,8,mdTN
3E4,11.99,8,mdTN
2F2,11.04,8,mdTN
6O7,6.03,8,mdTN
6D9,13.11,8,mdTN
1P5,6.21,8,mdTN
1P5,6.21,8,mdTN
77V,16.15,8,mdTN
2T2,4.09,8,mdTN
3K1,9.01,8,mdTN
46Z,13.97,8,mdTN
7M4,8.15,8,mdTN
5R4,6.25,8,mdTN
1V8,4.31,8,mdTN
55R,14.97,8,mdTN
97R,17.93,8,mdTN
82V,16.01,8,mdTN
2C6,14.03,8,mdTN
3E4,11.99,8,mdTN
0G3,9.1,8,mdTN
6L4,8.2,8,mdTN
77V,16.15,8,mdTN
74K,20.81,8,mdTN
74K,20.81,8,mdTN
0B9,12.11,8,mdTN
2C6,14.03,8,mdTN
1T9,4.11,8,mdTN
7M4,8.15,8,mdTN
2F2,11.04,8,mdTN
2I1,10.27,8,mdTN
1T9,4.11,8,mdTN
4S3,3.18,8,mdTN
3K1,9.01,8,mdTN
98V,16.03,8,mdTN
5R4,6.25,8,mdTN
41N,16.74,8,mdTN
6O7,6.03,8,mdTN
56R,14.95,8,mdTN
1G8,7.88,8,mdTN
0G3,9.1,8,mdTN
3E4,11.99,8,mdTN
3E4,11.99,8,mdTN
2T2,4.09,8,mdTN
77V,16.15,8,mdTN
7F0,11.2,8,mdTN
1P5,6.21,8,mdTN
8I6,9.9,8,mdTN
74K,20.81,8,mdTN
2I1,10.27,8,mdTN
7M4,8.15,8,mdTN
2F2,11.04,8,mdTN
2F2,11.04,8,mdTN
77V,16.15,8,mdTN
0G3,9.1,8,mdTN
5R4,6.25,8,mdTN
2T6,5.18,8,mdTN
4Q6,3.22,8,mdTN
2T6,5.18,8,mdTN
0G3,9.1,8,mdTN
2T2,4.09,8,mdTN
