animal_id,age,louvain,region
56R,14.95,11,EC
56R,14.95,11,EC
3D1,13.11,11,EC
2Q0,3.21,11,EC
2Q0,3.21,11,EC
2Q0,3.21,11,EC
2Q0,3.21,11,EC
2Q0,3.21,11,EC
2Q0,3.21,11,EC
2Q0,3.21,11,EC
2Q0,3.21,11,EC
2Q0,3.21,11,EC
56R,14.95,11,EC
8H2,10.13,11,EC
2Q0,3.21,11,EC
2Q0,3.21,11,EC
2Q0,3.21,11,EC
55R,14.97,11,EC
6L4,8.2,11,EC
1T9,4.11,11,EC
2Q0,3.21,11,EC
2Q0,3.21,11,EC
2Q0,3.21,11,EC
56R,14.95,11,EC
41N,16.74,11,EC
2Q0,3.21,11,EC
56R,14.95,11,EC
2Q0,3.21,11,EC
2V1,4.3,11,EC
56R,14.95,11,EC
2Q0,3.21,11,EC
2Q0,3.21,11,EC
1V8,4.31,11,EC
56R,14.95,11,EC
2Q0,3.21,11,EC
2Q0,3.21,11,EC
2Q0,3.21,11,EC
2F2,11.04,11,EC
56R,14.95,11,EC
2Q0,3.21,11,EC
2Q0,3.21,11,EC
56R,14.95,11,EC
0B9,12.11,11,EC
1T9,4.11,11,EC
2Q0,3.21,11,EC
2Q0,3.21,11,EC
2Q0,3.21,11,EC
2Q0,3.21,11,EC
2Q0,3.21,11,EC
6L4,8.2,11,EC
56R,14.95,11,EC
41N,16.74,11,EC
2S2,6.31,11,EC
31S,17.0,11,EC
2Q0,3.21,11,EC
2Q0,3.21,11,EC
2Q0,3.21,11,EC
3R7,3.32,11,EC
1T9,4.11,11,EC
5H6,11.03,11,EC
2Q0,3.21,11,EC
2Q0,3.21,11,EC
2Q0,3.21,11,EC
2Q0,3.21,11,EC
2Q0,3.21,11,EC
50P,15.59,11,EC
2Q0,3.21,11,EC
2Q0,3.21,11,EC
2Q0,3.21,11,EC
56R,14.95,11,EC
4S3,3.18,11,EC
56R,14.95,11,EC
2Q0,3.21,11,EC
2Q0,3.21,11,EC
2Q0,3.21,11,EC
2Q0,3.21,11,EC
2Q0,3.21,11,EC
2Q0,3.21,11,EC
2Q0,3.21,11,EC
2Q0,3.21,11,EC
2Q0,3.21,11,EC
2Q0,3.21,11,EC
82V,16.01,11,EC
2Q0,3.21,11,EC
55R,14.97,11,EC
3K1,9.01,11,EC
2Q0,3.21,11,EC
4S3,3.18,11,EC
2Q0,3.21,11,EC
2Q0,3.21,11,EC
74K,20.81,11,EC
2Q0,3.21,11,EC
