animal_id,age,louvain,region
8I6,9.9,15,MB
1P5,6.21,15,MB
2C6,14.03,15,MB
74K,20.81,15,MB
4Q6,3.22,15,MB
1P5,6.21,15,MB
91O,15.86,15,MB
0B9,12.11,15,MB
1T9,4.11,15,MB
1L1,8.17,15,MB
1P5,6.21,15,MB
1P5,6.21,15,MB
0B9,12.11,15,MB
1P5,6.21,15,MB
1L1,8.17,15,MB
4Q6,3.22,15,MB
8M0,8.12,15,MB
5R4,6.25,15,MB
7F0,11.2,15,MB
0B9,12.11,15,MB
46Z,13.97,15,MB
1P5,6.21,15,MB
4Q6,3.22,15,MB
2T6,5.18,15,MB
1L1,8.17,15,MB
2V1,4.3,15,MB
1P5,6.21,15,MB
43N,17.0,15,MB
43N,17.0,15,MB
0B9,12.11,15,MB
6O7,6.03,15,MB
0B9,12.11,15,MB
91O,15.86,15,MB
2S6,3.17,15,MB
8C9,12.12,15,MB
3E4,11.99,15,MB
4J6,7.15,15,MB
8I6,9.9,15,MB
1P5,6.21,15,MB
6O7,6.03,15,MB
0B9,12.11,15,MB
1P5,6.21,15,MB
1L1,8.17,15,MB
46Z,13.97,15,MB
6L4,8.2,15,MB
4Q6,3.22,15,MB
2I1,10.27,15,MB
8I6,9.9,15,MB
5R4,6.25,15,MB
1L1,8.17,15,MB
8I6,9.9,15,MB
0B9,12.11,15,MB
1L1,8.17,15,MB
8I6,9.9,15,MB
5R4,6.25,15,MB
56K,19.93,15,MB
0B9,12.11,15,MB
46Z,13.97,15,MB
6O7,6.03,15,MB
0B9,12.11,15,MB
1P5,6.21,15,MB
1V8,4.31,15,MB
0B9,12.11,15,MB
6O7,6.03,15,MB
0B9,12.11,15,MB
0B9,12.11,15,MB
1V8,4.31,15,MB
7M4,8.15,15,MB
1P5,6.21,15,MB
6O7,6.03,15,MB
1P5,6.21,15,MB
37V,15.07,15,MB
1L1,8.17,15,MB
1P5,6.21,15,MB
2C6,14.03,15,MB
6O7,6.03,15,MB
91O,15.86,15,MB
4J6,7.15,15,MB
0G3,9.1,15,MB
8I6,9.9,15,MB
1P5,6.21,15,MB
1L1,8.17,15,MB
4Q6,3.22,15,MB
3E4,11.99,15,MB
31S,17.0,15,MB
0B9,12.11,15,MB
2C6,14.03,15,MB
0B9,12.11,15,MB
8I6,9.9,15,MB
0B9,12.11,15,MB
6O7,6.03,15,MB
8M0,8.12,15,MB
0B9,12.11,15,MB
3E4,11.99,15,MB
8I6,9.9,15,MB
8I6,9.9,15,MB
0B9,12.11,15,MB
6O7,6.03,15,MB
1P5,6.21,15,MB
2C6,14.03,15,MB
8I6,9.9,15,MB
4Q6,3.22,15,MB
1P5,6.21,15,MB
0B9,12.11,15,MB
43N,17.0,15,MB
2C6,14.03,15,MB
7M4,8.15,15,MB
1L1,8.17,15,MB
46Z,13.97,15,MB
4Q6,3.22,15,MB
5R4,6.25,15,MB
50P,15.59,15,MB
1L1,8.17,15,MB
1P5,6.21,15,MB
1L1,8.17,15,MB
4Q6,3.22,15,MB
6O7,6.03,15,MB
6D9,13.11,15,MB
1P5,6.21,15,MB
6L4,8.2,15,MB
6O7,6.03,15,MB
31S,17.0,15,MB
1L1,8.17,15,MB
2C6,14.03,15,MB
1L1,8.17,15,MB
1L1,8.17,15,MB
1L1,8.17,15,MB
0B9,12.11,15,MB
2C6,14.03,15,MB
3E4,11.99,15,MB
3E4,11.99,15,MB
3T5,5.12,15,MB
1P5,6.21,15,MB
2Q0,3.21,15,MB
5R4,6.25,15,MB
1L1,8.17,15,MB
2C6,14.03,15,MB
4Q6,3.22,15,MB
4Q6,3.22,15,MB
41N,16.74,15,MB
5H6,11.03,15,MB
1L1,8.17,15,MB
1P5,6.21,15,MB
4Q6,3.22,15,MB
31S,17.0,15,MB
0B9,12.11,15,MB
4J6,7.15,15,MB
3E4,11.99,15,MB
1L1,8.17,15,MB
8I6,9.9,15,MB
2S2,6.31,15,MB
8I6,9.9,15,MB
41N,16.74,15,MB
1P5,6.21,15,MB
8I6,9.9,15,MB
5R4,6.25,15,MB
0B9,12.11,15,MB
8I6,9.9,15,MB
4Q6,3.22,15,MB
31S,17.0,15,MB
1P5,6.21,15,MB
0B9,12.11,15,MB
0B9,12.11,15,MB
55R,14.97,15,MB
41N,16.74,15,MB
3T5,5.12,15,MB
8I6,9.9,15,MB
1P5,6.21,15,MB
4Q6,3.22,15,MB
4Q6,3.22,15,MB
1P5,6.21,15,MB
6L4,8.2,15,MB
4Q6,3.22,15,MB
46Z,13.97,15,MB
1L1,8.17,15,MB
1P5,6.21,15,MB
1P5,6.21,15,MB
1P5,6.21,15,MB
1P5,6.21,15,MB
1P5,6.21,15,MB
46Z,13.97,15,MB
4J6,7.15,15,MB
3R7,3.32,15,MB
8I6,9.9,15,MB
