animal_id,age,louvain,region
8M0,8.12,10,MB
1L1,8.17,10,MB
8M0,8.12,10,MB
43N,17.0,10,MB
8M0,8.12,10,MB
43N,17.0,10,MB
8M0,8.12,10,MB
98V,16.03,10,MB
8M0,8.12,10,MB
1P5,6.21,10,MB
8M0,8.12,10,MB
8M0,8.12,10,MB
43N,17.0,10,MB
8M0,8.12,10,MB
3E4,11.99,10,MB
6L4,8.2,10,MB
8M0,8.12,10,MB
8M0,8.12,10,MB
3E4,11.99,10,MB
8M0,8.12,10,MB
8M0,8.12,10,MB
8M0,8.12,10,MB
6L4,8.2,10,MB
8M0,8.12,10,MB
5R4,6.25,10,MB
8M0,8.12,10,MB
43N,17.0,10,MB
82V,16.01,10,MB
43N,17.0,10,MB
8M0,8.12,10,MB
8M0,8.12,10,MB
8M0,8.12,10,MB
98V,16.03,10,MB
8M0,8.12,10,MB
43N,17.0,10,MB
6L4,8.2,10,MB
0G3,9.1,10,MB
3E4,11.99,10,MB
3E4,11.99,10,MB
8M0,8.12,10,MB
8M0,8.12,10,MB
8M0,8.12,10,MB
43N,17.0,10,MB
8M0,8.12,10,MB
43N,17.0,10,MB
8M0,8.12,10,MB
74K,20.81,10,MB
43N,17.0,10,MB
43N,17.0,10,MB
8M0,8.12,10,MB
8M0,8.12,10,MB
8M0,8.12,10,MB
8M0,8.12,10,MB
6O7,6.03,10,MB
8M0,8.12,10,MB
8M0,8.12,10,MB
8M0,8.12,10,MB
8M0,8.12,10,MB
8M0,8.12,10,MB
8M0,8.12,10,MB
5R4,6.25,10,MB
98V,16.03,10,MB
8M0,8.12,10,MB
98V,16.03,10,MB
8M0,8.12,10,MB
8M0,8.12,10,MB
5R4,6.25,10,MB
8M0,8.12,10,MB
4Q6,3.22,10,MB
8M0,8.12,10,MB
98V,16.03,10,MB
1L1,8.17,10,MB
8M0,8.12,10,MB
8M0,8.12,10,MB
43N,17.0,10,MB
8M0,8.12,10,MB
8M0,8.12,10,MB
43N,17.0,10,MB
8M0,8.12,10,MB
1L1,8.17,10,MB
82V,16.01,10,MB
1L1,8.17,10,MB
8M0,8.12,10,MB
5R4,6.25,10,MB
8M0,8.12,10,MB
3E4,11.99,10,MB
8M0,8.12,10,MB
8M0,8.12,10,MB
43N,17.0,10,MB
1L1,8.17,10,MB
6L4,8.2,10,MB
43N,17.0,10,MB
5R4,6.25,10,MB
8M0,8.12,10,MB
43N,17.0,10,MB
8M0,8.12,10,MB
1L1,8.17,10,MB
5R4,6.25,10,MB
8M0,8.12,10,MB
82V,16.01,10,MB
98V,16.03,10,MB
8M0,8.12,10,MB
3E4,11.99,10,MB
8M0,8.12,10,MB
8M0,8.12,10,MB
3E4,11.99,10,MB
5R4,6.25,10,MB
8M0,8.12,10,MB
8M0,8.12,10,MB
8M0,8.12,10,MB
8M0,8.12,10,MB
5R4,6.25,10,MB
74K,20.81,10,MB
8M0,8.12,10,MB
98V,16.03,10,MB
1L1,8.17,10,MB
74K,20.81,10,MB
8M0,8.12,10,MB
1L1,8.17,10,MB
8M0,8.12,10,MB
8M0,8.12,10,MB
8M0,8.12,10,MB
8M0,8.12,10,MB
8M0,8.12,10,MB
8M0,8.12,10,MB
8M0,8.12,10,MB
3E4,11.99,10,MB
8M0,8.12,10,MB
8M0,8.12,10,MB
43N,17.0,10,MB
43N,17.0,10,MB
98V,16.03,10,MB
8M0,8.12,10,MB
3E4,11.99,10,MB
5R4,6.25,10,MB
43N,17.0,10,MB
3E4,11.99,10,MB
8M0,8.12,10,MB
