animal_id,age,louvain,region
1V8,4.31,16,mdTN
2S6,3.17,16,mdTN
55R,14.97,16,mdTN
1T9,4.11,16,mdTN
2T6,5.18,16,mdTN
1V8,4.31,16,mdTN
1V8,4.31,16,mdTN
7F0,11.2,16,mdTN
2Q0,3.21,16,mdTN
7M4,8.15,16,mdTN
55R,14.97,16,mdTN
6O7,6.03,16,mdTN
3K1,9.01,16,mdTN
6O7,6.03,16,mdTN
2V1,4.3,16,mdTN
6O7,6.03,16,mdTN
4Q6,3.22,16,mdTN
2T6,5.18,16,mdTN
7M4,8.15,16,mdTN
74K,20.81,16,mdTN
56R,14.95,16,mdTN
6O7,6.03,16,mdTN
6O7,6.03,16,mdTN
82V,16.01,16,mdTN
4S3,3.18,16,mdTN
7M4,8.15,16,mdTN
6L4,8.2,16,mdTN
1T9,4.11,16,mdTN
74K,20.81,16,mdTN
1P5,6.21,16,mdTN
1V8,4.31,16,mdTN
6O7,6.03,16,mdTN
3E4,11.99,16,mdTN
6D9,13.11,16,mdTN
1V8,4.31,16,mdTN
2Q0,3.21,16,mdTN
55R,14.97,16,mdTN
56R,14.95,16,mdTN
3R7,3.32,16,mdTN
6O7,6.03,16,mdTN
1T9,4.11,16,mdTN
6O7,6.03,16,mdTN
37V,15.07,16,mdTN
4Q6,3.22,16,mdTN
6O7,6.03,16,mdTN
6O7,6.03,16,mdTN
2Q0,3.21,16,mdTN
6O7,6.03,16,mdTN
6O7,6.03,16,mdTN
1V8,4.31,16,mdTN
4J6,7.15,16,mdTN
56R,14.95,16,mdTN
56R,14.95,16,mdTN
97R,17.93,16,mdTN
1L1,8.17,16,mdTN
2S6,3.17,16,mdTN
6O7,6.03,16,mdTN
1P5,6.21,16,mdTN
4S3,3.18,16,mdTN
5R4,6.25,16,mdTN
56R,14.95,16,mdTN
97R,17.93,16,mdTN
4S3,3.18,16,mdTN
2S6,3.17,16,mdTN
77V,16.15,16,mdTN
1G8,7.88,16,mdTN
6O7,6.03,16,mdTN
2S6,3.17,16,mdTN
2S6,3.17,16,mdTN
2Q0,3.21,16,mdTN
55R,14.97,16,mdTN
1V8,4.31,16,mdTN
6O7,6.03,16,mdTN
3T5,5.12,16,mdTN
3E4,11.99,16,mdTN
97R,17.93,16,mdTN
1P5,6.21,16,mdTN
8I6,9.9,16,mdTN
82V,16.01,16,mdTN
6O7,6.03,16,mdTN
55R,14.97,16,mdTN
2S6,3.17,16,mdTN
42T,15.96,16,mdTN
4J6,7.15,16,mdTN
8I6,9.9,16,mdTN
5R4,6.25,16,mdTN
1P5,6.21,16,mdTN
1V8,4.31,16,mdTN
37V,15.07,16,mdTN
2S6,3.17,16,mdTN
6O7,6.03,16,mdTN
2C6,14.03,16,mdTN
6O7,6.03,16,mdTN
1V8,4.31,16,mdTN
1V8,4.31,16,mdTN
7F0,11.2,16,mdTN
5R4,6.25,16,mdTN
97R,17.93,16,mdTN
4S3,3.18,16,mdTN
56R,14.95,16,mdTN
97R,17.93,16,mdTN
4S3,3.18,16,mdTN
1V8,4.31,16,mdTN
2S6,3.17,16,mdTN
2S6,3.17,16,mdTN
97R,17.93,16,mdTN
2Q0,3.21,16,mdTN
82V,16.01,16,mdTN
5R4,6.25,16,mdTN
4S3,3.18,16,mdTN
55R,14.97,16,mdTN
56R,14.95,16,mdTN
8I6,9.9,16,mdTN
1V8,4.31,16,mdTN
50P,15.59,16,mdTN
82V,16.01,16,mdTN
3R7,3.32,16,mdTN
8M0,8.12,16,mdTN
3E4,11.99,16,mdTN
1V8,4.31,16,mdTN
56R,14.95,16,mdTN
56R,14.95,16,mdTN
97R,17.93,16,mdTN
2Q0,3.21,16,mdTN
6O7,6.03,16,mdTN
2T6,5.18,16,mdTN
74K,20.81,16,mdTN
6O7,6.03,16,mdTN
6O7,6.03,16,mdTN
4Q6,3.22,16,mdTN
6O7,6.03,16,mdTN
2I1,10.27,16,mdTN
8I6,9.9,16,mdTN
4J6,7.15,16,mdTN
6O7,6.03,16,mdTN
2T2,4.09,16,mdTN
1G8,7.88,16,mdTN
1P5,6.21,16,mdTN
97R,17.93,16,mdTN
6O7,6.03,16,mdTN
56R,14.95,16,mdTN
1V8,4.31,16,mdTN
1V8,4.31,16,mdTN
2Q0,3.21,16,mdTN
1V8,4.31,16,mdTN
8I6,9.9,16,mdTN
8I6,9.9,16,mdTN
3K1,9.01,16,mdTN
6L4,8.2,16,mdTN
4S3,3.18,16,mdTN
56R,14.95,16,mdTN
1V8,4.31,16,mdTN
4J6,7.15,16,mdTN
6O7,6.03,16,mdTN
6O7,6.03,16,mdTN
1L1,8.17,16,mdTN
2S2,6.31,16,mdTN
2T2,4.09,16,mdTN
6O7,6.03,16,mdTN
56R,14.95,16,mdTN
3E4,11.99,16,mdTN
