animal_id,age,louvain,region
3K1,9.01,0,EC
56R,14.95,0,EC
56R,14.95,0,EC
2I1,10.27,0,EC
8M0,8.12,0,EC
56R,14.95,0,EC
56R,14.95,0,EC
2S6,3.17,0,EC
56R,14.95,0,EC
56R,14.95,0,EC
1T9,4.11,0,EC
3K1,9.01,0,EC
56R,14.95,0,EC
8M0,8.12,0,EC
56R,14.95,0,EC
56R,14.95,0,EC
3E4,11.99,0,EC
56R,14.95,0,EC
56R,14.95,0,EC
37V,15.07,0,EC
56R,14.95,0,EC
56R,14.95,0,EC
56R,14.95,0,EC
56R,14.95,0,EC
3T5,5.12,0,EC
3T5,5.12,0,EC
56R,14.95,0,EC
3T5,5.12,0,EC
56R,14.95,0,EC
56R,14.95,0,EC
3T5,5.12,0,EC
56R,14.95,0,EC
56R,14.95,0,EC
56R,14.95,0,EC
2F2,11.04,0,EC
56R,14.95,0,EC
6L4,8.2,0,EC
0G3,9.1,0,EC
5R4,6.25,0,EC
0G3,9.1,0,EC
2C6,14.03,0,EC
3T5,5.12,0,EC
2T2,4.09,0,EC
2C6,14.03,0,EC
56R,14.95,0,EC
37V,15.07,0,EC
0G3,9.1,0,EC
56R,14.95,0,EC
8M0,8.12,0,EC
56R,14.95,0,EC
56R,14.95,0,EC
0G3,9.1,0,EC
8M0,8.12,0,EC
56R,14.95,0,EC
56R,14.95,0,EC
3T5,5.12,0,EC
41N,16.74,0,EC
56R,14.95,0,EC
7M4,8.15,0,EC
1T9,4.11,0,EC
56R,14.95,0,EC
56R,14.95,0,EC
2I1,10.27,0,EC
37V,15.07,0,EC
56R,14.95,0,EC
56R,14.95,0,EC
56R,14.95,0,EC
56R,14.95,0,EC
98V,16.03,0,EC
55R,14.97,0,EC
56R,14.95,0,EC
56R,14.95,0,EC
50P,15.59,0,EC
8M0,8.12,0,EC
3T5,5.12,0,EC
2C6,14.03,0,EC
8M0,8.12,0,EC
56R,14.95,0,EC
56R,14.95,0,EC
56R,14.95,0,EC
1P5,6.21,0,EC
8M0,8.12,0,EC
56R,14.95,0,EC
56R,14.95,0,EC
56R,14.95,0,EC
56R,14.95,0,EC
56R,14.95,0,EC
6L4,8.2,0,EC
56R,14.95,0,EC
56R,14.95,0,EC
8M0,8.12,0,EC
56R,14.95,0,EC
56R,14.95,0,EC
50P,15.59,0,EC
8M0,8.12,0,EC
56R,14.95,0,EC
56R,14.95,0,EC
56R,14.95,0,EC
43N,17.0,0,EC
56R,14.95,0,EC
98V,16.03,0,EC
2C6,14.03,0,EC
56R,14.95,0,EC
56R,14.95,0,EC
1P5,6.21,0,EC
56R,14.95,0,EC
56R,14.95,0,EC
7M4,8.15,0,EC
8M0,8.12,0,EC
56R,14.95,0,EC
2C6,14.03,0,EC
3D1,13.11,0,EC
56R,14.95,0,EC
3K1,9.01,0,EC
6O7,6.03,0,EC
56R,14.95,0,EC
56R,14.95,0,EC
56R,14.95,0,EC
5H6,11.03,0,EC
2C6,14.03,0,EC
56R,14.95,0,EC
37V,15.07,0,EC
3K1,9.01,0,EC
56R,14.95,0,EC
3T5,5.12,0,EC
56R,14.95,0,EC
56R,14.95,0,EC
8M0,8.12,0,EC
56R,14.95,0,EC
56R,14.95,0,EC
3T5,5.12,0,EC
56R,14.95,0,EC
56R,14.95,0,EC
3T5,5.12,0,EC
1T9,4.11,0,EC
56R,14.95,0,EC
56R,14.95,0,EC
56R,14.95,0,EC
2I1,10.27,0,EC
37V,15.07,0,EC
37V,15.07,0,EC
56R,14.95,0,EC
56R,14.95,0,EC
56R,14.95,0,EC
2I1,10.27,0,EC
56R,14.95,0,EC
56R,14.95,0,EC
56R,14.95,0,EC
8M0,8.12,0,EC
4S3,3.18,0,EC
56R,14.95,0,EC
56R,14.95,0,EC
56R,14.95,0,EC
7M4,8.15,0,EC
37V,15.07,0,EC
56R,14.95,0,EC
56R,14.95,0,EC
37V,15.07,0,EC
56R,14.95,0,EC
8B3,13.09,0,EC
56R,14.95,0,EC
50P,15.59,0,EC
56R,14.95,0,EC
56R,14.95,0,EC
56R,14.95,0,EC
3E4,11.99,0,EC
8M0,8.12,0,EC
56R,14.95,0,EC
7M4,8.15,0,EC
1T9,4.11,0,EC
56R,14.95,0,EC
56R,14.95,0,EC
56R,14.95,0,EC
7M4,8.15,0,EC
4S3,3.18,0,EC
37V,15.07,0,EC
3K1,9.01,0,EC
56R,14.95,0,EC
8M0,8.12,0,EC
56R,14.95,0,EC
56R,14.95,0,EC
56R,14.95,0,EC
8M0,8.12,0,EC
56R,14.95,0,EC
56R,14.95,0,EC
56R,14.95,0,EC
56R,14.95,0,EC
3T5,5.12,0,EC
1T9,4.11,0,EC
37V,15.07,0,EC
8M0,8.12,0,EC
56R,14.95,0,EC
56R,14.95,0,EC
56R,14.95,0,EC
8M0,8.12,0,EC
56R,14.95,0,EC
56R,14.95,0,EC
56R,14.95,0,EC
56R,14.95,0,EC
56R,14.95,0,EC
3T5,5.12,0,EC
56R,14.95,0,EC
8M0,8.12,0,EC
56R,14.95,0,EC
56R,14.95,0,EC
2I1,10.27,0,EC
56R,14.95,0,EC
56R,14.95,0,EC
56R,14.95,0,EC
1T9,4.11,0,EC
3T5,5.12,0,EC
56R,14.95,0,EC
3T5,5.12,0,EC
56R,14.95,0,EC
7M4,8.15,0,EC
3K1,9.01,0,EC
3K1,9.01,0,EC
0B9,12.11,0,EC
56R,14.95,0,EC
56R,14.95,0,EC
37V,15.07,0,EC
56R,14.95,0,EC
56R,14.95,0,EC
56R,14.95,0,EC
8M0,8.12,0,EC
56R,14.95,0,EC
56R,14.95,0,EC
6O7,6.03,0,EC
56R,14.95,0,EC
56R,14.95,0,EC
56R,14.95,0,EC
3T5,5.12,0,EC
56R,14.95,0,EC
1T9,4.11,0,EC
37V,15.07,0,EC
56R,14.95,0,EC
56R,14.95,0,EC
56R,14.95,0,EC
56R,14.95,0,EC
2I1,10.27,0,EC
1T9,4.11,0,EC
56R,14.95,0,EC
3T5,5.12,0,EC
56R,14.95,0,EC
56R,14.95,0,EC
56R,14.95,0,EC
56R,14.95,0,EC
2I1,10.27,0,EC
56R,14.95,0,EC
56R,14.95,0,EC
97R,17.93,0,EC
31S,17.0,0,EC
56R,14.95,0,EC
56R,14.95,0,EC
56R,14.95,0,EC
91O,15.86,0,EC
37V,15.07,0,EC
8M0,8.12,0,EC
8M0,8.12,0,EC
