animal_id,age,louvain,region
4J6,7.15,27,mdTN
1L1,8.17,27,mdTN
3E4,11.99,27,mdTN
4S3,3.18,27,mdTN
1P5,6.21,27,mdTN
74K,20.81,27,mdTN
5H6,11.03,27,mdTN
2F2,11.04,27,mdTN
4S3,3.18,27,mdTN
4J6,7.15,27,mdTN
1L1,8.17,27,mdTN
1P5,6.21,27,mdTN
7M4,8.15,27,mdTN
1P5,6.21,27,mdTN
4S3,3.18,27,mdTN
74K,20.81,27,mdTN
74K,20.81,27,mdTN
8I6,9.9,27,mdTN
3R7,3.32,27,mdTN
4S3,3.18,27,mdTN
1P5,6.21,27,mdTN
3K1,9.01,27,mdTN
56R,14.95,27,mdTN
2S2,6.31,27,mdTN
4J6,7.15,27,mdTN
8M0,8.12,27,mdTN
82V,16.01,27,mdTN
4J6,7.15,27,mdTN
82V,16.01,27,mdTN
1P5,6.21,27,mdTN
2S2,6.31,27,mdTN
3K1,9.01,27,mdTN
8B3,13.09,27,mdTN
31S,17.0,27,mdTN
56K,19.93,27,mdTN
0B9,12.11,27,mdTN
56R,14.95,27,mdTN
74K,20.81,27,mdTN
56K,19.93,27,mdTN
1P5,6.21,27,mdTN
4J6,7.15,27,mdTN
4S3,3.18,27,mdTN
4S3,3.18,27,mdTN
2F2,11.04,27,mdTN
74K,20.81,27,mdTN
6D9,13.11,27,mdTN
1P5,6.21,27,mdTN
3E4,11.99,27,mdTN
74K,20.81,27,mdTN
6O7,6.03,27,mdTN
6L4,8.2,27,mdTN
0G3,9.1,27,mdTN
4S3,3.18,27,mdTN
6O7,6.03,27,mdTN
74K,20.81,27,mdTN
56R,14.95,27,mdTN
91O,15.86,27,mdTN
56R,14.95,27,mdTN
55R,14.97,27,mdTN
4J6,7.15,27,mdTN
56R,14.95,27,mdTN
6O7,6.03,27,mdTN
2C6,14.03,27,mdTN
6O7,6.03,27,mdTN
0G3,9.1,27,mdTN
82V,16.01,27,mdTN
8C9,12.12,27,mdTN
2T6,5.18,27,mdTN
2C6,14.03,27,mdTN
56K,19.93,27,mdTN
3R7,3.32,27,mdTN
41N,16.74,27,mdTN
43N,17.0,27,mdTN
1P5,6.21,27,mdTN
50P,15.59,27,mdTN
50P,15.59,27,mdTN
31S,17.0,27,mdTN
50P,15.59,27,mdTN
2S6,3.17,27,mdTN
82V,16.01,27,mdTN
1L1,8.17,27,mdTN
82V,16.01,27,mdTN
5H6,11.03,27,mdTN
1G8,7.88,27,mdTN
6D9,13.11,27,mdTN
2F2,11.04,27,mdTN
56K,19.93,27,mdTN
2C6,14.03,27,mdTN
56R,14.95,27,mdTN
2Q0,3.21,27,mdTN
41N,16.74,27,mdTN
7F0,11.2,27,mdTN
56R,14.95,27,mdTN
4S3,3.18,27,mdTN
4S3,3.18,27,mdTN
1L1,8.17,27,mdTN
3D1,13.11,27,mdTN
0B9,12.11,27,mdTN
1P5,6.21,27,mdTN
7F0,11.2,27,mdTN
8H2,10.13,27,mdTN
50P,15.59,27,mdTN
41N,16.74,27,mdTN
2V1,4.3,27,mdTN
6O7,6.03,27,mdTN
56R,14.95,27,mdTN
4J6,7.15,27,mdTN
8I6,9.9,27,mdTN
46Z,13.97,27,mdTN
74K,20.81,27,mdTN
3E4,11.99,27,mdTN
2S2,6.31,27,mdTN
1P5,6.21,27,mdTN
0G3,9.1,27,mdTN
1P5,6.21,27,mdTN
1P5,6.21,27,mdTN
4S3,3.18,27,mdTN
7F0,11.2,27,mdTN
1L1,8.17,27,mdTN
56R,14.95,27,mdTN
8H2,10.13,27,mdTN
1T9,4.11,27,mdTN
74K,20.81,27,mdTN
2S6,3.17,27,mdTN
4J6,7.15,27,mdTN
42T,15.96,27,mdTN
4J6,7.15,27,mdTN
7F0,11.2,27,mdTN
6O7,6.03,27,mdTN
1P5,6.21,27,mdTN
74K,20.81,27,mdTN
3D1,13.11,27,mdTN
56R,14.95,27,mdTN
46Z,13.97,27,mdTN
0B9,12.11,27,mdTN
6O7,6.03,27,mdTN
1L1,8.17,27,mdTN
56R,14.95,27,mdTN
56K,19.93,27,mdTN
7F0,11.2,27,mdTN
8B3,13.09,27,mdTN
4S3,3.18,27,mdTN
74K,20.81,27,mdTN
1P5,6.21,27,mdTN
4S3,3.18,27,mdTN
1L1,8.17,27,mdTN
74K,20.81,27,mdTN
0G3,9.1,27,mdTN
3K1,9.01,27,mdTN
82V,16.01,27,mdTN
3T5,5.12,27,mdTN
56R,14.95,27,mdTN
74K,20.81,27,mdTN
0G3,9.1,27,mdTN
55R,14.97,27,mdTN
1P5,6.21,27,mdTN
74K,20.81,27,mdTN
6L4,8.2,27,mdTN
4S3,3.18,27,mdTN
4S3,3.18,27,mdTN
6O7,6.03,27,mdTN
91O,15.86,27,mdTN
77V,16.15,27,mdTN
3K1,9.01,27,mdTN
56R,14.95,27,mdTN
74K,20.81,27,mdTN
3K1,9.01,27,mdTN
8M0,8.12,27,mdTN
3K1,9.01,27,mdTN
41N,16.74,27,mdTN
91O,15.86,27,mdTN
91O,15.86,27,mdTN
4J6,7.15,27,mdTN
4J6,7.15,27,mdTN
7M4,8.15,27,mdTN
4S3,3.18,27,mdTN
77V,16.15,27,mdTN
0G3,9.1,27,mdTN
74K,20.81,27,mdTN
8H2,10.13,27,mdTN
77V,16.15,27,mdTN
74K,20.81,27,mdTN
1T9,4.11,27,mdTN
3K1,9.01,27,mdTN
8I6,9.9,27,mdTN
4S3,3.18,27,mdTN
0B9,12.11,27,mdTN
8C9,12.12,27,mdTN
2C6,14.03,27,mdTN
74K,20.81,27,mdTN
1P5,6.21,27,mdTN
2C6,14.03,27,mdTN
74K,20.81,27,mdTN
74K,20.81,27,mdTN
7M4,8.15,27,mdTN
0B9,12.11,27,mdTN
0G3,9.1,27,mdTN
6O7,6.03,27,mdTN
4S3,3.18,27,mdTN
1P5,6.21,27,mdTN
1P5,6.21,27,mdTN
1P5,6.21,27,mdTN
1P5,6.21,27,mdTN
5H6,11.03,27,mdTN
74K,20.81,27,mdTN
6O7,6.03,27,mdTN
56K,19.93,27,mdTN
50P,15.59,27,mdTN
6O7,6.03,27,mdTN
4J6,7.15,27,mdTN
0G3,9.1,27,mdTN
