animal_id,age,louvain,region
0G3,9.1,28,HIP
82V,16.01,28,HIP
8C9,12.12,28,HIP
3E4,11.99,28,HIP
0G3,9.1,28,HIP
8C9,12.12,28,HIP
8C9,12.12,28,HIP
0G3,9.1,28,HIP
6O7,6.03,28,HIP
1L1,8.17,28,HIP
0G3,9.1,28,HIP
6O7,6.03,28,HIP
74K,20.81,28,HIP
46Z,13.97,28,HIP
7F0,11.2,28,HIP
3E4,11.99,28,HIP
0G3,9.1,28,HIP
2Q0,3.21,28,HIP
2Q0,3.21,28,HIP
42T,15.96,28,HIP
8C9,12.12,28,HIP
2V1,4.3,28,HIP
2V1,4.3,28,HIP
1P5,6.21,28,HIP
0G3,9.1,28,HIP
0B9,12.11,28,HIP
82V,16.01,28,HIP
43N,17.0,28,HIP
6O7,6.03,28,HIP
8C9,12.12,28,HIP
1L1,8.17,28,HIP
8C9,12.12,28,HIP
3E4,11.99,28,HIP
0G3,9.1,28,HIP
7F0,11.2,28,HIP
0G3,9.1,28,HIP
8C9,12.12,28,HIP
8C9,12.12,28,HIP
8C9,12.12,28,HIP
43N,17.0,28,HIP
1P5,6.21,28,HIP
2V1,4.3,28,HIP
0B9,12.11,28,HIP
8C9,12.12,28,HIP
0G3,9.1,28,HIP
8C9,12.12,28,HIP
2Q0,3.21,28,HIP
6L4,8.2,28,HIP
8C9,12.12,28,HIP
46Z,13.97,28,HIP
2C6,14.03,28,HIP
8C9,12.12,28,HIP
3E4,11.99,28,HIP
8C9,12.12,28,HIP
3E4,11.99,28,HIP
7F0,11.2,28,HIP
3E4,11.99,28,HIP
8C9,12.12,28,HIP
43N,17.0,28,HIP
8C9,12.12,28,HIP
82V,16.01,28,HIP
82V,16.01,28,HIP
8C9,12.12,28,HIP
1P5,6.21,28,HIP
8C9,12.12,28,HIP
0G3,9.1,28,HIP
3E4,11.99,28,HIP
8C9,12.12,28,HIP
0G3,9.1,28,HIP
8C9,12.12,28,HIP
82V,16.01,28,HIP
2S6,3.17,28,HIP
0B9,12.11,28,HIP
7F0,11.2,28,HIP
8C9,12.12,28,HIP
43N,17.0,28,HIP
2V1,4.3,28,HIP
7F0,11.2,28,HIP
2T6,5.18,28,HIP
8C9,12.12,28,HIP
82V,16.01,28,HIP
2V1,4.3,28,HIP
8B3,13.09,28,HIP
56R,14.95,28,HIP
8C9,12.12,28,HIP
82V,16.01,28,HIP
0G3,9.1,28,HIP
8I6,9.9,28,HIP
4J6,7.15,28,HIP
8C9,12.12,28,HIP
8C9,12.12,28,HIP
8C9,12.12,28,HIP
7F0,11.2,28,HIP
56K,19.93,28,HIP
82V,16.01,28,HIP
8C9,12.12,28,HIP
91O,15.86,28,HIP
0G3,9.1,28,HIP
8C9,12.12,28,HIP
2Q0,3.21,28,HIP
1T9,4.11,28,HIP
82V,16.01,28,HIP
2Q0,3.21,28,HIP
42T,15.96,28,HIP
91O,15.86,28,HIP
8C9,12.12,28,HIP
