animal_id,age,louvain,region
8M0,8.12,6,NAc
8B3,13.09,6,NAc
6O7,6.03,6,NAc
41N,16.74,6,NAc
6O7,6.03,6,NAc
6O7,6.03,6,NAc
6O7,6.03,6,NAc
8M0,8.12,6,NAc
41N,16.74,6,NAc
6O7,6.03,6,NAc
4S3,3.18,6,NAc
8B3,13.09,6,NAc
41N,16.74,6,NAc
6O7,6.03,6,NAc
6O7,6.03,6,NAc
6O7,6.03,6,NAc
4S3,3.18,6,NAc
6O7,6.03,6,NAc
8M0,8.12,6,NAc
8M0,8.12,6,NAc
6O7,6.03,6,NAc
6O7,6.03,6,NAc
4S3,3.18,6,NAc
4S3,3.18,6,NAc
8M0,8.12,6,NAc
6O7,6.03,6,NAc
6O7,6.03,6,NAc
41N,16.74,6,NAc
82V,16.01,6,NAc
6O7,6.03,6,NAc
6O7,6.03,6,NAc
8M0,8.12,6,NAc
41N,16.74,6,NAc
41N,16.74,6,NAc
8M0,8.12,6,NAc
6O7,6.03,6,NAc
6O7,6.03,6,NAc
8B3,13.09,6,NAc
82V,16.01,6,NAc
6O7,6.03,6,NAc
5H6,11.03,6,NAc
6O7,6.03,6,NAc
6O7,6.03,6,NAc
6O7,6.03,6,NAc
6O7,6.03,6,NAc
4S3,3.18,6,NAc
41N,16.74,6,NAc
6O7,6.03,6,NAc
82V,16.01,6,NAc
6O7,6.03,6,NAc
42T,15.96,6,NAc
6O7,6.03,6,NAc
41N,16.74,6,NAc
6O7,6.03,6,NAc
6O7,6.03,6,NAc
1P5,6.21,6,NAc
8B3,13.09,6,NAc
6O7,6.03,6,NAc
8I6,9.9,6,NAc
3K1,9.01,6,NAc
3E4,11.99,6,NAc
0G3,9.1,6,NAc
6O7,6.03,6,NAc
3E4,11.99,6,NAc
8M0,8.12,6,NAc
6O7,6.03,6,NAc
8M0,8.12,6,NAc
6O7,6.03,6,NAc
8M0,8.12,6,NAc
6O7,6.03,6,NAc
82V,16.01,6,NAc
8M0,8.12,6,NAc
6O7,6.03,6,NAc
6O7,6.03,6,NAc
6O7,6.03,6,NAc
6O7,6.03,6,NAc
8B3,13.09,6,NAc
6O7,6.03,6,NAc
3E4,11.99,6,NAc
3E4,11.99,6,NAc
6O7,6.03,6,NAc
6O7,6.03,6,NAc
3E4,11.99,6,NAc
41N,16.74,6,NAc
6O7,6.03,6,NAc
6O7,6.03,6,NAc
8M0,8.12,6,NAc
6O7,6.03,6,NAc
41N,16.74,6,NAc
3E4,11.99,6,NAc
0G3,9.1,6,NAc
8M0,8.12,6,NAc
8M0,8.12,6,NAc
8M0,8.12,6,NAc
6O7,6.03,6,NAc
41N,16.74,6,NAc
41N,16.74,6,NAc
43N,17.0,6,NAc
8M0,8.12,6,NAc
3K1,9.01,6,NAc
4J6,7.15,6,NAc
6O7,6.03,6,NAc
8M0,8.12,6,NAc
8B3,13.09,6,NAc
1T9,4.11,6,NAc
8M0,8.12,6,NAc
8M0,8.12,6,NAc
6O7,6.03,6,NAc
8M0,8.12,6,NAc
8M0,8.12,6,NAc
8B3,13.09,6,NAc
41N,16.74,6,NAc
3E4,11.99,6,NAc
3E4,11.99,6,NAc
8I6,9.9,6,NAc
6O7,6.03,6,NAc
6O7,6.03,6,NAc
41N,16.74,6,NAc
6O7,6.03,6,NAc
8M0,8.12,6,NAc
4J6,7.15,6,NAc
0G3,9.1,6,NAc
56K,19.93,6,NAc
3E4,11.99,6,NAc
6O7,6.03,6,NAc
1P5,6.21,6,NAc
0G3,9.1,6,NAc
4J6,7.15,6,NAc
4J6,7.15,6,NAc
41N,16.74,6,NAc
3E4,11.99,6,NAc
82V,16.01,6,NAc
6O7,6.03,6,NAc
8M0,8.12,6,NAc
6O7,6.03,6,NAc
0G3,9.1,6,NAc
6O7,6.03,6,NAc
41N,16.74,6,NAc
6O7,6.03,6,NAc
3E4,11.99,6,NAc
6O7,6.03,6,NAc
6O7,6.03,6,NAc
3E4,11.99,6,NAc
8M0,8.12,6,NAc
41N,16.74,6,NAc
6O7,6.03,6,NAc
8B3,13.09,6,NAc
0G3,9.1,6,NAc
6O7,6.03,6,NAc
6O7,6.03,6,NAc
41N,16.74,6,NAc
6O7,6.03,6,NAc
6O7,6.03,6,NAc
6O7,6.03,6,NAc
6O7,6.03,6,NAc
41N,16.74,6,NAc
41N,16.74,6,NAc
6O7,6.03,6,NAc
6O7,6.03,6,NAc
3E4,11.99,6,NAc
3E4,11.99,6,NAc
6O7,6.03,6,NAc
6O7,6.03,6,NAc
6O7,6.03,6,NAc
3E4,11.99,6,NAc
41N,16.74,6,NAc
6O7,6.03,6,NAc
3E4,11.99,6,NAc
4S3,3.18,6,NAc
6O7,6.03,6,NAc
1T9,4.11,6,NAc
6O7,6.03,6,NAc
31S,17.0,6,NAc
6O7,6.03,6,NAc
82V,16.01,6,NAc
3E4,11.99,6,NAc
6O7,6.03,6,NAc
3E4,11.99,6,NAc
8B3,13.09,6,NAc
6O7,6.03,6,NAc
8M0,8.12,6,NAc
8M0,8.12,6,NAc
4S3,3.18,6,NAc
6O7,6.03,6,NAc
41N,16.74,6,NAc
6O7,6.03,6,NAc
6O7,6.03,6,NAc
0G3,9.1,6,NAc
6O7,6.03,6,NAc
6O7,6.03,6,NAc
6O7,6.03,6,NAc
8M0,8.12,6,NAc
4J6,7.15,6,NAc
1T9,4.11,6,NAc
6O7,6.03,6,NAc
8M0,8.12,6,NAc
6O7,6.03,6,NAc
41N,16.74,6,NAc
1T9,4.11,6,NAc
1T9,4.11,6,NAc
3E4,11.99,6,NAc
8M0,8.12,6,NAc
8B3,13.09,6,NAc
41N,16.74,6,NAc
6O7,6.03,6,NAc
6O7,6.03,6,NAc
8M0,8.12,6,NAc
6O7,6.03,6,NAc
6O7,6.03,6,NAc
8M0,8.12,6,NAc
8I6,9.9,6,NAc
41N,16.74,6,NAc
6O7,6.03,6,NAc
6O7,6.03,6,NAc
6O7,6.03,6,NAc
6O7,6.03,6,NAc
1T9,4.11,6,NAc
0G3,9.1,6,NAc
6O7,6.03,6,NAc
6O7,6.03,6,NAc
6L4,8.2,6,NAc
3E4,11.99,6,NAc
6O7,6.03,6,NAc
6O7,6.03,6,NAc
4S3,3.18,6,NAc
91O,15.86,6,NAc
1T9,4.11,6,NAc
0G3,9.1,6,NAc
0G3,9.1,6,NAc
6O7,6.03,6,NAc
6O7,6.03,6,NAc
8M0,8.12,6,NAc
8M0,8.12,6,NAc
8M0,8.12,6,NAc
6O7,6.03,6,NAc
8M0,8.12,6,NAc
0G3,9.1,6,NAc
41N,16.74,6,NAc
41N,16.74,6,NAc
3E4,11.99,6,NAc
6O7,6.03,6,NAc
0G3,9.1,6,NAc
6O7,6.03,6,NAc
8M0,8.12,6,NAc
4S3,3.18,6,NAc
6O7,6.03,6,NAc
8B3,13.09,6,NAc
6O7,6.03,6,NAc
6O7,6.03,6,NAc
6O7,6.03,6,NAc
6O7,6.03,6,NAc
6O7,6.03,6,NAc
6O7,6.03,6,NAc
8M0,8.12,6,NAc
41N,16.74,6,NAc
6O7,6.03,6,NAc
6O7,6.03,6,NAc
3E4,11.99,6,NAc
6O7,6.03,6,NAc
6O7,6.03,6,NAc
6O7,6.03,6,NAc
6O7,6.03,6,NAc
41N,16.74,6,NAc
4S3,3.18,6,NAc
3E4,11.99,6,NAc
6O7,6.03,6,NAc
6O7,6.03,6,NAc
6O7,6.03,6,NAc
8M0,8.12,6,NAc
6O7,6.03,6,NAc
6O7,6.03,6,NAc
6O7,6.03,6,NAc
8B3,13.09,6,NAc
4J6,7.15,6,NAc
8M0,8.12,6,NAc
3E4,11.99,6,NAc
6O7,6.03,6,NAc
6O7,6.03,6,NAc
8B3,13.09,6,NAc
82V,16.01,6,NAc
6O7,6.03,6,NAc
6O7,6.03,6,NAc
6O7,6.03,6,NAc
6O7,6.03,6,NAc
6O7,6.03,6,NAc
3E4,11.99,6,NAc
2S2,6.31,6,NAc
6O7,6.03,6,NAc
6O7,6.03,6,NAc
6O7,6.03,6,NAc
6O7,6.03,6,NAc
1P5,6.21,6,NAc
6O7,6.03,6,NAc
6O7,6.03,6,NAc
8B3,13.09,6,NAc
0G3,9.1,6,NAc
8B3,13.09,6,NAc
6O7,6.03,6,NAc
4S3,3.18,6,NAc
6O7,6.03,6,NAc
41N,16.74,6,NAc
6O7,6.03,6,NAc
6O7,6.03,6,NAc
8M0,8.12,6,NAc
6O7,6.03,6,NAc
4S3,3.18,6,NAc
41N,16.74,6,NAc
41N,16.74,6,NAc
6O7,6.03,6,NAc
6O7,6.03,6,NAc
6O7,6.03,6,NAc
6O7,6.03,6,NAc
6O7,6.03,6,NAc
6O7,6.03,6,NAc
8M0,8.12,6,NAc
8M0,8.12,6,NAc
6O7,6.03,6,NAc
8B3,13.09,6,NAc
6O7,6.03,6,NAc
6O7,6.03,6,NAc
41N,16.74,6,NAc
41N,16.74,6,NAc
0G3,9.1,6,NAc
6O7,6.03,6,NAc
8M0,8.12,6,NAc
8M0,8.12,6,NAc
8M0,8.12,6,NAc
6O7,6.03,6,NAc
41N,16.74,6,NAc
4S3,3.18,6,NAc
1T9,4.11,6,NAc
6O7,6.03,6,NAc
6O7,6.03,6,NAc
6O7,6.03,6,NAc
6O7,6.03,6,NAc
6O7,6.03,6,NAc
6O7,6.03,6,NAc
6O7,6.03,6,NAc
97R,17.93,6,NAc
6O7,6.03,6,NAc
6O7,6.03,6,NAc
6O7,6.03,6,NAc
8M0,8.12,6,NAc
8M0,8.12,6,NAc
6O7,6.03,6,NAc
41N,16.74,6,NAc
6O7,6.03,6,NAc
6O7,6.03,6,NAc
6O7,6.03,6,NAc
6O7,6.03,6,NAc
6O7,6.03,6,NAc
6O7,6.03,6,NAc
8B3,13.09,6,NAc
2T6,5.18,6,NAc
6O7,6.03,6,NAc
6O7,6.03,6,NAc
6O7,6.03,6,NAc
8M0,8.12,6,NAc
6O7,6.03,6,NAc
41N,16.74,6,NAc
3E4,11.99,6,NAc
3T5,5.12,6,NAc
6O7,6.03,6,NAc
2S2,6.31,6,NAc
6O7,6.03,6,NAc
6O7,6.03,6,NAc
6O7,6.03,6,NAc
6O7,6.03,6,NAc
6O7,6.03,6,NAc
6O7,6.03,6,NAc
82V,16.01,6,NAc
6O7,6.03,6,NAc
8M0,8.12,6,NAc
5H6,11.03,6,NAc
6O7,6.03,6,NAc
