animal_id,age,louvain,region
55R,14.97,0,ACC
4Q6,3.22,0,ACC
42T,15.96,0,ACC
74K,20.81,0,ACC
3T5,5.12,0,ACC
31S,17.0,0,ACC
2Q0,3.21,0,ACC
56R,14.95,0,ACC
3T5,5.12,0,ACC
2C6,14.03,0,ACC
56K,19.93,0,ACC
1V8,4.31,0,ACC
31S,17.0,0,ACC
4Q6,3.22,0,ACC
3D1,13.11,0,ACC
2C6,14.03,0,ACC
2S2,6.31,0,ACC
2I1,10.27,0,ACC
56R,14.95,0,ACC
46Z,13.97,0,ACC
1G8,7.88,0,ACC
1G8,7.88,0,ACC
8I6,9.9,0,ACC
6D9,13.11,0,ACC
56K,19.93,0,ACC
91O,15.86,0,ACC
2C6,14.03,0,ACC
3E4,11.99,0,ACC
2T6,5.18,0,ACC
31S,17.0,0,ACC
5H6,11.03,0,ACC
41N,16.74,0,ACC
1G8,7.88,0,ACC
2S2,6.31,0,ACC
2Q0,3.21,0,ACC
3K1,9.01,0,ACC
31S,17.0,0,ACC
2T6,5.18,0,ACC
1V8,4.31,0,ACC
2T6,5.18,0,ACC
42T,15.96,0,ACC
6L4,8.2,0,ACC
2T6,5.18,0,ACC
41N,16.74,0,ACC
4S3,3.18,0,ACC
3T5,5.12,0,ACC
5R4,6.25,0,ACC
0B9,12.11,0,ACC
77V,16.15,0,ACC
4Q6,3.22,0,ACC
77V,16.15,0,ACC
2C6,14.03,0,ACC
3T5,5.12,0,ACC
98V,16.03,0,ACC
41N,16.74,0,ACC
91O,15.86,0,ACC
3E4,11.99,0,ACC
2V1,4.3,0,ACC
8C9,12.12,0,ACC
8C9,12.12,0,ACC
2C6,14.03,0,ACC
55R,14.97,0,ACC
41N,16.74,0,ACC
2I1,10.27,0,ACC
8M0,8.12,0,ACC
1L1,8.17,0,ACC
8C9,12.12,0,ACC
3T5,5.12,0,ACC
4Q6,3.22,0,ACC
42T,15.96,0,ACC
8C9,12.12,0,ACC
5R4,6.25,0,ACC
97R,17.93,0,ACC
8B3,13.09,0,ACC
31S,17.0,0,ACC
91O,15.86,0,ACC
3T5,5.12,0,ACC
5R4,6.25,0,ACC
2C6,14.03,0,ACC
5R4,6.25,0,ACC
50P,15.59,0,ACC
3T5,5.12,0,ACC
8B3,13.09,0,ACC
97R,17.93,0,ACC
6L4,8.2,0,ACC
7F0,11.2,0,ACC
50P,15.59,0,ACC
8B3,13.09,0,ACC
0B9,12.11,0,ACC
2T6,5.18,0,ACC
8B3,13.09,0,ACC
2T6,5.18,0,ACC
4J6,7.15,0,ACC
1L1,8.17,0,ACC
8C9,12.12,0,ACC
6D9,13.11,0,ACC
50P,15.59,0,ACC
2T6,5.18,0,ACC
5R4,6.25,0,ACC
2T6,5.18,0,ACC
8M0,8.12,0,ACC
8M0,8.12,0,ACC
3K1,9.01,0,ACC
3D1,13.11,0,ACC
2Q0,3.21,0,ACC
4S3,3.18,0,ACC
2I1,10.27,0,ACC
2Q0,3.21,0,ACC
2C6,14.03,0,ACC
6D9,13.11,0,ACC
98V,16.03,0,ACC
6D9,13.11,0,ACC
2V1,4.3,0,ACC
2F2,11.04,0,ACC
8B3,13.09,0,ACC
2V1,4.3,0,ACC
91O,15.86,0,ACC
