animal_id,age,louvain,region
97R,17.93,7,mdTN
41N,16.74,7,mdTN
56R,14.95,7,mdTN
7M4,8.15,7,mdTN
56R,14.95,7,mdTN
3D1,13.11,7,mdTN
42T,15.96,7,mdTN
41N,16.74,7,mdTN
97R,17.93,7,mdTN
82V,16.01,7,mdTN
3T5,5.12,7,mdTN
98V,16.03,7,mdTN
4S3,3.18,7,mdTN
74K,20.81,7,mdTN
2F2,11.04,7,mdTN
98V,16.03,7,mdTN
7M4,8.15,7,mdTN
7M4,8.15,7,mdTN
56R,14.95,7,mdTN
55R,14.97,7,mdTN
3D1,13.11,7,mdTN
2Q0,3.21,7,mdTN
6D9,13.11,7,mdTN
8H2,10.13,7,mdTN
7M4,8.15,7,mdTN
97R,17.93,7,mdTN
82V,16.01,7,mdTN
37V,15.07,7,mdTN
2I1,10.27,7,mdTN
55R,14.97,7,mdTN
5R4,6.25,7,mdTN
97R,17.93,7,mdTN
55R,14.97,7,mdTN
8B3,13.09,7,mdTN
8M0,8.12,7,mdTN
8H2,10.13,7,mdTN
82V,16.01,7,mdTN
7M4,8.15,7,mdTN
37V,15.07,7,mdTN
8M0,8.12,7,mdTN
98V,16.03,7,mdTN
2C6,14.03,7,mdTN
74K,20.81,7,mdTN
74K,20.81,7,mdTN
74K,20.81,7,mdTN
2F2,11.04,7,mdTN
37V,15.07,7,mdTN
97R,17.93,7,mdTN
2F2,11.04,7,mdTN
7M4,8.15,7,mdTN
7M4,8.15,7,mdTN
7M4,8.15,7,mdTN
37V,15.07,7,mdTN
97R,17.93,7,mdTN
74K,20.81,7,mdTN
97R,17.93,7,mdTN
43N,17.0,7,mdTN
2F2,11.04,7,mdTN
50P,15.59,7,mdTN
3D1,13.11,7,mdTN
3D1,13.11,7,mdTN
8H2,10.13,7,mdTN
7M4,8.15,7,mdTN
74K,20.81,7,mdTN
2F2,11.04,7,mdTN
3D1,13.11,7,mdTN
74K,20.81,7,mdTN
7M4,8.15,7,mdTN
37V,15.07,7,mdTN
8H2,10.13,7,mdTN
2F2,11.04,7,mdTN
55R,14.97,7,mdTN
3T5,5.12,7,mdTN
3K1,9.01,7,mdTN
56R,14.95,7,mdTN
55R,14.97,7,mdTN
2T6,5.18,7,mdTN
97R,17.93,7,mdTN
55R,14.97,7,mdTN
97R,17.93,7,mdTN
1G8,7.88,7,mdTN
2C6,14.03,7,mdTN
3E4,11.99,7,mdTN
8H2,10.13,7,mdTN
41N,16.74,7,mdTN
82V,16.01,7,mdTN
82V,16.01,7,mdTN
2F2,11.04,7,mdTN
41N,16.74,7,mdTN
77V,16.15,7,mdTN
3T5,5.12,7,mdTN
2F2,11.04,7,mdTN
37V,15.07,7,mdTN
3T5,5.12,7,mdTN
3K1,9.01,7,mdTN
55R,14.97,7,mdTN
98V,16.03,7,mdTN
3R7,3.32,7,mdTN
1P5,6.21,7,mdTN
56R,14.95,7,mdTN
55R,14.97,7,mdTN
41N,16.74,7,mdTN
2T2,4.09,7,mdTN
1G8,7.88,7,mdTN
74K,20.81,7,mdTN
41N,16.74,7,mdTN
55R,14.97,7,mdTN
55R,14.97,7,mdTN
74K,20.81,7,mdTN
74K,20.81,7,mdTN
56R,14.95,7,mdTN
82V,16.01,7,mdTN
8M0,8.12,7,mdTN
2T2,4.09,7,mdTN
3D1,13.11,7,mdTN
6D9,13.11,7,mdTN
55R,14.97,7,mdTN
8H2,10.13,7,mdTN
41N,16.74,7,mdTN
37V,15.07,7,mdTN
55R,14.97,7,mdTN
8H2,10.13,7,mdTN
56R,14.95,7,mdTN
8H2,10.13,7,mdTN
7F0,11.2,7,mdTN
3K1,9.01,7,mdTN
8M0,8.12,7,mdTN
5R4,6.25,7,mdTN
98V,16.03,7,mdTN
50P,15.59,7,mdTN
97R,17.93,7,mdTN
8H2,10.13,7,mdTN
97R,17.93,7,mdTN
8H2,10.13,7,mdTN
98V,16.03,7,mdTN
97R,17.93,7,mdTN
46Z,13.97,7,mdTN
6D9,13.11,7,mdTN
7F0,11.2,7,mdTN
3E4,11.99,7,mdTN
6D9,13.11,7,mdTN
3R7,3.32,7,mdTN
41N,16.74,7,mdTN
74K,20.81,7,mdTN
55R,14.97,7,mdTN
98V,16.03,7,mdTN
55R,14.97,7,mdTN
7M4,8.15,7,mdTN
6D9,13.11,7,mdTN
3D1,13.11,7,mdTN
6D9,13.11,7,mdTN
42T,15.96,7,mdTN
2C6,14.03,7,mdTN
3T5,5.12,7,mdTN
31S,17.0,7,mdTN
37V,15.07,7,mdTN
8H2,10.13,7,mdTN
4J6,7.15,7,mdTN
98V,16.03,7,mdTN
2C6,14.03,7,mdTN
6D9,13.11,7,mdTN
97R,17.93,7,mdTN
37V,15.07,7,mdTN
74K,20.81,7,mdTN
2T2,4.09,7,mdTN
82V,16.01,7,mdTN
7M4,8.15,7,mdTN
56R,14.95,7,mdTN
98V,16.03,7,mdTN
97R,17.93,7,mdTN
2C6,14.03,7,mdTN
2Q0,3.21,7,mdTN
8B3,13.09,7,mdTN
74K,20.81,7,mdTN
7M4,8.15,7,mdTN
6D9,13.11,7,mdTN
6D9,13.11,7,mdTN
7M4,8.15,7,mdTN
37V,15.07,7,mdTN
7M4,8.15,7,mdTN
2T2,4.09,7,mdTN
3E4,11.99,7,mdTN
3K1,9.01,7,mdTN
42T,15.96,7,mdTN
55R,14.97,7,mdTN
74K,20.81,7,mdTN
6D9,13.11,7,mdTN
8H2,10.13,7,mdTN
97R,17.93,7,mdTN
3T5,5.12,7,mdTN
7F0,11.2,7,mdTN
82V,16.01,7,mdTN
2Q0,3.21,7,mdTN
31S,17.0,7,mdTN
98V,16.03,7,mdTN
82V,16.01,7,mdTN
3D1,13.11,7,mdTN
8B3,13.09,7,mdTN
42T,15.96,7,mdTN
97R,17.93,7,mdTN
3K1,9.01,7,mdTN
97R,17.93,7,mdTN
8H2,10.13,7,mdTN
41N,16.74,7,mdTN
8H2,10.13,7,mdTN
5R4,6.25,7,mdTN
77V,16.15,7,mdTN
74K,20.81,7,mdTN
4S3,3.18,7,mdTN
8H2,10.13,7,mdTN
97R,17.93,7,mdTN
3T5,5.12,7,mdTN
7F0,11.2,7,mdTN
3K1,9.01,7,mdTN
74K,20.81,7,mdTN
8B3,13.09,7,mdTN
43N,17.0,7,mdTN
1V8,4.31,7,mdTN
55R,14.97,7,mdTN
7M4,8.15,7,mdTN
97R,17.93,7,mdTN
8H2,10.13,7,mdTN
43N,17.0,7,mdTN
1P5,6.21,7,mdTN
2Q0,3.21,7,mdTN
8H2,10.13,7,mdTN
3T5,5.12,7,mdTN
74K,20.81,7,mdTN
2C6,14.03,7,mdTN
7M4,8.15,7,mdTN
41N,16.74,7,mdTN
6O7,6.03,7,mdTN
56R,14.95,7,mdTN
