animal_id,age,louvain,region
6L4,8.2,8,lCb
6L4,8.2,8,lCb
4Q6,3.22,8,lCb
5H6,11.03,8,lCb
42T,15.96,8,lCb
5H6,11.03,8,lCb
4J6,7.15,8,lCb
98V,16.03,8,lCb
2Q0,3.21,8,lCb
4J6,7.15,8,lCb
2S6,3.17,8,lCb
2Q0,3.21,8,lCb
1G8,7.88,8,lCb
41N,16.74,8,lCb
2S6,3.17,8,lCb
2S6,3.17,8,lCb
3R7,3.32,8,lCb
6L4,8.2,8,lCb
2Q0,3.21,8,lCb
98V,16.03,8,lCb
4S3,3.18,8,lCb
2I1,10.27,8,lCb
2S6,3.17,8,lCb
8B3,13.09,8,lCb
98V,16.03,8,lCb
8B3,13.09,8,lCb
5H6,11.03,8,lCb
4S3,3.18,8,lCb
6L4,8.2,8,lCb
2S6,3.17,8,lCb
2Q0,3.21,8,lCb
2Q0,3.21,8,lCb
2S6,3.17,8,lCb
1G8,7.88,8,lCb
7F0,11.2,8,lCb
6D9,13.11,8,lCb
5H6,11.03,8,lCb
7F0,11.2,8,lCb
4J6,7.15,8,lCb
6L4,8.2,8,lCb
0B9,12.11,8,lCb
4S3,3.18,8,lCb
4S3,3.18,8,lCb
2Q0,3.21,8,lCb
2Q0,3.21,8,lCb
3R7,3.32,8,lCb
4S3,3.18,8,lCb
37V,15.07,8,lCb
7M4,8.15,8,lCb
2Q0,3.21,8,lCb
37V,15.07,8,lCb
2S6,3.17,8,lCb
2F2,11.04,8,lCb
4Q6,3.22,8,lCb
6L4,8.2,8,lCb
6L4,8.2,8,lCb
41N,16.74,8,lCb
5H6,11.03,8,lCb
1L1,8.17,8,lCb
8I6,9.9,8,lCb
2S6,3.17,8,lCb
5H6,11.03,8,lCb
7M4,8.15,8,lCb
6L4,8.2,8,lCb
3T5,5.12,8,lCb
98V,16.03,8,lCb
4J6,7.15,8,lCb
2S6,3.17,8,lCb
4S3,3.18,8,lCb
3R7,3.32,8,lCb
2S6,3.17,8,lCb
3E4,11.99,8,lCb
2S6,3.17,8,lCb
1G8,7.88,8,lCb
5H6,11.03,8,lCb
1L1,8.17,8,lCb
8I6,9.9,8,lCb
2V1,4.3,8,lCb
2S6,3.17,8,lCb
2S6,3.17,8,lCb
3R7,3.32,8,lCb
8B3,13.09,8,lCb
4Q6,3.22,8,lCb
1V8,4.31,8,lCb
4S3,3.18,8,lCb
4S3,3.18,8,lCb
5R4,6.25,8,lCb
4Q6,3.22,8,lCb
5H6,11.03,8,lCb
3R7,3.32,8,lCb
3R7,3.32,8,lCb
41N,16.74,8,lCb
2Q0,3.21,8,lCb
5H6,11.03,8,lCb
6L4,8.2,8,lCb
7F0,11.2,8,lCb
4S3,3.18,8,lCb
5R4,6.25,8,lCb
4S3,3.18,8,lCb
1G8,7.88,8,lCb
4S3,3.18,8,lCb
8B3,13.09,8,lCb
97R,17.93,8,lCb
3R7,3.32,8,lCb
7M4,8.15,8,lCb
5H6,11.03,8,lCb
1V8,4.31,8,lCb
1G8,7.88,8,lCb
4Q6,3.22,8,lCb
1L1,8.17,8,lCb
4Q6,3.22,8,lCb
2Q0,3.21,8,lCb
3T5,5.12,8,lCb
8B3,13.09,8,lCb
5H6,11.03,8,lCb
2F2,11.04,8,lCb
2V1,4.3,8,lCb
3R7,3.32,8,lCb
6D9,13.11,8,lCb
3T5,5.12,8,lCb
1G8,7.88,8,lCb
4S3,3.18,8,lCb
3T5,5.12,8,lCb
7F0,11.2,8,lCb
2Q0,3.21,8,lCb
4S3,3.18,8,lCb
4S3,3.18,8,lCb
4S3,3.18,8,lCb
1G8,7.88,8,lCb
1G8,7.88,8,lCb
98V,16.03,8,lCb
5H6,11.03,8,lCb
2S6,3.17,8,lCb
4J6,7.15,8,lCb
3T5,5.12,8,lCb
97R,17.93,8,lCb
5H6,11.03,8,lCb
97R,17.93,8,lCb
7F0,11.2,8,lCb
2S6,3.17,8,lCb
7F0,11.2,8,lCb
2Q0,3.21,8,lCb
7M4,8.15,8,lCb
3R7,3.32,8,lCb
98V,16.03,8,lCb
97R,17.93,8,lCb
5H6,11.03,8,lCb
3R7,3.32,8,lCb
3R7,3.32,8,lCb
7M4,8.15,8,lCb
2I1,10.27,8,lCb
5H6,11.03,8,lCb
2S6,3.17,8,lCb
3R7,3.32,8,lCb
5R4,6.25,8,lCb
7F0,11.2,8,lCb
2Q0,3.21,8,lCb
98V,16.03,8,lCb
3R7,3.32,8,lCb
2S6,3.17,8,lCb
4Q6,3.22,8,lCb
5H6,11.03,8,lCb
6L4,8.2,8,lCb
7F0,11.2,8,lCb
4Q6,3.22,8,lCb
5H6,11.03,8,lCb
2I1,10.27,8,lCb
4S3,3.18,8,lCb
6L4,8.2,8,lCb
1L1,8.17,8,lCb
2S6,3.17,8,lCb
2S6,3.17,8,lCb
2S6,3.17,8,lCb
1G8,7.88,8,lCb
4J6,7.15,8,lCb
2Q0,3.21,8,lCb
2I1,10.27,8,lCb
0G3,9.1,8,lCb
3R7,3.32,8,lCb
3R7,3.32,8,lCb
4S3,3.18,8,lCb
6L4,8.2,8,lCb
41N,16.74,8,lCb
2I1,10.27,8,lCb
4S3,3.18,8,lCb
2V1,4.3,8,lCb
2I1,10.27,8,lCb
2V1,4.3,8,lCb
4S3,3.18,8,lCb
1G8,7.88,8,lCb
8C9,12.12,8,lCb
4S3,3.18,8,lCb
2Q0,3.21,8,lCb
4Q6,3.22,8,lCb
3T5,5.12,8,lCb
8B3,13.09,8,lCb
6L4,8.2,8,lCb
2V1,4.3,8,lCb
2S6,3.17,8,lCb
4J6,7.15,8,lCb
41N,16.74,8,lCb
2Q0,3.21,8,lCb
37V,15.07,8,lCb
1G8,7.88,8,lCb
50P,15.59,8,lCb
98V,16.03,8,lCb
2S6,3.17,8,lCb
56R,14.95,8,lCb
37V,15.07,8,lCb
1V8,4.31,8,lCb
4S3,3.18,8,lCb
3R7,3.32,8,lCb
3R7,3.32,8,lCb
98V,16.03,8,lCb
7M4,8.15,8,lCb
0G3,9.1,8,lCb
1G8,7.88,8,lCb
97R,17.93,8,lCb
1G8,7.88,8,lCb
7M4,8.15,8,lCb
4J6,7.15,8,lCb
2S6,3.17,8,lCb
97R,17.93,8,lCb
42T,15.96,8,lCb
2S6,3.17,8,lCb
3T5,5.12,8,lCb
6L4,8.2,8,lCb
4S3,3.18,8,lCb
4Q6,3.22,8,lCb
6L4,8.2,8,lCb
97R,17.93,8,lCb
5H6,11.03,8,lCb
7F0,11.2,8,lCb
4Q6,3.22,8,lCb
2Q0,3.21,8,lCb
4S3,3.18,8,lCb
4Q6,3.22,8,lCb
4J6,7.15,8,lCb
0B9,12.11,8,lCb
2Q0,3.21,8,lCb
5H6,11.03,8,lCb
8B3,13.09,8,lCb
43N,17.0,8,lCb
4S3,3.18,8,lCb
5H6,11.03,8,lCb
6L4,8.2,8,lCb
3R7,3.32,8,lCb
3T5,5.12,8,lCb
2Q0,3.21,8,lCb
98V,16.03,8,lCb
6L4,8.2,8,lCb
2I1,10.27,8,lCb
4J6,7.15,8,lCb
3R7,3.32,8,lCb
6L4,8.2,8,lCb
2S6,3.17,8,lCb
4S3,3.18,8,lCb
1G8,7.88,8,lCb
2S6,3.17,8,lCb
4S3,3.18,8,lCb
4J6,7.15,8,lCb
7F0,11.2,8,lCb
0B9,12.11,8,lCb
3T5,5.12,8,lCb
4S3,3.18,8,lCb
3R7,3.32,8,lCb
2Q0,3.21,8,lCb
2S6,3.17,8,lCb
2Q0,3.21,8,lCb
4Q6,3.22,8,lCb
1G8,7.88,8,lCb
97R,17.93,8,lCb
2S6,3.17,8,lCb
8B3,13.09,8,lCb
3T5,5.12,8,lCb
0B9,12.11,8,lCb
2S6,3.17,8,lCb
37V,15.07,8,lCb
1G8,7.88,8,lCb
5R4,6.25,8,lCb
97R,17.93,8,lCb
1L1,8.17,8,lCb
0B9,12.11,8,lCb
4S3,3.18,8,lCb
2S6,3.17,8,lCb
4Q6,3.22,8,lCb
5H6,11.03,8,lCb
6L4,8.2,8,lCb
8I6,9.9,8,lCb
98V,16.03,8,lCb
5H6,11.03,8,lCb
2V1,4.3,8,lCb
3R7,3.32,8,lCb
3R7,3.32,8,lCb
3R7,3.32,8,lCb
37V,15.07,8,lCb
55R,14.97,8,lCb
7F0,11.2,8,lCb
6L4,8.2,8,lCb
0G3,9.1,8,lCb
0G3,9.1,8,lCb
8I6,9.9,8,lCb
1V8,4.31,8,lCb
2S6,3.17,8,lCb
3R7,3.32,8,lCb
1L1,8.17,8,lCb
7F0,11.2,8,lCb
4S3,3.18,8,lCb
98V,16.03,8,lCb
1L1,8.17,8,lCb
2V1,4.3,8,lCb
4S3,3.18,8,lCb
5R4,6.25,8,lCb
5H6,11.03,8,lCb
1V8,4.31,8,lCb
0G3,9.1,8,lCb
5H6,11.03,8,lCb
1L1,8.17,8,lCb
0G3,9.1,8,lCb
97R,17.93,8,lCb
4S3,3.18,8,lCb
4Q6,3.22,8,lCb
2Q0,3.21,8,lCb
1G8,7.88,8,lCb
4S3,3.18,8,lCb
4S3,3.18,8,lCb
98V,16.03,8,lCb
2S6,3.17,8,lCb
4Q6,3.22,8,lCb
5H6,11.03,8,lCb
3R7,3.32,8,lCb
7M4,8.15,8,lCb
4S3,3.18,8,lCb
2S6,3.17,8,lCb
