animal_id,age,louvain,region
6D9,13.11,5,dlPFC
3D1,13.11,5,dlPFC
3D1,13.11,5,dlPFC
3D1,13.11,5,dlPFC
8B3,13.09,5,dlPFC
8B3,13.09,5,dlPFC
42T,15.96,5,dlPFC
42T,15.96,5,dlPFC
91O,15.86,5,dlPFC
77V,16.15,5,dlPFC
7F0,11.2,5,dlPFC
56K,19.93,5,dlPFC
0B9,12.11,5,dlPFC
0B9,12.11,5,dlPFC
6D9,13.11,5,dlPFC
3R7,3.32,5,dlPFC
3K1,9.01,5,dlPFC
3D1,13.11,5,dlPFC
3T5,5.12,5,dlPFC
3T5,5.12,5,dlPFC
3T5,5.12,5,dlPFC
1G8,7.88,5,dlPFC
2T2,4.09,5,dlPFC
2T2,4.09,5,dlPFC
2F2,11.04,5,dlPFC
31S,17.0,5,dlPFC
41N,16.74,5,dlPFC
41N,16.74,5,dlPFC
74K,20.81,5,dlPFC
82V,16.01,5,dlPFC
82V,16.01,5,dlPFC
0B9,12.11,5,dlPFC
0B9,12.11,5,dlPFC
2C6,14.03,5,dlPFC
2C6,14.03,5,dlPFC
3E4,11.99,5,dlPFC
3E4,11.99,5,dlPFC
5H6,11.03,5,dlPFC
56K,19.93,5,dlPFC
0B9,12.11,5,dlPFC
6D9,13.11,5,dlPFC
3T5,5.12,5,dlPFC
5R4,6.25,5,dlPFC
46Z,13.97,5,dlPFC
4J6,7.15,5,dlPFC
0G3,9.1,5,dlPFC
0B9,12.11,5,dlPFC
0B9,12.11,5,dlPFC
6O7,6.03,5,dlPFC
82V,16.01,5,dlPFC
6D9,13.11,5,dlPFC
6D9,13.11,5,dlPFC
55R,14.97,5,dlPFC
3D1,13.11,5,dlPFC
3T5,5.12,5,dlPFC
3T5,5.12,5,dlPFC
1G8,7.88,5,dlPFC
8H2,10.13,5,dlPFC
5R4,6.25,5,dlPFC
2T2,4.09,5,dlPFC
8B3,13.09,5,dlPFC
8B3,13.09,5,dlPFC
31S,17.0,5,dlPFC
31S,17.0,5,dlPFC
41N,16.74,5,dlPFC
82V,16.01,5,dlPFC
82V,16.01,5,dlPFC
82V,16.01,5,dlPFC
43N,17.0,5,dlPFC
0B9,12.11,5,dlPFC
0B9,12.11,5,dlPFC
0B9,12.11,5,dlPFC
0B9,12.11,5,dlPFC
2C6,14.03,5,dlPFC
2C6,14.03,5,dlPFC
3K1,9.01,5,dlPFC
3K1,9.01,5,dlPFC
55R,14.97,5,dlPFC
1G8,7.88,5,dlPFC
5R4,6.25,5,dlPFC
5R4,6.25,5,dlPFC
2T2,4.09,5,dlPFC
8B3,13.09,5,dlPFC
8B3,13.09,5,dlPFC
31S,17.0,5,dlPFC
91O,15.86,5,dlPFC
91O,15.86,5,dlPFC
91O,15.86,5,dlPFC
46Z,13.97,5,dlPFC
5H6,11.03,5,dlPFC
74K,20.81,5,dlPFC
82V,16.01,5,dlPFC
82V,16.01,5,dlPFC
56K,19.93,5,dlPFC
43N,17.0,5,dlPFC
0B9,12.11,5,dlPFC
3E4,11.99,5,dlPFC
3E4,11.99,5,dlPFC
82V,16.01,5,dlPFC
6D9,13.11,5,dlPFC
55R,14.97,5,dlPFC
2T2,4.09,5,dlPFC
