animal_id,age,louvain,region
3R7,3.32,8,NAc
31S,17.0,8,NAc
55R,14.97,8,NAc
42T,15.96,8,NAc
8C9,12.12,8,NAc
46Z,13.97,8,NAc
74K,20.81,8,NAc
3E4,11.99,8,NAc
56R,14.95,8,NAc
1G8,7.88,8,NAc
4S3,3.18,8,NAc
74K,20.81,8,NAc
2Q0,3.21,8,NAc
2Q0,3.21,8,NAc
56R,14.95,8,NAc
37V,15.07,8,NAc
2S2,6.31,8,NAc
2S2,6.31,8,NAc
2S2,6.31,8,NAc
97R,17.93,8,NAc
7F0,11.2,8,NAc
46Z,13.97,8,NAc
43N,17.0,8,NAc
56R,14.95,8,NAc
3R7,3.32,8,NAc
43N,17.0,8,NAc
4J6,7.15,8,NAc
7M4,8.15,8,NAc
46Z,13.97,8,NAc
3R7,3.32,8,NAc
2S2,6.31,8,NAc
2T2,4.09,8,NAc
56K,19.93,8,NAc
2Q0,3.21,8,NAc
2S2,6.31,8,NAc
55R,14.97,8,NAc
2T2,4.09,8,NAc
8C9,12.12,8,NAc
82V,16.01,8,NAc
37V,15.07,8,NAc
2S6,3.17,8,NAc
4J6,7.15,8,NAc
0G3,9.1,8,NAc
74K,20.81,8,NAc
1P5,6.21,8,NAc
2Q0,3.21,8,NAc
98V,16.03,8,NAc
56R,14.95,8,NAc
3T5,5.12,8,NAc
4S3,3.18,8,NAc
97R,17.93,8,NAc
46Z,13.97,8,NAc
2I1,10.27,8,NAc
1P5,6.21,8,NAc
2S2,6.31,8,NAc
2S2,6.31,8,NAc
46Z,13.97,8,NAc
2S6,3.17,8,NAc
7M4,8.15,8,NAc
3R7,3.32,8,NAc
1T9,4.11,8,NAc
2Q0,3.21,8,NAc
46Z,13.97,8,NAc
41N,16.74,8,NAc
2S6,3.17,8,NAc
3R7,3.32,8,NAc
3K1,9.01,8,NAc
2T6,5.18,8,NAc
1G8,7.88,8,NAc
91O,15.86,8,NAc
56K,19.93,8,NAc
3R7,3.32,8,NAc
8H2,10.13,8,NAc
