animal_id,age,louvain,region
50P,15.59,14,HIP
77V,16.15,14,HIP
8I6,9.9,14,HIP
2I1,10.27,14,HIP
8B3,13.09,14,HIP
5R4,6.25,14,HIP
2T2,4.09,14,HIP
98V,16.03,14,HIP
8M0,8.12,14,HIP
7F0,11.2,14,HIP
46Z,13.97,14,HIP
7F0,11.2,14,HIP
2S6,3.17,14,HIP
2V1,4.3,14,HIP
1T9,4.11,14,HIP
4Q6,3.22,14,HIP
43N,17.0,14,HIP
0B9,12.11,14,HIP
2S2,6.31,14,HIP
98V,16.03,14,HIP
77V,16.15,14,HIP
7M4,8.15,14,HIP
3T5,5.12,14,HIP
3D1,13.11,14,HIP
1P5,6.21,14,HIP
3T5,5.12,14,HIP
1P5,6.21,14,HIP
50P,15.59,14,HIP
7F0,11.2,14,HIP
8I6,9.9,14,HIP
46Z,13.97,14,HIP
77V,16.15,14,HIP
1P5,6.21,14,HIP
3E4,11.99,14,HIP
7M4,8.15,14,HIP
46Z,13.97,14,HIP
2T2,4.09,14,HIP
4J6,7.15,14,HIP
97R,17.93,14,HIP
4Q6,3.22,14,HIP
77V,16.15,14,HIP
7F0,11.2,14,HIP
56R,14.95,14,HIP
0B9,12.11,14,HIP
98V,16.03,14,HIP
98V,16.03,14,HIP
7F0,11.2,14,HIP
8C9,12.12,14,HIP
2Q0,3.21,14,HIP
5R4,6.25,14,HIP
46Z,13.97,14,HIP
7F0,11.2,14,HIP
56R,14.95,14,HIP
3T5,5.12,14,HIP
1T9,4.11,14,HIP
77V,16.15,14,HIP
3D1,13.11,14,HIP
2T2,4.09,14,HIP
7F0,11.2,14,HIP
7F0,11.2,14,HIP
37V,15.07,14,HIP
2Q0,3.21,14,HIP
5R4,6.25,14,HIP
82V,16.01,14,HIP
1T9,4.11,14,HIP
46Z,13.97,14,HIP
2V1,4.3,14,HIP
37V,15.07,14,HIP
3E4,11.99,14,HIP
77V,16.15,14,HIP
2C6,14.03,14,HIP
5R4,6.25,14,HIP
97R,17.93,14,HIP
77V,16.15,14,HIP
0G3,9.1,14,HIP
1P5,6.21,14,HIP
46Z,13.97,14,HIP
56K,19.93,14,HIP
3T5,5.12,14,HIP
3T5,5.12,14,HIP
4Q6,3.22,14,HIP
2V1,4.3,14,HIP
7F0,11.2,14,HIP
1T9,4.11,14,HIP
7F0,11.2,14,HIP
1P5,6.21,14,HIP
5R4,6.25,14,HIP
5R4,6.25,14,HIP
42T,15.96,14,HIP
1P5,6.21,14,HIP
2I1,10.27,14,HIP
6O7,6.03,14,HIP
3T5,5.12,14,HIP
2T2,4.09,14,HIP
98V,16.03,14,HIP
2T6,5.18,14,HIP
2I1,10.27,14,HIP
82V,16.01,14,HIP
74K,20.81,14,HIP
31S,17.0,14,HIP
8M0,8.12,14,HIP
2F2,11.04,14,HIP
50P,15.59,14,HIP
4Q6,3.22,14,HIP
3R7,3.32,14,HIP
7M4,8.15,14,HIP
8B3,13.09,14,HIP
6L4,8.2,14,HIP
3E4,11.99,14,HIP
3T5,5.12,14,HIP
2F2,11.04,14,HIP
6L4,8.2,14,HIP
6L4,8.2,14,HIP
7F0,11.2,14,HIP
3E4,11.99,14,HIP
1P5,6.21,14,HIP
2S6,3.17,14,HIP
7F0,11.2,14,HIP
42T,15.96,14,HIP
5H6,11.03,14,HIP
1P5,6.21,14,HIP
31S,17.0,14,HIP
56R,14.95,14,HIP
3D1,13.11,14,HIP
5R4,6.25,14,HIP
0G3,9.1,14,HIP
3T5,5.12,14,HIP
3E4,11.99,14,HIP
5R4,6.25,14,HIP
8M0,8.12,14,HIP
7F0,11.2,14,HIP
6O7,6.03,14,HIP
3T5,5.12,14,HIP
97R,17.93,14,HIP
7F0,11.2,14,HIP
1P5,6.21,14,HIP
1P5,6.21,14,HIP
4Q6,3.22,14,HIP
2T2,4.09,14,HIP
1L1,8.17,14,HIP
1P5,6.21,14,HIP
0G3,9.1,14,HIP
2F2,11.04,14,HIP
7F0,11.2,14,HIP
74K,20.81,14,HIP
2C6,14.03,14,HIP
8M0,8.12,14,HIP
2T6,5.18,14,HIP
4Q6,3.22,14,HIP
8I6,9.9,14,HIP
98V,16.03,14,HIP
2T6,5.18,14,HIP
7F0,11.2,14,HIP
3R7,3.32,14,HIP
2S2,6.31,14,HIP
2I1,10.27,14,HIP
77V,16.15,14,HIP
2T6,5.18,14,HIP
1V8,4.31,14,HIP
1P5,6.21,14,HIP
6D9,13.11,14,HIP
5R4,6.25,14,HIP
4Q6,3.22,14,HIP
5H6,11.03,14,HIP
5H6,11.03,14,HIP
77V,16.15,14,HIP
82V,16.01,14,HIP
3T5,5.12,14,HIP
46Z,13.97,14,HIP
4Q6,3.22,14,HIP
77V,16.15,14,HIP
1P5,6.21,14,HIP
37V,15.07,14,HIP
0G3,9.1,14,HIP
1P5,6.21,14,HIP
1P5,6.21,14,HIP
3R7,3.32,14,HIP
1V8,4.31,14,HIP
74K,20.81,14,HIP
0G3,9.1,14,HIP
6O7,6.03,14,HIP
3T5,5.12,14,HIP
7F0,11.2,14,HIP
3E4,11.99,14,HIP
1P5,6.21,14,HIP
7M4,8.15,14,HIP
7F0,11.2,14,HIP
3E4,11.99,14,HIP
8B3,13.09,14,HIP
2S2,6.31,14,HIP
98V,16.03,14,HIP
1V8,4.31,14,HIP
2S6,3.17,14,HIP
97R,17.93,14,HIP
77V,16.15,14,HIP
8B3,13.09,14,HIP
2S6,3.17,14,HIP
1T9,4.11,14,HIP
1P5,6.21,14,HIP
2T2,4.09,14,HIP
74K,20.81,14,HIP
1P5,6.21,14,HIP
8B3,13.09,14,HIP
3T5,5.12,14,HIP
46Z,13.97,14,HIP
2S2,6.31,14,HIP
0G3,9.1,14,HIP
7M4,8.15,14,HIP
46Z,13.97,14,HIP
4Q6,3.22,14,HIP
46Z,13.97,14,HIP
0G3,9.1,14,HIP
46Z,13.97,14,HIP
77V,16.15,14,HIP
0G3,9.1,14,HIP
1P5,6.21,14,HIP
5H6,11.03,14,HIP
2V1,4.3,14,HIP
82V,16.01,14,HIP
7F0,11.2,14,HIP
74K,20.81,14,HIP
8M0,8.12,14,HIP
0G3,9.1,14,HIP
37V,15.07,14,HIP
5R4,6.25,14,HIP
7F0,11.2,14,HIP
1P5,6.21,14,HIP
2F2,11.04,14,HIP
2V1,4.3,14,HIP
7F0,11.2,14,HIP
7F0,11.2,14,HIP
0G3,9.1,14,HIP
1P5,6.21,14,HIP
1P5,6.21,14,HIP
2F2,11.04,14,HIP
2F2,11.04,14,HIP
4Q6,3.22,14,HIP
55R,14.97,14,HIP
50P,15.59,14,HIP
3T5,5.12,14,HIP
91O,15.86,14,HIP
1L1,8.17,14,HIP
82V,16.01,14,HIP
8B3,13.09,14,HIP
8B3,13.09,14,HIP
3R7,3.32,14,HIP
3T5,5.12,14,HIP
7M4,8.15,14,HIP
46Z,13.97,14,HIP
7F0,11.2,14,HIP
1P5,6.21,14,HIP
56R,14.95,14,HIP
42T,15.96,14,HIP
91O,15.86,14,HIP
2V1,4.3,14,HIP
4Q6,3.22,14,HIP
1P5,6.21,14,HIP
2S2,6.31,14,HIP
4Q6,3.22,14,HIP
77V,16.15,14,HIP
77V,16.15,14,HIP
8B3,13.09,14,HIP
8B3,13.09,14,HIP
2T6,5.18,14,HIP
31S,17.0,14,HIP
46Z,13.97,14,HIP
1T9,4.11,14,HIP
3T5,5.12,14,HIP
1G8,7.88,14,HIP
1V8,4.31,14,HIP
0G3,9.1,14,HIP
0G3,9.1,14,HIP
4Q6,3.22,14,HIP
4Q6,3.22,14,HIP
77V,16.15,14,HIP
7F0,11.2,14,HIP
43N,17.0,14,HIP
7F0,11.2,14,HIP
2S2,6.31,14,HIP
4S3,3.18,14,HIP
4J6,7.15,14,HIP
6D9,13.11,14,HIP
5R4,6.25,14,HIP
98V,16.03,14,HIP
2I1,10.27,14,HIP
7F0,11.2,14,HIP
1T9,4.11,14,HIP
2S6,3.17,14,HIP
8M0,8.12,14,HIP
6O7,6.03,14,HIP
