animal_id,age,louvain,region
2C6,14.03,19,NAc
4J6,7.15,19,NAc
91O,15.86,19,NAc
31S,17.0,19,NAc
4J6,7.15,19,NAc
50P,15.59,19,NAc
1V8,4.31,19,NAc
2V1,4.3,19,NAc
2T6,5.18,19,NAc
41N,16.74,19,NAc
0G3,9.1,19,NAc
0B9,12.11,19,NAc
8H2,10.13,19,NAc
2T2,4.09,19,NAc
8C9,12.12,19,NAc
8I6,9.9,19,NAc
2T2,4.09,19,NAc
6L4,8.2,19,NAc
4J6,7.15,19,NAc
4J6,7.15,19,NAc
2Q0,3.21,19,NAc
8H2,10.13,19,NAc
1V8,4.31,19,NAc
8H2,10.13,19,NAc
77V,16.15,19,NAc
98V,16.03,19,NAc
6L4,8.2,19,NAc
74K,20.81,19,NAc
74K,20.81,19,NAc
37V,15.07,19,NAc
4S3,3.18,19,NAc
2V1,4.3,19,NAc
82V,16.01,19,NAc
4Q6,3.22,19,NAc
82V,16.01,19,NAc
3T5,5.12,19,NAc
6O7,6.03,19,NAc
98V,16.03,19,NAc
3E4,11.99,19,NAc
37V,15.07,19,NAc
0B9,12.11,19,NAc
91O,15.86,19,NAc
6O7,6.03,19,NAc
8C9,12.12,19,NAc
3D1,13.11,19,NAc
2T2,4.09,19,NAc
0G3,9.1,19,NAc
8I6,9.9,19,NAc
8H2,10.13,19,NAc
1T9,4.11,19,NAc
4J6,7.15,19,NAc
0G3,9.1,19,NAc
2C6,14.03,19,NAc
3T5,5.12,19,NAc
3E4,11.99,19,NAc
41N,16.74,19,NAc
8I6,9.9,19,NAc
6O7,6.03,19,NAc
2S6,3.17,19,NAc
41N,16.74,19,NAc
1L1,8.17,19,NAc
7F0,11.2,19,NAc
82V,16.01,19,NAc
2C6,14.03,19,NAc
31S,17.0,19,NAc
1L1,8.17,19,NAc
8I6,9.9,19,NAc
56R,14.95,19,NAc
82V,16.01,19,NAc
56R,14.95,19,NAc
2Q0,3.21,19,NAc
3K1,9.01,19,NAc
7F0,11.2,19,NAc
3R7,3.32,19,NAc
1G8,7.88,19,NAc
50P,15.59,19,NAc
8H2,10.13,19,NAc
7M4,8.15,19,NAc
3K1,9.01,19,NAc
2C6,14.03,19,NAc
98V,16.03,19,NAc
4Q6,3.22,19,NAc
56K,19.93,19,NAc
46Z,13.97,19,NAc
2I1,10.27,19,NAc
2T6,5.18,19,NAc
4J6,7.15,19,NAc
37V,15.07,19,NAc
1L1,8.17,19,NAc
0B9,12.11,19,NAc
3E4,11.99,19,NAc
37V,15.07,19,NAc
82V,16.01,19,NAc
37V,15.07,19,NAc
2V1,4.3,19,NAc
42T,15.96,19,NAc
56K,19.93,19,NAc
7M4,8.15,19,NAc
4S3,3.18,19,NAc
1V8,4.31,19,NAc
5R4,6.25,19,NAc
97R,17.93,19,NAc
3K1,9.01,19,NAc
56K,19.93,19,NAc
0B9,12.11,19,NAc
7M4,8.15,19,NAc
8I6,9.9,19,NAc
41N,16.74,19,NAc
1V8,4.31,19,NAc
3T5,5.12,19,NAc
7M4,8.15,19,NAc
4S3,3.18,19,NAc
4S3,3.18,19,NAc
91O,15.86,19,NAc
1V8,4.31,19,NAc
8C9,12.12,19,NAc
1V8,4.31,19,NAc
8M0,8.12,19,NAc
2S6,3.17,19,NAc
8I6,9.9,19,NAc
6O7,6.03,19,NAc
91O,15.86,19,NAc
0B9,12.11,19,NAc
1P5,6.21,19,NAc
2C6,14.03,19,NAc
31S,17.0,19,NAc
56R,14.95,19,NAc
2I1,10.27,19,NAc
77V,16.15,19,NAc
0B9,12.11,19,NAc
3D1,13.11,19,NAc
5H6,11.03,19,NAc
4J6,7.15,19,NAc
74K,20.81,19,NAc
2Q0,3.21,19,NAc
1G8,7.88,19,NAc
1V8,4.31,19,NAc
1P5,6.21,19,NAc
8H2,10.13,19,NAc
3D1,13.11,19,NAc
56R,14.95,19,NAc
43N,17.0,19,NAc
8H2,10.13,19,NAc
91O,15.86,19,NAc
82V,16.01,19,NAc
8H2,10.13,19,NAc
6O7,6.03,19,NAc
8I6,9.9,19,NAc
56K,19.93,19,NAc
3K1,9.01,19,NAc
55R,14.97,19,NAc
7M4,8.15,19,NAc
1T9,4.11,19,NAc
6L4,8.2,19,NAc
50P,15.59,19,NAc
3T5,5.12,19,NAc
82V,16.01,19,NAc
3T5,5.12,19,NAc
4S3,3.18,19,NAc
3D1,13.11,19,NAc
7F0,11.2,19,NAc
8C9,12.12,19,NAc
8I6,9.9,19,NAc
50P,15.59,19,NAc
50P,15.59,19,NAc
6L4,8.2,19,NAc
4J6,7.15,19,NAc
98V,16.03,19,NAc
77V,16.15,19,NAc
1V8,4.31,19,NAc
2C6,14.03,19,NAc
42T,15.96,19,NAc
3K1,9.01,19,NAc
37V,15.07,19,NAc
8C9,12.12,19,NAc
56R,14.95,19,NAc
2Q0,3.21,19,NAc
3K1,9.01,19,NAc
1V8,4.31,19,NAc
1T9,4.11,19,NAc
3E4,11.99,19,NAc
31S,17.0,19,NAc
37V,15.07,19,NAc
6O7,6.03,19,NAc
56R,14.95,19,NAc
3E4,11.99,19,NAc
2V1,4.3,19,NAc
41N,16.74,19,NAc
41N,16.74,19,NAc
82V,16.01,19,NAc
41N,16.74,19,NAc
8I6,9.9,19,NAc
3K1,9.01,19,NAc
8C9,12.12,19,NAc
7F0,11.2,19,NAc
6O7,6.03,19,NAc
0B9,12.11,19,NAc
2T2,4.09,19,NAc
7F0,11.2,19,NAc
1G8,7.88,19,NAc
7F0,11.2,19,NAc
1G8,7.88,19,NAc
82V,16.01,19,NAc
50P,15.59,19,NAc
0B9,12.11,19,NAc
1T9,4.11,19,NAc
82V,16.01,19,NAc
8I6,9.9,19,NAc
37V,15.07,19,NAc
82V,16.01,19,NAc
4J6,7.15,19,NAc
3K1,9.01,19,NAc
56R,14.95,19,NAc
2T2,4.09,19,NAc
1V8,4.31,19,NAc
0B9,12.11,19,NAc
1T9,4.11,19,NAc
3T5,5.12,19,NAc
6O7,6.03,19,NAc
3K1,9.01,19,NAc
7F0,11.2,19,NAc
3K1,9.01,19,NAc
4Q6,3.22,19,NAc
8M0,8.12,19,NAc
2T2,4.09,19,NAc
8C9,12.12,19,NAc
91O,15.86,19,NAc
3E4,11.99,19,NAc
5R4,6.25,19,NAc
5R4,6.25,19,NAc
1V8,4.31,19,NAc
98V,16.03,19,NAc
4J6,7.15,19,NAc
0B9,12.11,19,NAc
3D1,13.11,19,NAc
7F0,11.2,19,NAc
3K1,9.01,19,NAc
6L4,8.2,19,NAc
82V,16.01,19,NAc
1P5,6.21,19,NAc
1G8,7.88,19,NAc
7M4,8.15,19,NAc
37V,15.07,19,NAc
4S3,3.18,19,NAc
