animal_id,age,louvain,region
74K,20.81,3,mdTN
74K,20.81,3,mdTN
82V,16.01,3,mdTN
74K,20.81,3,mdTN
74K,20.81,3,mdTN
74K,20.81,3,mdTN
8I6,9.9,3,mdTN
82V,16.01,3,mdTN
7F0,11.2,3,mdTN
2V1,4.3,3,mdTN
1G8,7.88,3,mdTN
2F2,11.04,3,mdTN
74K,20.81,3,mdTN
3E4,11.99,3,mdTN
77V,16.15,3,mdTN
82V,16.01,3,mdTN
2I1,10.27,3,mdTN
6O7,6.03,3,mdTN
2Q0,3.21,3,mdTN
7F0,11.2,3,mdTN
4S3,3.18,3,mdTN
2I1,10.27,3,mdTN
97R,17.93,3,mdTN
7F0,11.2,3,mdTN
56R,14.95,3,mdTN
4J6,7.15,3,mdTN
74K,20.81,3,mdTN
74K,20.81,3,mdTN
2I1,10.27,3,mdTN
2Q0,3.21,3,mdTN
4S3,3.18,3,mdTN
7F0,11.2,3,mdTN
6O7,6.03,3,mdTN
6O7,6.03,3,mdTN
56R,14.95,3,mdTN
7F0,11.2,3,mdTN
6O7,6.03,3,mdTN
82V,16.01,3,mdTN
3D1,13.11,3,mdTN
82V,16.01,3,mdTN
3E4,11.99,3,mdTN
4S3,3.18,3,mdTN
50P,15.59,3,mdTN
74K,20.81,3,mdTN
6O7,6.03,3,mdTN
6D9,13.11,3,mdTN
8B3,13.09,3,mdTN
2I1,10.27,3,mdTN
74K,20.81,3,mdTN
82V,16.01,3,mdTN
4S3,3.18,3,mdTN
8I6,9.9,3,mdTN
74K,20.81,3,mdTN
82V,16.01,3,mdTN
6O7,6.03,3,mdTN
2Q0,3.21,3,mdTN
2F2,11.04,3,mdTN
82V,16.01,3,mdTN
7F0,11.2,3,mdTN
82V,16.01,3,mdTN
74K,20.81,3,mdTN
2Q0,3.21,3,mdTN
56R,14.95,3,mdTN
74K,20.81,3,mdTN
74K,20.81,3,mdTN
2I1,10.27,3,mdTN
82V,16.01,3,mdTN
82V,16.01,3,mdTN
7F0,11.2,3,mdTN
7F0,11.2,3,mdTN
56K,19.93,3,mdTN
74K,20.81,3,mdTN
74K,20.81,3,mdTN
3E4,11.99,3,mdTN
2Q0,3.21,3,mdTN
56R,14.95,3,mdTN
8B3,13.09,3,mdTN
2T6,5.18,3,mdTN
74K,20.81,3,mdTN
4J6,7.15,3,mdTN
2T2,4.09,3,mdTN
3E4,11.99,3,mdTN
56K,19.93,3,mdTN
2Q0,3.21,3,mdTN
74K,20.81,3,mdTN
74K,20.81,3,mdTN
74K,20.81,3,mdTN
7F0,11.2,3,mdTN
74K,20.81,3,mdTN
7F0,11.2,3,mdTN
55R,14.97,3,mdTN
82V,16.01,3,mdTN
7F0,11.2,3,mdTN
98V,16.03,3,mdTN
6O7,6.03,3,mdTN
74K,20.81,3,mdTN
4S3,3.18,3,mdTN
4S3,3.18,3,mdTN
3T5,5.12,3,mdTN
3E4,11.99,3,mdTN
82V,16.01,3,mdTN
56R,14.95,3,mdTN
56R,14.95,3,mdTN
2T6,5.18,3,mdTN
74K,20.81,3,mdTN
7M4,8.15,3,mdTN
7F0,11.2,3,mdTN
43N,17.0,3,mdTN
2V1,4.3,3,mdTN
56R,14.95,3,mdTN
4J6,7.15,3,mdTN
2I1,10.27,3,mdTN
82V,16.01,3,mdTN
6O7,6.03,3,mdTN
3E4,11.99,3,mdTN
56R,14.95,3,mdTN
6O7,6.03,3,mdTN
74K,20.81,3,mdTN
2V1,4.3,3,mdTN
7F0,11.2,3,mdTN
56K,19.93,3,mdTN
82V,16.01,3,mdTN
3D1,13.11,3,mdTN
3E4,11.99,3,mdTN
3E4,11.99,3,mdTN
2T6,5.18,3,mdTN
7F0,11.2,3,mdTN
74K,20.81,3,mdTN
82V,16.01,3,mdTN
74K,20.81,3,mdTN
3E4,11.99,3,mdTN
2Q0,3.21,3,mdTN
4J6,7.15,3,mdTN
7F0,11.2,3,mdTN
82V,16.01,3,mdTN
74K,20.81,3,mdTN
4S3,3.18,3,mdTN
2I1,10.27,3,mdTN
74K,20.81,3,mdTN
7M4,8.15,3,mdTN
3D1,13.11,3,mdTN
37V,15.07,3,mdTN
7F0,11.2,3,mdTN
4S3,3.18,3,mdTN
3E4,11.99,3,mdTN
7F0,11.2,3,mdTN
82V,16.01,3,mdTN
2Q0,3.21,3,mdTN
4J6,7.15,3,mdTN
74K,20.81,3,mdTN
4S3,3.18,3,mdTN
74K,20.81,3,mdTN
55R,14.97,3,mdTN
7F0,11.2,3,mdTN
2I1,10.27,3,mdTN
74K,20.81,3,mdTN
56R,14.95,3,mdTN
56R,14.95,3,mdTN
56R,14.95,3,mdTN
82V,16.01,3,mdTN
3D1,13.11,3,mdTN
2V1,4.3,3,mdTN
2I1,10.27,3,mdTN
82V,16.01,3,mdTN
3E4,11.99,3,mdTN
56R,14.95,3,mdTN
46Z,13.97,3,mdTN
56R,14.95,3,mdTN
7F0,11.2,3,mdTN
2Q0,3.21,3,mdTN
74K,20.81,3,mdTN
1T9,4.11,3,mdTN
7F0,11.2,3,mdTN
2I1,10.27,3,mdTN
