animal_id,age,louvain,region
8M0,8.12,9,MB
55R,14.97,9,MB
1L1,8.17,9,MB
2V1,4.3,9,MB
1G8,7.88,9,MB
4S3,3.18,9,MB
56R,14.95,9,MB
1L1,8.17,9,MB
8M0,8.12,9,MB
56R,14.95,9,MB
56K,19.93,9,MB
43N,17.0,9,MB
91O,15.86,9,MB
1L1,8.17,9,MB
55R,14.97,9,MB
3T5,5.12,9,MB
0B9,12.11,9,MB
55R,14.97,9,MB
37V,15.07,9,MB
98V,16.03,9,MB
74K,20.81,9,MB
43N,17.0,9,MB
2I1,10.27,9,MB
8C9,12.12,9,MB
3E4,11.99,9,MB
3T5,5.12,9,MB
5R4,6.25,9,MB
50P,15.59,9,MB
2I1,10.27,9,MB
8B3,13.09,9,MB
1P5,6.21,9,MB
1L1,8.17,9,MB
3R7,3.32,9,MB
0B9,12.11,9,MB
1P5,6.21,9,MB
1T9,4.11,9,MB
1V8,4.31,9,MB
8C9,12.12,9,MB
56R,14.95,9,MB
3T5,5.12,9,MB
1P5,6.21,9,MB
3R7,3.32,9,MB
7M4,8.15,9,MB
8C9,12.12,9,MB
4S3,3.18,9,MB
56R,14.95,9,MB
2T6,5.18,9,MB
3R7,3.32,9,MB
0B9,12.11,9,MB
2C6,14.03,9,MB
5R4,6.25,9,MB
2I1,10.27,9,MB
1T9,4.11,9,MB
55R,14.97,9,MB
1P5,6.21,9,MB
55R,14.97,9,MB
4J6,7.15,9,MB
56K,19.93,9,MB
43N,17.0,9,MB
50P,15.59,9,MB
1P5,6.21,9,MB
1L1,8.17,9,MB
8I6,9.9,9,MB
5H6,11.03,9,MB
1V8,4.31,9,MB
2I1,10.27,9,MB
82V,16.01,9,MB
3R7,3.32,9,MB
3R7,3.32,9,MB
3R7,3.32,9,MB
31S,17.0,9,MB
43N,17.0,9,MB
43N,17.0,9,MB
8I6,9.9,9,MB
37V,15.07,9,MB
56R,14.95,9,MB
91O,15.86,9,MB
1P5,6.21,9,MB
1L1,8.17,9,MB
97R,17.93,9,MB
97R,17.93,9,MB
2Q0,3.21,9,MB
98V,16.03,9,MB
1P5,6.21,9,MB
43N,17.0,9,MB
43N,17.0,9,MB
37V,15.07,9,MB
7M4,8.15,9,MB
8I6,9.9,9,MB
56R,14.95,9,MB
1P5,6.21,9,MB
1L1,8.17,9,MB
1T9,4.11,9,MB
3R7,3.32,9,MB
1P5,6.21,9,MB
7M4,8.15,9,MB
31S,17.0,9,MB
8I6,9.9,9,MB
