animal_id,age,louvain,region
8H2,10.13,9,dlPFC
4Q6,3.22,9,dlPFC
6O7,6.03,9,dlPFC
2T2,4.09,9,dlPFC
98V,16.03,9,dlPFC
97R,17.93,9,dlPFC
31S,17.0,9,dlPFC
43N,17.0,9,dlPFC
0B9,12.11,9,dlPFC
3K1,9.01,9,dlPFC
1G8,7.88,9,dlPFC
7M4,8.15,9,dlPFC
31S,17.0,9,dlPFC
5H6,11.03,9,dlPFC
56R,14.95,9,dlPFC
5H6,11.03,9,dlPFC
43N,17.0,9,dlPFC
37V,15.07,9,dlPFC
97R,17.93,9,dlPFC
91O,15.86,9,dlPFC
2T2,4.09,9,dlPFC
97R,17.93,9,dlPFC
3R7,3.32,9,dlPFC
2S2,6.31,9,dlPFC
7M4,8.15,9,dlPFC
42T,15.96,9,dlPFC
91O,15.86,9,dlPFC
3E4,11.99,9,dlPFC
3K1,9.01,9,dlPFC
31S,17.0,9,dlPFC
2V1,4.3,9,dlPFC
74K,20.81,9,dlPFC
74K,20.81,9,dlPFC
0B9,12.11,9,dlPFC
6O7,6.03,9,dlPFC
2F2,11.04,9,dlPFC
31S,17.0,9,dlPFC
31S,17.0,9,dlPFC
82V,16.01,9,dlPFC
74K,20.81,9,dlPFC
0B9,12.11,9,dlPFC
1P5,6.21,9,dlPFC
3R7,3.32,9,dlPFC
3K1,9.01,9,dlPFC
91O,15.86,9,dlPFC
46Z,13.97,9,dlPFC
43N,17.0,9,dlPFC
6O7,6.03,9,dlPFC
0B9,12.11,9,dlPFC
98V,16.03,9,dlPFC
31S,17.0,9,dlPFC
2C6,14.03,9,dlPFC
2I1,10.27,9,dlPFC
3D1,13.11,9,dlPFC
97R,17.93,9,dlPFC
43N,17.0,9,dlPFC
6O7,6.03,9,dlPFC
3T5,5.12,9,dlPFC
97R,17.93,9,dlPFC
97R,17.93,9,dlPFC
56R,14.95,9,dlPFC
2T6,5.18,9,dlPFC
2T6,5.18,9,dlPFC
5R4,6.25,9,dlPFC
0G3,9.1,9,dlPFC
55R,14.97,9,dlPFC
55R,14.97,9,dlPFC
3T5,5.12,9,dlPFC
8B3,13.09,9,dlPFC
42T,15.96,9,dlPFC
0G3,9.1,9,dlPFC
0B9,12.11,9,dlPFC
2S2,6.31,9,dlPFC
31S,17.0,9,dlPFC
6O7,6.03,9,dlPFC
7M4,8.15,9,dlPFC
31S,17.0,9,dlPFC
41N,16.74,9,dlPFC
2C6,14.03,9,dlPFC
2F2,11.04,9,dlPFC
91O,15.86,9,dlPFC
2V1,4.3,9,dlPFC
2C6,14.03,9,dlPFC
8H2,10.13,9,dlPFC
4Q6,3.22,9,dlPFC
1P5,6.21,9,dlPFC
6D9,13.11,9,dlPFC
2T6,5.18,9,dlPFC
41N,16.74,9,dlPFC
41N,16.74,9,dlPFC
1P5,6.21,9,dlPFC
2S2,6.31,9,dlPFC
2S2,6.31,9,dlPFC
8B3,13.09,9,dlPFC
42T,15.96,9,dlPFC
5H6,11.03,9,dlPFC
6D9,13.11,9,dlPFC
37V,15.07,9,dlPFC
55R,14.97,9,dlPFC
6O7,6.03,9,dlPFC
6D9,13.11,9,dlPFC
2S2,6.31,9,dlPFC
3D1,13.11,9,dlPFC
56K,19.93,9,dlPFC
6D9,13.11,9,dlPFC
37V,15.07,9,dlPFC
98V,16.03,9,dlPFC
5H6,11.03,9,dlPFC
74K,20.81,9,dlPFC
3T5,5.12,9,dlPFC
2T6,5.18,9,dlPFC
31S,17.0,9,dlPFC
91O,15.86,9,dlPFC
43N,17.0,9,dlPFC
2V1,4.3,9,dlPFC
3E4,11.99,9,dlPFC
2S2,6.31,9,dlPFC
3D1,13.11,9,dlPFC
2T6,5.18,9,dlPFC
8H2,10.13,9,dlPFC
3R7,3.32,9,dlPFC
4J6,7.15,9,dlPFC
31S,17.0,9,dlPFC
74K,20.81,9,dlPFC
2S6,3.17,9,dlPFC
56K,19.93,9,dlPFC
8M0,8.12,9,dlPFC
7M4,8.15,9,dlPFC
8B3,13.09,9,dlPFC
1T9,4.11,9,dlPFC
91O,15.86,9,dlPFC
74K,20.81,9,dlPFC
6O7,6.03,9,dlPFC
6D9,13.11,9,dlPFC
2I1,10.27,9,dlPFC
6D9,13.11,9,dlPFC
42T,15.96,9,dlPFC
6O7,6.03,9,dlPFC
3E4,11.99,9,dlPFC
98V,16.03,9,dlPFC
2F2,11.04,9,dlPFC
31S,17.0,9,dlPFC
5H6,11.03,9,dlPFC
2T2,4.09,9,dlPFC
2T2,4.09,9,dlPFC
2T2,4.09,9,dlPFC
2T6,5.18,9,dlPFC
2T2,4.09,9,dlPFC
1P5,6.21,9,dlPFC
46Z,13.97,9,dlPFC
6O7,6.03,9,dlPFC
55R,14.97,9,dlPFC
2T6,5.18,9,dlPFC
91O,15.86,9,dlPFC
3D1,13.11,9,dlPFC
5R4,6.25,9,dlPFC
41N,16.74,9,dlPFC
2T2,4.09,9,dlPFC
8B3,13.09,9,dlPFC
4Q6,3.22,9,dlPFC
41N,16.74,9,dlPFC
3E4,11.99,9,dlPFC
3R7,3.32,9,dlPFC
56R,14.95,9,dlPFC
8H2,10.13,9,dlPFC
2T6,5.18,9,dlPFC
1G8,7.88,9,dlPFC
2F2,11.04,9,dlPFC
42T,15.96,9,dlPFC
46Z,13.97,9,dlPFC
4Q6,3.22,9,dlPFC
0G3,9.1,9,dlPFC
43N,17.0,9,dlPFC
3K1,9.01,9,dlPFC
98V,16.03,9,dlPFC
74K,20.81,9,dlPFC
2C6,14.03,9,dlPFC
0B9,12.11,9,dlPFC
5R4,6.25,9,dlPFC
41N,16.74,9,dlPFC
43N,17.0,9,dlPFC
4J6,7.15,9,dlPFC
2S2,6.31,9,dlPFC
2F2,11.04,9,dlPFC
2T6,5.18,9,dlPFC
3D1,13.11,9,dlPFC
42T,15.96,9,dlPFC
8B3,13.09,9,dlPFC
2C6,14.03,9,dlPFC
8H2,10.13,9,dlPFC
4Q6,3.22,9,dlPFC
2S6,3.17,9,dlPFC
31S,17.0,9,dlPFC
2I1,10.27,9,dlPFC
6O7,6.03,9,dlPFC
0G3,9.1,9,dlPFC
56R,14.95,9,dlPFC
0B9,12.11,9,dlPFC
3E4,11.99,9,dlPFC
2F2,11.04,9,dlPFC
31S,17.0,9,dlPFC
5R4,6.25,9,dlPFC
5R4,6.25,9,dlPFC
2F2,11.04,9,dlPFC
0B9,12.11,9,dlPFC
3E4,11.99,9,dlPFC
56R,14.95,9,dlPFC
3T5,5.12,9,dlPFC
1P5,6.21,9,dlPFC
46Z,13.97,9,dlPFC
0G3,9.1,9,dlPFC
74K,20.81,9,dlPFC
55R,14.97,9,dlPFC
2F2,11.04,9,dlPFC
2F2,11.04,9,dlPFC
31S,17.0,9,dlPFC
41N,16.74,9,dlPFC
2V1,4.3,9,dlPFC
50P,15.59,9,dlPFC
42T,15.96,9,dlPFC
2T6,5.18,9,dlPFC
2I1,10.27,9,dlPFC
3R7,3.32,9,dlPFC
8M0,8.12,9,dlPFC
8H2,10.13,9,dlPFC
31S,17.0,9,dlPFC
2V1,4.3,9,dlPFC
3K1,9.01,9,dlPFC
2F2,11.04,9,dlPFC
97R,17.93,9,dlPFC
5H6,11.03,9,dlPFC
4S3,3.18,9,dlPFC
46Z,13.97,9,dlPFC
3K1,9.01,9,dlPFC
43N,17.0,9,dlPFC
3E4,11.99,9,dlPFC
2S2,6.31,9,dlPFC
2V1,4.3,9,dlPFC
2C6,14.03,9,dlPFC
56K,19.93,9,dlPFC
37V,15.07,9,dlPFC
3T5,5.12,9,dlPFC
8H2,10.13,9,dlPFC
4Q6,3.22,9,dlPFC
43N,17.0,9,dlPFC
7M4,8.15,9,dlPFC
46Z,13.97,9,dlPFC
46Z,13.97,9,dlPFC
